"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"0500000US27043","Faribault County, Minnesota","6331","131","98.7","0.5","0.0","0.3","0.5","0.5","0.4","0.3","0.0","0.3","0.3","0.3","0.1","0.2","3.1","0.6","96.1","0.8","4.2","0.9","24.8","1.1","38.4","1.2","32.5","1.3","4167","121","36.2","2.2","63.8","2.2","80.2","2.8","13.5","2.4","6.3","1.7","2164","137","56.7","3.1","50.4","3.2","6.3","2.2","43.3","3.1","36.8","3.1","6.5","1.9","26.6","(X)","27.5","(X)","24.6","(X)","44264","1614","44722","1881","-","**","23920","927","-","**","-","**","19659","1878","-","**","48167","14468","44510","1769","19531","8957","52925","4282","55825","3627","33300","3375","56849","2963","53613","3261","58885","2907","64224","2131","24800","4456","34853","5602","25413","2474","19604","1935","17518","2120","34830","6090","34487","3275","31983","4648","53077","4311","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27045","Fillmore County, Minnesota","8422","141","98.9","0.4","0.3","0.2","0.2","0.1","0.2","0.2","0.0","0.2","0.2","0.1","0.2","0.2","0.6","0.2","98.4","0.4","2.8","0.7","27.8","1.2","39.3","0.9","30.1","0.9","5746","147","41.3","1.6","58.7","1.6","83.5","1.8","10.6","1.6","5.8","1.2","2676","145","54.5","2.3","49.3","2.6","5.2","1.8","45.5","2.3","36.0","2.6","9.5","2.3","23.9","(X)","23.4","(X)","24.0","(X)","50657","1567","50974","1583","23355","15886","35000","21590","9750","54716","-","**","77813","107954","28750","57875","21429","56143","51047","1584","40294","16842","61429","5849","62802","3418","30992","1676","64379","1973","62712","4017","65595","2563","70977","1848","29688","4571","37250","8299","26975","1583","20660","2435","18060","1947","49375","12700","32151","4413","27906","1620","51750","12789","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27047","Freeborn County, Minnesota","13230","196","96.2","1.0","0.8","0.2","0.2","0.2","0.6","0.4","0.0","0.1","1.6","0.9","0.6","0.3","5.3","0.8","92.3","0.9","3.9","0.9","25.9","1.1","39.1","1.2","31.1","1.1","8385","257","39.8","1.7","60.2","1.7","77.7","2.0","14.0","1.8","8.3","1.5","4845","249","55.5","2.9","50.4","2.9","5.1","1.8","44.5","2.9","37.7","3.0","6.8","1.6","25.2","(X)","25.6","(X)","23.0","(X)","44683","1647","45712","2060","19808","47962","65417","71551","41419","18200","-","**","17245","19072","20234","9845","29201","6723","46875","1981","29631","9673","50602","3504","57118","3155","33670","2588","58220","2523","53095","3658","61453","1985","66652","2255","31556","5220","39363","7739","23728","1794","20036","2082","18684","2176","41031","5859","28487","3695","25668","2408","49919","12981","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27049","Goodhue County, Minnesota","18711","316","96.6","0.6","0.7","0.4","0.9","0.3","0.1","0.1","0.0","0.1","0.4","0.3","1.3","0.5","1.5","0.3","95.6","0.6","3.2","0.7","29.1","0.9","41.3","1.0","26.3","0.9","12610","346","42.1","1.6","57.9","1.6","82.2","2.0","11.8","1.7","6.0","1.3","6101","316","54.1","2.9","47.2","3.2","6.9","1.9","45.9","2.9","38.1","3.3","7.9","2.1","23.4","(X)","23.3","(X)","22.7","(X)","56836","2933","57574","3046","10625","13300","71250","151574","79375","219982","-","**","31528","13059","63542","49467","40000","9256","57920","3045","29600","9975","63264","4215","75591","4651","35667","1888","73075","2980","71395","4680","74467","3730","82020","2317","30685","3401","42695","7098","28991","2432","24057","2497","21435","1848","61354","7423","33660","3096","31752","2819","73309","19087","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27051","Grant County, Minnesota","2580","77","98.5","0.5","0.0","0.7","0.1","0.1","0.3","0.4","0.0","0.7","0.1","0.1","0.9","0.4","0.9","0.4","97.8","0.7","3.4","0.9","26.0","1.3","38.1","1.5","32.5","1.5","1728","86","34.4","2.2","65.6","2.2","82.3","2.6","10.9","2.0","6.7","1.8","852","65","48.9","4.3","44.5","4.5","4.5","1.8","51.1","4.3","39.6","4.3","11.5","3.4","24.7","(X)","26.2","(X)","18.5","(X)","50030","2173","49800","2157","-","**","-","**","-","**","-","**","-","**","71000","5501","30833","27972","49900","2160","40179","17894","54500","6739","68438","4920","29116","2040","61455","3114","60893","11368","61646","2816","67596","5527","36250","9594","33750","17166","27097","3084","17689","2337","16840","2075","61250","40440","34826","3515","32303","3725","58214","10177","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27053","Hennepin County, Minnesota","481263","1704","81.1","0.2","10.2","0.2","0.7","0.1","4.7","0.1","0.0","0.1","1.5","0.1","1.7","0.1","4.1","0.1","78.7","0.2","4.8","0.2","38.7","0.2","38.1","0.2","18.4","0.2","279427","2084","47.1","0.5","52.9","0.5","75.2","0.6","17.8","0.5","7.0","0.4","201836","1990","53.3","0.6","43.6","0.7","9.7","0.4","46.7","0.6","34.4","0.7","12.3","0.4","20.3","(X)","20.9","(X)","18.3","(X)","64403","526","71408","632","29141","1399","33478","7078","69884","2563","29625","16021","36930","1970","44004","4617","40792","2123","72298","621","30430","1334","69848","1093","80190","920","41498","742","84559","1003","82043","1601","86168","972","101697","947","36458","1540","48241","2213","41813","577","38434","752","33562","846","70257","2096","45922","1075","38812","1208","74907","2786","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27055","Houston County, Minnesota","7809","183","98.8","0.5","0.0","0.1","0.1","0.1","0.2","0.2","0.1","0.1","0.2","0.2","0.7","0.4","0.7","0.3","98.5","0.5","2.9","0.9","26.6","1.1","43.2","1.3","27.2","0.8","5424","162","40.2","1.9","59.8","1.9","83.2","2.5","10.9","2.0","5.9","1.5","2385","168","55.7","3.9","48.2","3.9","7.5","2.1","44.3","3.9","36.2","3.5","8.1","2.5","22.1","(X)","21.5","(X)","22.8","(X)","52545","2701","52670","2758","-","**","-","**","-","**","-","**","51023","13745","38917","17736","39083","9694","52929","2810","27386","7883","64724","4599","64171","2802","32267","3343","65646","2808","66915","5541","64838","3232","71400","2076","27313","4225","39583","19507","26075","1259","21138","2432","19193","1649","51579","4036","34830","3890","30370","4711","75119","17998","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27057","Hubbard County, Minnesota","8670","199","97.0","0.7","0.2","0.3","1.2","0.4","0.2","0.1","0.0","0.2","0.1","0.1","1.3","0.5","0.8","0.3","96.3","0.8","2.6","0.7","24.1","1.1","40.8","1.0","32.4","0.9","5938","204","35.4","1.6","64.6","1.6","84.6","1.8","9.1","1.5","6.3","1.4","2732","181","48.6","3.5","42.1","3.6","6.5","1.7","51.4","3.5","41.7","3.3","9.7","2.7","30.4","(X)","29.4","(X)","30.9","(X)","45961","1407","46321","1434","-","**","28365","6066","83333","34714","-","**","-","**","40469","18326","45795","1418","46322","1557","31250","9594","50532","4310","52873","2723","34760","2071","55744","2558","53269","5688","57158","3072","61268","2021","25833","3546","38548","5778","25000","2633","24096","2699","20865","2845","52663","16150","26679","4358","23077","5479","42250","12882","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27059","Isanti County, Minnesota","13860","250","97.7","0.6","0.2","0.2","0.8","0.4","0.2","0.1","0.0","0.1","0.0","0.1","1.1","0.6","1.3","0.4","96.7","0.7","3.7","0.8","32.7","1.3","42.3","1.2","21.3","1.0","9954","305","43.7","1.7","56.3","1.7","79.8","2.8","14.6","2.5","5.6","1.2","3906","306","49.5","4.5","40.8","4.5","8.8","3.6","50.5","4.5","40.8","4.6","9.6","2.6","28.2","(X)","27.9","(X)","27.5","(X)","57353","1902","57966","2112","2,500-","***","2,500-","***","107750","80177","-","**","-","**","41250","12401","53125","56716","57878","2053","50579","13563","64139","5295","68324","5545","37704","3088","68053","2958","68720","3576","67151","4766","76062","2256","30971","1518","51685","4441","34905","2645","28646","5934","23329","2299","74571","11915","40260","4178","37580","2918","61250","10541","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US27061","Itasca County, Minnesota","18862","355","96.0","0.5","0.0","0.1","2.5","0.4","0.2","0.1","0.0","0.1","0.1","0.1","1.1","0.3","0.7","0.2","95.5","0.6","3.5","0.7","24.9","0.9","42.4","0.9","29.2","1.0","12989","398","35.0","1.5","65.0","1.5","81.1","1.8","11.6","1.4","7.3","1.2","5873","356","49.3","2.5","41.5","2.7","7.8","2.3","50.7","2.5","40.5","3.0","10.1","1.9","27.3","(X)","26.0","(X)","28.1","(X)","46912","1368","47168","1504","-","**","40833","20109","107727","100314","-","**","-","**","28229","11621","29348","15128","47302","1575","31425","6795","53615","4028","55897","2686","35252","2737","56705","1699","57039","3077","56511","2308","63914","1594","22009","2000","32898","4848","26177","1713","22568","2328","19725","1861","42007","5629","31131","3456","26782","2327","44661","6223","(X)","(X)","(X)","(X)","(X)","(X)"
