"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M","S1903_C02_031E","S1903_C02_031M"
"0500000US13271","Telfair County, Georgia","5681","239","59.3","2.7","39.8","2.6","0.0","0.7","0.0","0.7","0.0","0.7","0.9","1.0","0.0","0.7","3.5","1.1","57.0","2.8","6.3","2.6","28.0","3.0","40.7","3.3","25.0","1.7","3479","275","46.1","4.8","53.9","4.8","71.1","4.4","20.5","4.0","8.5","3.2","2202","273","61.8","6.3","58.9","6.8","2.9","2.5","38.2","6.3","29.7","6.0","8.6","5.2","12.1","(X)","13.5","(X)","9.9","(X)","23876","3455","32027","3781","16565","3012","-","**","-","**","-","**","-","**","-","**","17944","8479","32551","3846","11763","6598","31119","3658","29234","6640","15299","2284","36109","6373","31732","5172","40725","3495","44626","6831","16250","2916","14688","19423","11563","1345","10758","1328","10411","1211","33485","12628","15458","5943","13869","5877","18942","35343","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13273","Terrell County, Georgia","3457","200","39.5","2.5","58.7","2.5","0.1","0.1","0.7","0.8","0.0","1.1","0.0","1.1","1.0","1.1","0.6","0.3","39.0","2.4","6.3","1.6","24.8","3.7","44.5","3.2","24.4","2.9","2394","200","39.0","5.4","61.0","5.4","54.4","4.5","38.7","3.8","6.9","3.0","1063","169","48.2","7.1","46.6","7.3","1.6","1.5","51.8","7.1","45.2","7.5","6.6","5.5","36.4","(X)","37.0","(X)","32.4","(X)","27909","3407","47000","6699","18358","3101","-","**","37500","32428","-","**","-","**","29583","17129","172614","279335","46604","6036","12827","4521","31151","5314","33100","7141","18689","4368","35663","6525","27028","4736","43000","4835","53200","3538","15862","4731","30735","9886","14737","1914","11250","1252","11169","1229","13229","11095","18897","10547","22031","11191","16722","12469","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13275","Thomas County, Georgia","17399","457","61.9","1.3","36.0","1.3","0.1","0.2","0.4","0.1","0.1","0.1","0.9","0.4","0.6","0.6","1.9","0.5","61.2","1.4","4.0","0.9","31.3","1.4","40.4","1.6","24.3","1.2","11528","497","42.0","2.5","58.0","2.5","66.3","2.9","25.3","2.2","8.3","1.6","5871","382","58.4","4.0","52.7","4.3","5.7","2.3","41.6","4.0","35.1","4.0","6.5","2.2","45.9","(X)","46.8","(X)","43.1","(X)","35797","2032","46681","2937","18155","2125","-","**","73967","14679","-","**","30156","8836","34706","23683","28468","7797","47216","3258","19521","6969","37466","6664","44000","3311","26044","2852","46333","2926","41622","6090","50293","4263","59209","2756","21721","5196","35714","6543","18253","1980","16725","2027","15879","1881","25729","5042","20354","3322","18633","3926","43162","18999","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13277","Tift County, Georgia","14442","415","67.8","1.6","27.8","1.3","0.1","0.1","1.3","0.5","0.0","0.3","2.8","1.2","0.2","0.2","5.5","1.1","65.1","1.5","6.1","1.0","35.0","1.7","37.3","1.7","21.6","1.2","10376","358","50.0","2.3","50.0","2.3","67.9","3.3","24.8","2.8","7.3","1.6","4066","327","61.1","4.7","57.8","4.6","3.3","1.5","38.9","4.7","30.3","4.5","8.6","3.1","29.4","(X)","29.1","(X)","28.4","(X)","36847","2165","46313","3469","25250","3495","9375","7496","77538","4150","-","**","30253","8674","32857","49436","30143","8939","47754","3174","28091","2823","39444","4228","47137","4500","24843","2019","45376","2960","40625","6745","49199","3915","60112","3204","21578","2797","29659","20206","17876","3050","15591","3449","14632","3041","48233","21904","21220","5345","19951","5833","25642","8362","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13279","Toombs County, Georgia","10077","354","70.0","2.5","24.8","1.6","0.7","0.9","0.2","0.2","0.0","0.4","3.3","1.5","0.9","0.5","7.7","1.2","65.7","2.0","5.7","1.6","34.0","2.4","38.9","2.2","21.4","2.2","6812","396","51.8","3.9","48.2","3.9","71.2","3.6","20.1","3.3","8.7","2.9","3265","347","55.4","4.9","52.6","4.7","2.8","1.5","44.6","4.9","36.2","5.1","8.4","4.3","25.2","(X)","26.3","(X)","22.4","(X)","31635","2383","40446","6921","21051","2505","57989","34055","36736","1640","-","**","25429","20899","37500","37513","24924","15832","42913","6120","16750","10741","34427","5508","43827","6421","20481","3829","44266","5818","39342","12902","47658","9203","58519","5869","18518","4946","40097","19178","17582","3279","13657","1338","13568","1308","16250","33259","25563","4618","24105","4244","42380","26545","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13281","Towns County, Georgia","4758","297","98.2","1.2","0.0","0.8","0.8","1.0","0.3","0.7","0.0","0.8","0.3","0.4","0.4","0.5","0.3","0.4","98.2","1.2","1.8","2.2","22.0","2.5","35.5","3.7","40.7","3.3","3187","287","29.5","4.4","70.5","4.4","84.9","4.1","8.7","2.9","6.5","2.9","1571","260","59.8","7.8","54.2","8.1","5.5","4.8","40.2","7.8","37.1","7.5","3.1","2.7","41.3","(X)","44.3","(X)","35.4","(X)","39540","2166","39756","2527","-","**","38561","692","-","**","-","**","-","**","-","**","-","**","39756","2527","48438","5142","50482","8266","38886","2377","32500","7520","48020","5240","43269","14475","48616","3617","49616","3714","22024","16968","27386","37476","21601","2508","20219","5346","18032","3581","41803","52077","22023","6959","21746","5443","26726","24447","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13283","Treutlen County, Georgia","2496","174","71.2","3.8","27.9","3.6","0.0","1.6","1.0","1.7","0.0","1.6","0.0","1.6","0.0","1.6","0.6","1.0","70.6","4.1","5.1","3.2","32.5","5.0","39.5","5.5","22.9","3.7","1710","215","50.4","6.6","49.6","6.6","71.3","6.1","22.0","5.6","6.6","3.7","786","155","56.5","12.1","55.7","12.3","0.8","1.3","43.5","12.1","43.5","12.1","0.0","5.0","26.4","(X)","33.7","(X)","9.8","(X)","36467","9540","43846","13083","19000","8182","-","**","-","**","-","**","-","**","-","**","-","**","45179","13240","6667","16442","44352","15847","46944","12389","15700","5932","48110","7305","35882","17651","55139","10809","58110","12102","23438","6686","42344","44124","13106","4450","13090","1866","13174","1886","-","**","13250","23622","13250","23622","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13285","Troup County, Georgia","23690","516","65.4","1.4","31.6","1.2","0.1","0.1","1.4","0.3","0.0","0.2","0.9","0.4","0.6","0.3","2.0","0.4","64.7","1.3","4.9","0.8","33.6","1.4","41.2","1.3","20.3","0.9","16848","549","45.5","2.2","54.5","2.2","67.7","2.4","26.1","2.2","6.2","1.3","6842","520","57.6","4.2","51.0","3.9","6.6","2.3","42.4","4.2","34.2","3.9","8.2","2.3","31.9","(X)","32.7","(X)","28.9","(X)","41770","2249","51010","3737","26632","1822","44821","7172","51708","26991","-","**","19483","48331","29412","17130","47214","10937","51082","3745","24201","10052","47344","2993","48927","4598","27849","1889","50625","2598","45837","5032","53390","2889","64022","2766","22718","2972","35302","6429","23369","3451","19362","1947","18135","1984","41161","12390","28033","5015","25404","3032","41313","3885","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13287","Turner County, Georgia","3096","450","62.4","3.1","37.0","3.1","0.4","0.7","0.0","1.3","0.0","1.3","0.0","1.3","0.3","0.4","1.2","0.7","61.2","3.2","4.5","3.1","31.9","5.6","39.1","5.7","24.6","2.8","2236","372","45.9","6.4","54.1","6.4","63.7","7.3","33.9","7.0","2.3","2.5","860","242","63.6","11.9","60.9","11.9","2.7","4.4","36.4","11.9","34.8","11.9","1.6","2.6","29.7","(X)","29.8","(X)","29.2","(X)","30763","5681","41045","8866","17740","5676","-","**","-","**","-","**","-","**","-","**","26652","18399","41429","9240","23750","50080","40734","10647","30680","10107","24970","5450","40446","4085","40748","6751","38796","12380","56919","4628","18199","6362","34167","21179","12446","3359","12418","2965","12210","2089","36917","8308","12813","18526","12147","16382","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13289","Twiggs County, Georgia","3070","231","61.8","3.9","37.3","3.7","0.2","0.4","0.0","1.3","0.1","0.3","0.6","0.8","0.0","1.3","0.6","0.8","61.8","3.9","3.3","2.0","16.0","3.5","50.9","4.3","29.8","3.4","1984","205","27.6","6.7","72.4","6.7","69.6","6.0","25.7","5.5","4.8","3.3","1086","199","49.6","8.9","46.9","9.1","2.8","2.1","50.4","8.9","43.5","9.9","6.9","5.8","56.7","(X)","55.8","(X)","58.4","(X)","26521","2154","32056","7396","21916","2872","-","**","-","**","-","**","250,000+","***","-","**","250,000+","***","32056","7396","22143","32428","44850","13778","34226","12028","19070","1421","31324","5116","32452","20320","30826","6197","42667","6705","18995","4067","23306","12515","19516","4005","15129","6363","14150","5775","25833","2028","21116","2226","20000","2979","49554","85590","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13291","Union County, Georgia","9471","412","96.3","1.7","1.2","1.0","0.0","0.4","0.4","0.7","0.3","0.5","0.0","0.4","1.8","1.5","0.8","0.7","95.8","1.4","4.0","1.7","19.5","1.7","40.9","2.3","35.6","2.0","6805","451","28.0","3.1","72.0","3.1","87.3","3.5","9.3","3.0","3.4","1.9","2666","362","59.4","6.0","53.6","6.2","5.8","3.7","40.6","6.0","36.2","6.0","4.5","3.5","33.5","(X)","35.5","(X)","28.5","(X)","41298","3012","42370","3781","40777","10611","-","**","115341","227224","-","**","-","**","8859","30893","19541","20399","42635","3649","28185","10547","52568","13792","45049","6412","32542","2800","50772","3997","53255","10002","49641","4148","52511","4109","27679","9102","55476","7686","20648","3564","20403","3442","19189","4302","50602","9959","21895","11653","17348","11668","110795","161312","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13293","Upson County, Georgia","10502","269","70.2","1.5","28.4","1.7","0.2","0.3","0.3","0.3","0.0","0.4","0.3","0.3","0.6","0.6","1.2","0.4","69.3","1.5","3.9","1.0","30.1","1.8","39.7","2.0","26.3","1.5","7341","343","41.1","2.8","58.9","2.8","65.9","3.8","27.0","3.5","7.1","1.9","3161","312","51.6","5.0","45.2","4.9","6.4","3.3","48.4","5.0","39.1","4.6","9.3","3.9","28.8","(X)","28.8","(X)","27.5","(X)","34509","2208","40891","3848","21938","3857","9500","35503","46607","61580","-","**","16908","41376","39299","21192","27578","18455","41070","3841","24844","6255","39962","6082","38082","5016","27142","1811","42737","3501","41735","6496","43150","3456","53090","2674","20930","4515","24647","14409","21406","2576","16591","3599","13538","1882","27882","11257","25750","3787","22975","3096","34401","24276","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13295","Walker County, Georgia","25901","558","95.3","0.7","3.1","0.4","0.3","0.2","0.2","0.2","0.0","0.2","0.3","0.2","0.7","0.4","0.8","0.3","94.8","0.8","3.6","0.9","31.9","1.2","40.5","1.0","24.0","0.9","18698","536","40.8","1.9","59.2","1.9","76.5","2.3","17.0","2.1","6.5","1.3","7203","540","57.1","3.1","51.7","3.4","5.4","1.8","42.9","3.1","38.2","3.4","4.7","2.1","24.0","(X)","25.2","(X)","18.6","(X)","38723","1773","39120","1740","27604","13202","23750","16613","87813","121482","-","**","22308","20248","33750","32100","26964","11357","39202","1727","30779","6858","45217","3610","43391","3289","27065","2313","46307","2167","45930","4260","46532","2737","54611","2002","26791","4183","34055","5539","19195","1802","15645","2106","14564","1061","41367","16618","22396","5447","20484","2469","46250","8264","(X)","(X)","(X)","(X)","(X)","(X)"
