"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US72045","Comerío Municipio, Puerto Rico","6325","223","57.6","3.5","3.2","0.9","0.1","0.2","0.0","0.6","0.0","0.6","6.0","1.6","32.9","3.3","100.0","0.6","0.0","0.6","3.4","1.2","27.7","2.3","40.1","2.5","28.9","1.9","4706","247","37.6","3.3","62.4","3.3","58.2","3.8","34.5","3.8","7.3","2.0","1619","200","56.4","6.2","50.9","6.1","5.5","3.1","43.6","6.2","41.4","6.5","2.2","2.4","34.0","(X)","36.1","(X)","22.9","(X)","13680","1614","14948","1968","30486","22764","-","**","-","**","-","**","15150","3535","11629","1546","13680","1614","-","**","2,500-","***","14359","2120","17438","2696","11871","1045","15744","1720","12669","3430","17742","2355","18955","4390","11735","2607","13068","7923","8445","1333","8291","1998","8242","2027","10446","9410","8656","2384","8172","2546","-","**","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US72083","Las Marías Municipio, Puerto Rico","3131","174","91.2","3.2","1.5","1.1","0.0","1.2","0.0","1.2","0.0","1.2","7.0","3.1","0.3","0.5","98.4","1.7","1.6","1.7","3.2","1.8","24.9","3.9","44.2","3.5","27.6","3.2","2310","181","39.8","4.9","60.2","4.9","65.5","6.1","28.1","5.8","6.4","3.4","821","157","41.0","9.5","39.6","9.9","1.5","1.9","59.0","9.5","47.9","10.4","11.1","7.0","13.2","(X)","13.4","(X)","11.8","(X)","14928","1996","16268","2571","2,500-","***","-","**","-","**","-","**","7917","14755","-","**","15017","2053","6914","28610","2,500-","***","16193","8802","17474","5783","14609","2352","20319","3118","15565","4393","22828","2138","24003","1644","13040","4969","7466","22137","6419","1230","6946","1584","6756","1469","-","**","5923","2473","5211","3230","13068","7370","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US72055","Guánica Municipio, Puerto Rico","5565","246","87.6","2.0","3.8","1.1","0.4","0.4","0.0","0.7","0.0","0.7","5.7","1.5","2.5","1.0","99.8","0.3","0.2","0.3","1.2","0.8","21.3","2.7","41.1","3.0","36.4","2.6","4072","255","31.8","3.6","68.2","3.6","58.2","3.8","30.8","3.6","11.0","2.8","1493","163","53.6","6.9","48.4","7.2","5.2","3.2","46.4","6.9","41.0","7.1","5.4","3.4","28.9","(X)","27.7","(X)","29.3","(X)","13635","993","13887","1047","13537","1662","20893","5273","-","**","-","**","8814","5155","19625","14544","13666","995","-","**","9125","15098","18723","2856","13310","1287","12026","1353","14685","1122","17209","2745","14093","1125","18246","1216","10000","1874","10889","2861","9250","1026","8585","1151","8553","1158","8942","9848","10616","2443","9567","2278","26875","8926","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US72097","Mayagüez Municipio, Puerto Rico","30526","617","51.8","1.9","4.8","0.7","0.1","0.1","0.1","0.1","0.0","0.1","24.9","1.7","18.2","1.2","99.2","0.3","0.6","0.3","7.6","0.9","22.9","1.2","35.0","1.1","34.5","0.9","19356","589","36.8","2.0","63.2","2.0","54.3","2.4","37.4","2.3","8.3","1.3","11170","579","56.1","2.5","49.1","2.3","7.0","1.3","43.9","2.5","35.8","2.6","8.1","1.4","20.0","(X)","20.1","(X)","18.6","(X)","15402","675","17085","904","18268","2318","2,500-","***","-","**","-","**","12288","1213","12908","2298","15327","673","65714","64876","2,500-","***","15360","1615","19188","1787","16151","916","20319","1204","13521","1971","23285","1232","29312","1826","10327","1660","13175","3002","8587","698","8221","642","8131","650","9328","4545","9768","1726","10227","1244","6027","2973","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US72087","Loíza Municipio, Puerto Rico","9115","231","21.7","2.2","39.2","3.0","0.1","0.1","0.1","0.2","0.0","0.4","37.8","2.9","1.1","0.5","99.9","0.1","0.0","0.4","2.5","0.7","27.3","1.8","44.9","1.8","25.3","1.4","6685","282","37.1","2.6","62.9","2.6","49.4","3.3","42.6","3.4","7.9","1.8","2430","215","50.0","4.8","42.3","5.2","7.7","3.1","50.0","4.8","43.0","4.5","7.0","2.8","31.7","(X)","34.7","(X)","18.6","(X)","18456","1039","24131","4320","17746","1282","-","**","-","**","-","**","15523","1671","34412","11281","18452","1052","-","**","9333","5282","20874","2637","19306","2257","15597","2396","20342","2040","17472","2130","22472","2140","30115","4434","16765","1101","15718","4827","9881","1325","9577","1739","9206","879","30221","16875","10384","1785","10335","1861","13125","17563","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US72091","Manatí Municipio, Puerto Rico","16046","446","86.2","1.7","4.5","0.9","0.0","0.1","0.0","0.2","0.0","0.2","8.1","1.6","1.1","0.5","98.7","0.6","1.0","0.5","2.4","0.9","31.0","1.6","36.9","1.3","29.7","1.4","11563","392","42.8","2.4","57.2","2.4","59.0","3.0","33.2","2.8","7.9","1.6","4483","363","52.5","4.4","48.0","4.2","4.5","2.1","47.5","4.4","39.0","4.2","8.5","2.8","25.6","(X)","24.1","(X)","26.5","(X)","18796","1159","19024","1254","15988","7353","-","**","-","**","-","**","15817","5760","21061","15309","18832","1162","8565","4287","8382","3630","24247","3170","21541","2055","14871","1828","23316","1138","22958","4014","23418","1215","30052","1914","11950","2447","19067","4253","10435","920","9319","905","8868","843","18077","6485","12339","1593","11521","1612","21811","3609","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US72125","San Germán Municipio, Puerto Rico","12261","339","90.7","1.6","3.1","0.8","0.2","0.3","0.0","0.3","0.0","0.3","5.1","1.3","0.8","0.4","99.5","0.3","0.5","0.3","1.5","0.7","21.0","2.0","38.6","1.7","38.9","1.4","8024","414","29.2","3.0","70.8","3.0","55.8","3.2","34.4","3.2","9.7","1.9","4237","373","50.8","3.9","47.5","3.8","3.4","1.6","49.2","3.9","41.8","3.9","7.3","2.3","16.1","(X)","17.5","(X)","13.1","(X)","15091","1160","15775","1385","13929","5982","-","**","-","**","-","**","10111","3628","8750","3796","15118","1186","14420","5648","2,500-","***","13767","3092","18767","2427","14085","1036","20566","2240","12810","2583","23234","1825","28044","4128","12267","1993","17832","9458","10055","884","9640","1064","9425","1000","18409","8146","10567","1194","10198","1375","19115","30739","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US72029","Canóvanas Municipio, Puerto Rico","14592","398","47.9","2.4","15.1","2.2","0.3","0.3","0.4","0.4","0.0","0.3","35.9","2.4","0.4","0.2","99.8","0.2","0.0","0.3","0.9","0.5","29.2","1.7","42.2","1.8","27.7","1.2","10885","446","39.3","2.8","60.7","2.8","58.8","2.5","31.8","2.6","9.4","2.0","3707","373","53.0","4.8","43.3","4.4","9.7","2.8","47.0","4.8","39.3","4.7","7.7","2.6","29.4","(X)","32.9","(X)","15.1","(X)","20494","1315","21107","1584","22021","5636","11080","1670","17768","18605","-","**","19444","2016","35000","24982","20479","1311","-","**","2,500-","***","25583","4330","21477","3108","16477","1587","24891","2336","23727","4133","25452","2875","32829","2152","16209","3650","18017","3203","10761","1098","11147","1331","9701","1414","22891","5583","10227","1934","9506","2214","15150","6431","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US72117","Rincón Municipio, Puerto Rico","5753","313","59.0","4.2","3.2","1.6","0.2","0.3","0.4","0.6","0.0","0.6","2.0","1.1","35.3","4.1","87.9","2.9","6.8","2.5","1.4","0.9","28.4","2.8","36.7","2.5","33.5","2.2","3967","328","39.2","4.1","60.8","4.1","66.1","4.5","24.7","4.1","9.3","3.3","1786","272","59.8","6.3","52.7","7.1","7.1","4.2","40.2","6.3","37.8","6.1","2.4","2.4","11.7","(X)","13.1","(X)","8.4","(X)","16704","1130","18414","3296","16739","10338","-","**","-","**","-","**","14940","9555","14250","2257","16303","1268","27045","14773","13580","9135","15417","2639","16351","1288","19407","3341","19433","2221","14977","3374","22340","2187","22891","3832","14385","3381","14156","5098","11735","2714","10205","3188","9415","2408","25150","24765","12847","2494","12731","2530","15833","39810","(X)","(X)","(X)","(X)","(X)","(X)"
