"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US05105","Perry County, Arkansas","3998","201","97.7","1.1","0.4","0.6","0.1","0.2","0.0","0.8","0.0","0.8","0.3","0.4","1.6","0.8","0.5","0.4","97.5","1.1","3.1","1.6","27.5","2.6","40.8","2.4","28.6","2.2","2784","207","37.4","4.7","62.6","4.7","79.0","4.1","13.3","3.4","7.7","2.9","1214","181","53.0","7.9","47.7","7.3","5.4","4.3","47.0","7.9","38.4","7.4","8.6","5.5","33.8","(X)","38.9","(X)","21.5","(X)","42738","4981","42470","4983","-","**","-","**","-","**","-","**","-","**","49219","19857","27273","29234","42583","5213","34519","6600","49554","4472","47269","5410","32286","5392","51173","3111","51434","3935","50887","6432","54418","6698","24271","14879","43646","22767","20727","4888","18462","3782","16458","4993","48073","44027","25048","7493","22391","8804","32685","12077","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US05107","Phillips County, Arkansas","8309","275","38.7","1.7","60.5","1.7","0.2","0.3","0.1","0.1","0.0","0.4","0.1","0.2","0.4","0.3","0.6","0.4","38.2","1.7","2.9","1.2","29.2","2.1","41.3","2.3","26.6","1.6","5484","284","45.5","3.5","54.5","3.5","50.7","4.2","41.1","3.8","8.2","2.1","2825","296","57.8","4.8","54.5","4.7","3.4","1.9","42.2","4.8","37.5","4.8","4.6","2.9","35.4","(X)","39.2","(X)","25.4","(X)","27219","2160","45892","2546","22287","1744","-","**","-","**","-","**","-","**","6979","11112","91184","68592","45684","2619","15848","13552","23833","3399","36014","8284","22840","3617","34877","5227","24182","3743","44304","4021","53406","4603","19866","2333","24385","5322","16595","2898","16950","5311","14838","4455","46771","24000","16408","3280","16079","2649","43393","59559","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US05109","Pike County, Arkansas","4353","172","93.1","1.6","2.4","0.7","0.7","0.3","0.2","0.3","0.0","0.7","3.1","1.2","0.6","0.6","4.4","0.7","91.8","1.2","5.2","1.6","28.9","2.8","35.7","2.3","30.2","1.9","3151","212","39.3","3.3","60.7","3.3","73.7","4.2","19.6","3.8","6.6","2.2","1202","159","53.8","6.6","50.9","5.8","2.9","3.1","46.2","6.6","43.9","6.6","2.2","1.7","32.3","(X)","34.0","(X)","27.9","(X)","32087","2002","33618","3533","27750","18350","21726","4196","-","**","-","**","25391","30514","19417","2043","24500","14300","33695","3573","13710","7902","42732","13127","40137","5043","25811","2021","39422","3289","40000","15808","39293","3480","49211","3446","19989","1986","25694","8203","20525","2978","17476","3160","17949","3176","6902","70185","25179","8428","22240","8532","62361","76601","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US05111","Poinsett County, Arkansas","9329","258","90.8","0.9","7.6","0.8","0.3","0.4","0.0","0.3","0.0","0.3","0.2","0.2","1.0","0.6","1.0","0.6","90.1","1.0","4.4","1.1","28.8","1.9","38.1","1.7","28.7","1.4","6194","266","40.8","3.1","59.2","3.1","70.8","3.2","22.6","2.7","6.6","1.8","3135","249","52.6","4.4","49.8","4.2","2.9","1.5","47.4","4.4","36.2","4.2","11.1","3.4","27.4","(X)","27.8","(X)","25.2","(X)","31743","1612","32654","1831","19750","11290","48295","35824","-","**","-","**","21071","25173","33042","30266","35400","24841","32575","1830","14393","9649","35732","3869","38112","2933","21108","1628","38618","1807","32566","3386","41780","2694","45740","3525","18355","3592","27933","13479","16113","2149","12598","1245","12268","1057","32000","15533","22468","6382","20280","2825","40208","10321","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US05113","Polk County, Arkansas","8050","265","93.9","1.3","0.0","0.4","2.1","1.2","0.1","0.2","0.0","0.4","1.7","0.6","2.2","0.7","3.1","0.5","92.6","1.3","3.0","1.0","26.5","1.8","39.4","2.0","31.0","1.4","5656","272","39.7","2.8","60.3","2.8","76.0","2.9","14.9","2.6","9.1","2.2","2394","273","59.5","5.3","52.9","5.6","6.6","3.5","40.5","5.3","35.7","4.8","4.8","3.6","34.0","(X)","34.5","(X)","32.4","(X)","33479","1948","33519","1999","-","**","40744","18254","-","**","-","**","18710","3608","47750","27244","23438","4335","33575","2012","22696","11431","36104","3831","42394","5734","24663","3623","40705","3446","35716","3602","46023","6120","46493","3883","24423","8830","26850","7414","19142","2528","20338","2859","19407","2429","31591","4729","16161","3656","14594","1615","40986","3803","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US05115","Pope County, Arkansas","22604","509","92.5","0.9","3.1","0.5","0.7","0.4","0.7","0.3","0.0","0.1","2.0","0.7","1.0","0.4","4.9","0.5","90.0","0.8","6.2","1.1","33.7","1.2","38.8","1.3","21.3","1.0","16030","504","41.0","1.9","59.0","1.9","76.7","2.4","16.3","2.0","7.0","1.3","6574","497","53.4","3.4","47.2","3.2","6.2","1.9","46.6","3.4","38.7","3.8","7.9","2.0","22.7","(X)","24.8","(X)","17.0","(X)","40948","1859","41554","2081","37014","21312","29628","27499","46316","32380","-","**","24479","14047","34792","9462","31272","7786","41872","2095","23273","2867","43260","2125","48216","3281","31051","2509","47446","2503","43895","2910","49284","2981","54502","3026","22470","2970","38203","9008","22908","1800","17685","3408","16614","1754","42917","10406","29417","4842","26578","6020","39688","13959","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US05117","Prairie County, Arkansas","3770","123","87.4","1.3","12.1","1.4","0.0","0.9","0.0","0.9","0.0","0.9","0.0","0.9","0.5","0.5","0.2","0.3","87.2","1.4","3.2","1.2","28.6","2.1","39.4","2.3","28.7","1.8","2650","144","37.2","3.3","62.8","3.3","77.6","3.8","14.1","2.9","8.3","2.1","1120","132","45.9","5.9","41.2","5.3","4.7","2.7","54.1","5.9","44.5","6.7","9.6","4.7","36.1","(X)","38.5","(X)","29.2","(X)","35806","2406","37433","2787","25208","6705","-","**","-","**","-","**","-","**","25673","7441","-","**","37383","2861","20000","5522","41389","2725","42649","4199","23140","2451","42162","2257","41837","2868","42481","4445","47790","3103","15888","3448","39300","7938","19038","3026","14738","2849","14003","1167","28984","16179","21576","3329","20500","6623","22404","11140","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US05119","Pulaski County, Arkansas","155516","1091","62.2","0.5","33.6","0.5","0.3","0.1","1.7","0.1","0.0","0.1","0.9","0.2","1.3","0.2","3.9","0.2","59.4","0.5","5.9","0.4","36.6","0.5","38.5","0.5","19.0","0.4","96335","1398","42.3","0.9","57.7","0.9","66.4","1.2","26.9","1.0","6.7","0.7","59181","1466","55.4","1.2","48.8","1.3","6.6","0.8","44.6","1.2","37.0","1.3","7.6","0.7","31.1","(X)","32.2","(X)","28.1","(X)","46102","896","57049","1173","30668","989","49318","9950","63153","8819","-","**","38704","14425","32903","9877","33096","4152","58444","1203","22167","1392","46956","1544","55620","1751","38046","1324","58822","1533","49016","1925","63716","1739","77602","1711","28259","1511","38952","6249","30272","1032","26657","950","25019","1251","47056","4737","35027","2216","31205","1645","54150","3600","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US05121","Randolph County, Arkansas","7274","284","97.7","0.9","0.1","0.2","0.3","0.2","0.1","0.2","0.0","0.4","0.3","0.5","1.5","0.7","1.3","0.6","96.8","0.9","4.6","1.4","29.1","1.8","36.5","1.7","29.8","1.9","5049","281","37.9","3.4","62.1","3.4","80.5","3.6","12.8","3.1","6.8","2.1","2225","225","61.1","5.5","58.4","6.1","2.7","2.0","38.9","5.5","35.5","5.6","3.4","2.1","27.6","(X)","27.6","(X)","25.6","(X)","32539","3276","33305","3226","-","**","18750","13825","-","**","-","**","2,500-","***","21607","13231","58176","48898","32990","3199","22278","13056","41054","8204","40729","11365","21063","3924","46886","6083","48350","10737","45313","6708","51297","3165","23352","9116","28393","17128","16103","1359","15013","1515","14986","1506","23500","29539","19111","4035","17456","3865","54000","100997","(X)","(X)","(X)","(X)","(X)","(X)"
