"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US01131","Wilcox County, Alabama","3792","200","29.6","2.3","70.4","2.3","0.0","0.1","0.0","0.8","0.0","0.8","0.0","0.8","0.0","0.8","0.0","0.8","29.6","2.3","1.3","0.9","27.7","3.1","39.0","3.1","31.9","2.4","2352","191","25.0","4.4","75.0","4.4","58.1","4.5","35.9","5.0","6.0","2.6","1440","177","48.5","5.9","44.7","6.0","3.8","2.5","51.5","5.9","47.9","6.0","3.5","2.7","52.6","(X)","54.4","(X)","49.4","(X)","24442","3100","47928","7038","19338","2866","-","**","-","**","-","**","-","**","-","**","-","**","47928","7038","20313","18915","18208","7963","28724","8383","24559","3974","36941","4418","24659","15971","38720","5020","50711","2870","18703","1873","36563","16351","13225","2739","15194","4577","13382","5707","27250","15683","12581","3533","11419","3779","37917","10371","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US01133","Winston County, Alabama","9436","332","97.7","0.6","0.0","0.3","0.4","0.3","0.1","0.1","0.0","0.3","0.0","0.3","1.8","0.6","1.6","0.5","96.1","0.8","3.0","1.1","25.1","1.8","41.3","1.8","30.7","1.7","6389","327","35.4","2.3","64.6","2.3","78.2","3.3","15.9","3.1","5.9","1.6","3047","294","57.5","4.5","53.0","4.7","4.5","2.4","42.5","4.5","38.6","4.6","3.9","3.4","35.2","(X)","34.7","(X)","35.0","(X)","33896","2242","34482","2264","-","**","23056","13140","-","**","-","**","-","**","11646","1202","27697","2081","34777","2187","21042","3544","35705","6752","43044","6475","24658","2268","42328","3311","36127","6633","45036","5556","51114","4141","22979","4267","35625","7925","18593","840","15691","2118","14509","1713","25625","7732","28107","8125","24358","6910","48455","11757","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US02013","Aleutians East Borough, Alaska","788","141","25.1","2.9","2.9","2.5","57.5","4.9","6.2","4.1","0.1","0.4","1.0","1.0","7.1","2.4","3.2","2.2","23.7","2.8","6.1","2.1","32.9","3.6","45.2","4.1","15.9","2.4","499","93","47.1","4.8","52.9","4.8","59.7","4.7","20.0","3.3","20.2","4.3","289","61","30.8","6.2","22.1","5.5","8.7","2.9","69.2","6.2","52.9","7.9","16.3","4.2","20.8","(X)","23.4","(X)","15.2","(X)","65926","2430","77143","5675","31250","11884","58125","8499","66250","11349","-","**","-","**","73333","47022","52361","5123","78542","7409","35000","20573","72614","10734","73438","6726","45536","7417","73661","6812","66161","5925","77083","5438","84375","4063","33750","8867","66484","2368","49250","5537","35625","11685","21667","4586","79375","12694","51667","3804","50583","3725","64375","36774","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US02016","Aleutians West Census Area, Alaska","1186","162","42.2","7.6","1.8","0.8","19.3","3.1","26.9","5.0","2.1","2.0","5.6","1.7","2.1","0.8","7.2","2.0","40.9","7.5","2.4","1.2","40.8","4.3","47.7","3.6","9.0","1.5","697","87","55.2","3.4","44.8","3.4","71.7","4.0","13.8","2.6","14.5","2.7","489","89","27.4","7.1","21.1","5.2","6.3","2.7","72.6","7.1","52.4","6.6","20.2","3.3","27.0","(X)","28.6","(X)","22.5","(X)","86964","5192","100568","5036","94583","67432","52875","6938","80938","6072","61875","28410","90625","5076","102917","11734","81875","9966","101932","7463","50250","11020","83889","7451","93750","3150","48750","17914","91250","5062","86250","4936","98500","4707","106786","6717","44000","9501","64375","17534","69583","14650","50833","21617","40750","12114","110625","22120","78750","15773","56250","5818","134250","7813","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US02020","Anchorage Municipality, Alaska","104969","915","73.3","0.7","5.7","0.4","5.6","0.4","6.4","0.4","1.5","0.2","1.6","0.3","5.9","0.6","7.0","0.4","69.5","0.6","6.0","0.4","38.5","0.7","40.7","0.6","14.8","0.4","69876","1174","48.4","0.9","51.6","0.9","73.4","1.1","18.2","1.0","8.4","0.6","35093","1097","46.6","1.5","35.3","1.6","11.3","1.2","53.4","1.5","39.7","1.7","13.7","1.2","25.5","(X)","26.1","(X)","21.4","(X)","80862","1295","90762","1909","53244","4156","54840","5805","65315","4383","50436","11940","53699","9326","62826","5786","58382","6187","92471","1935","42472","2135","81146","2028","97368","3097","65533","3194","94369","1934","83234","2270","104404","2076","110649","2321","50264","3762","69192","7703","53517","1775","48927","1884","40593","1676","83131","8427","59244","2590","49317","3434","90417","8521","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US02050","Bethel Census Area, Alaska","4555","141","17.4","2.2","1.0","0.7","74.8","2.6","1.5","0.5","0.2","0.3","0.2","0.3","5.0","1.5","0.9","0.5","17.3","2.2","3.6","1.0","35.5","2.2","43.1","2.1","17.8","1.2","3401","149","58.7","3.3","41.3","3.3","59.7","2.9","25.1","2.5","15.3","1.7","1154","132","38.6","6.2","28.6","6.0","10.0","3.6","61.4","6.2","43.3","5.1","18.1","4.6","55.6","(X)","57.9","(X)","39.7","(X)","53296","2598","96464","10871","80208","7124","42640","2589","-","**","-","**","-","**","67667","4609","-","**","96393","10916","34750","25144","55610","5152","58250","6320","41632","2857","53370","2848","51250","4706","54915","4247","63474","3243","35350","6821","35924","5320","40161","7983","53438","21655","39167","38290","56563","34740","36161","11855","18281","2798","108906","11728","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US02060","Bristol Bay Borough, Alaska","360","42","63.3","5.4","0.0","4.7","28.9","5.7","0.3","0.7","0.6","1.2","0.8","1.2","6.1","3.0","4.2","2.9","60.3","5.2","3.1","2.0","35.6","5.2","47.2","4.7","14.2","3.5","231","33","50.6","5.9","49.4","5.9","75.8","5.8","13.0","4.3","11.3","4.0","129","24","21.7","7.7","17.8","7.5","3.9","3.1","78.3","7.7","57.4","10.0","20.9","7.5","24.7","(X)","26.4","(X)","19.4","(X)","88000","13265","93750","3733","-","**","60000","10005","-","**","-","**","-","**","73750","34983","22083","8096","94896","4623","30417","17097","80833","19872","95000","8699","68125","32074","101875","19261","88125","15477","111667","14103","111750","7793","61250","42540","63750","47423","51875","21336","48333","10846","47639","40649","160625","151766","66250","16175","63333","13866","103750","98707","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US02068","Denali Borough, Alaska","707","76","88.1","5.4","1.4","1.4","2.1","1.0","0.0","2.4","0.0","2.4","0.0","2.4","8.3","5.3","2.4","3.0","87.4","5.6","2.0","1.8","31.1","5.7","51.9","5.9","15.0","4.3","390","49","44.9","9.1","55.1","9.1","87.2","5.1","7.4","4.5","5.4","3.1","317","67","28.7","10.1","24.9","8.9","3.8","4.0","71.3","10.1","56.5","10.2","14.8","7.3","31.1","(X)","28.7","(X)","32.8","(X)","81302","5330","81688","7401","-","**","53750","7764","-","**","-","**","-","**","102891","41165","-","**","82000","8241","113500","29701","100870","19800","79350","4087","52083","18299","101806","9896","106705","17159","96875","11399","105250","13452","49432","20226","103125","48501","55625","17707","36250","9370","35893","12979","-","**","72917","17460","62841","17508","102250","15311","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US02070","Dillingham Census Area, Alaska","1375","69","26.3","5.0","0.1","0.2","66.7","4.7","0.4","0.5","0.0","1.3","1.2","1.0","5.2","1.6","3.4","1.0","24.9","4.8","4.8","1.5","29.6","3.3","47.1","4.0","18.5","1.8","967","63","52.2","4.1","47.8","4.1","61.2","4.0","27.6","3.8","11.2","2.2","408","51","44.1","6.7","38.7","7.0","5.4","2.5","55.9","6.7","48.3","6.6","7.6","3.7","46.3","(X)","47.6","(X)","33.8","(X)","56055","3915","88750","11518","-","**","44526","3281","-","**","-","**","-","**","63500","16543","71528","46141","88438","14905","25000","20267","61250","2398","59545","7689","42188","4508","57039","4197","53015","5652","63125","8786","78833","8399","38224","3958","40729","2073","32500","21258","32083","22357","28750","12144","111250","28766","32917","29359","25179","13591","100417","21217","(X)","(X)","(X)","(X)","(X)","(X)"
