"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US13213","Murray County, Georgia","14300","320","94.8","1.2","1.0","0.6","0.2","0.3","0.2","0.1","0.0","0.3","2.8","1.0","0.9","0.5","8.7","0.8","89.9","1.0","3.4","1.1","38.5","1.8","38.6","1.6","19.5","1.2","10425","456","44.8","2.5","55.2","2.5","75.6","3.1","17.2","2.4","7.2","1.8","3875","400","49.0","4.8","41.7","5.1","7.2","3.2","51.0","4.8","42.7","5.8","8.3","3.5","20.3","(X)","21.4","(X)","17.0","(X)","37004","2939","38264","2332","20478","29094","10598","12532","53462","25973","-","**","27895","6422","32341","17280","28118","1922","38701","2314","32321","11553","41463","4772","40577","3985","21947","2580","42490","3302","41471","2963","44089","4466","49429","3325","26837","2462","36042","14906","20227","2900","14826","1393","13764","1322","55962","21022","28878","4471","29141","4537","28065","12722","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13215","Muscogee County, Georgia","72087","1258","49.4","0.7","45.0","0.7","0.3","0.1","1.9","0.2","0.3","0.1","1.6","0.3","1.5","0.3","4.5","0.4","47.4","0.8","5.6","0.6","36.6","0.7","37.1","0.7","20.6","0.6","46505","1059","48.3","1.2","51.7","1.2","59.7","1.1","33.7","1.1","6.6","0.7","25582","978","56.5","1.8","50.9","1.9","5.6","1.0","43.5","1.8","36.1","1.9","7.5","1.2","27.5","(X)","28.8","(X)","24.0","(X)","41088","779","50755","1465","31711","1053","39484","19844","57143","15939","75142","118896","35989","5103","31914","3780","39356","5049","51040","1467","18422","2831","43431","1924","51764","2171","30775","1233","51189","1370","42802","3060","59483","2004","70006","2601","26261","1143","39787","7321","26259","958","21047","1721","19629","1543","34760","7132","31675","1645","30301","1469","42149","7541","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13217","Newton County, Georgia","33634","632","59.4","1.2","37.3","1.1","0.4","0.3","0.6","0.4","0.0","0.1","0.9","0.4","1.3","0.6","3.3","0.4","57.6","1.0","3.3","0.7","41.8","1.1","39.1","1.2","15.8","0.8","25713","761","51.5","2.0","48.5","2.0","67.8","2.4","25.0","2.0","7.3","1.4","7921","605","54.7","4.4","47.9","4.1","6.7","2.4","45.3","4.4","37.6","4.5","7.7","2.5","25.4","(X)","25.8","(X)","23.1","(X)","51691","1697","56824","2502","45023","3483","28977","27405","22868","13851","-","**","31875","10787","36458","13366","36241","5502","57271","2499","31411","3949","55878","4426","55041","2207","38025","3598","56781","1964","54198","3617","59646","3115","68859","2720","30724","2348","41040","7553","32541","3676","27639","5926","24130","4417","45900","14257","40083","2671","38420","5402","58145","14702","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13219","Oconee County, Georgia","11155","268","91.4","1.5","4.8","0.9","0.1","0.1","2.2","0.6","0.1","0.1","1.0","0.7","0.5","0.4","3.2","0.7","89.4","1.5","2.3","1.0","33.1","1.6","45.8","1.7","18.9","1.2","8910","353","50.4","2.3","49.6","2.3","82.8","2.4","13.6","2.1","3.5","1.0","2245","283","62.1","7.2","51.8","6.9","10.3","3.7","37.9","7.2","31.9","7.3","5.9","3.2","22.9","(X)","22.8","(X)","22.0","(X)","75136","2601","76908","3163","39659","23196","-","**","120417","37008","-","**","71000","51344","36597","84387","71667","22508","77176","3453","57875","36712","75181","4961","87981","7011","45034","5587","84797","4655","92955","5120","75591","3637","95076","4183","38700","9572","43973","5979","36047","4452","36433","6118","33558","9417","53929","31930","35641","7627","32471","5922","80469","45547","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13221","Oglethorpe County, Georgia","4793","233","82.6","2.5","15.8","2.2","0.0","0.1","1.0","0.7","0.0","0.8","0.0","0.8","0.6","0.7","1.0","1.0","82.0","2.7","0.7","0.6","32.1","3.2","42.7","3.4","24.4","2.6","3540","245","40.8","3.8","59.2","3.8","79.6","4.5","15.1","4.9","5.4","2.8","1253","217","39.5","9.0","36.9","9.1","2.6","2.5","60.5","9.0","49.9","8.7","10.6","6.6","27.0","(X)","29.2","(X)","19.1","(X)","43255","7740","52794","9319","24583","7456","-","**","27130","34902","-","**","-","**","35764","9019","36319","11477","53272","9945","28333","12872","49674","13787","58432","4719","26898","4721","57480","4029","58470","6900","56208","7435","61678","5989","19766","6661","27188","34464","22702","4833","21544","13618","15500","13182","41250","39777","23030","6192","19867","5966","32049","41536","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13223","Paulding County, Georgia","47691","527","81.8","0.9","16.1","0.8","0.4","0.2","0.7","0.3","0.0","0.1","0.3","0.2","0.8","0.3","3.5","0.5","78.5","0.9","4.5","0.8","46.6","1.2","37.1","1.2","11.8","0.6","38635","697","54.7","1.8","45.3","1.8","75.8","1.8","17.5","1.6","6.7","1.0","9056","702","49.4","3.8","41.9","4.3","7.5","2.3","50.6","3.8","38.5","4.6","12.1","3.4","28.6","(X)","28.7","(X)","24.9","(X)","63023","2066","64656","2010","53563","3641","31066","16507","86220","32706","-","**","48750","22931","72933","19147","53169","18414","65046","1987","40406","9190","67596","2314","69069","3327","32906","4509","67355","2025","68279","2155","65916","3754","74198","1906","33846","5678","52791","12096","37915","3842","30707","2336","28820","2595","48426","9623","44690","6579","39162","3394","72537","9870","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13225","Peach County, Georgia","9188","536","55.6","2.7","40.4","2.6","0.0","0.4","0.9","0.4","0.1","0.1","1.8","0.7","1.3","0.8","4.1","0.6","53.6","2.8","4.7","3.5","32.5","2.3","40.3","2.6","22.5","2.2","6543","415","37.7","3.3","62.3","3.3","72.5","3.5","21.9","3.3","5.6","1.9","2645","315","54.9","6.2","49.3","6.9","5.5","4.2","45.1","6.2","37.7","6.1","7.5","3.7","38.7","(X)","41.0","(X)","33.2","(X)","41333","4932","52774","6459","28781","4006","-","**","47384","59008","-","**","26531","32367","72917","60505","27008","23499","53628","6543","20391","5680","44476","7760","56268","6729","31391","5796","53408","6302","42712","5962","61881","5335","66847","5031","17905","2866","38403","12322","19149","3679","13709","2629","13381","2887","15203","3911","26356","5710","25895","6441","28667","38726","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13227","Pickens County, Georgia","11116","312","97.2","1.0","0.9","0.4","0.2","0.3","0.4","0.1","0.0","0.4","0.7","0.6","0.6","0.6","1.8","0.6","96.1","1.0","2.9","1.0","29.9","1.8","42.0","1.7","25.2","1.4","8084","404","37.7","2.3","62.3","2.3","87.0","2.2","9.3","2.0","3.7","1.4","3032","321","52.2","5.1","47.8","5.1","4.4","1.9","47.8","5.1","39.0","5.5","8.8","4.2","27.5","(X)","29.1","(X)","22.3","(X)","50582","2437","51623","2352","40714","29566","-","**","19792","15870","-","**","27619","1942","31273","494","29732","8114","51741","2507","32054","10322","49195","5719","61225","6288","37848","4993","61332","2733","54756","3534","66719","3151","64524","3397","42375","5120","32028","11372","23800","5042","19476","3702","17473","4652","51250","33291","32478","7046","32054","9536","32877","10565","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US13229","Pierce County, Georgia","6914","251","85.5","2.0","11.9","1.8","0.1","0.1","0.1","0.1","0.0","0.6","2.1","0.8","0.3","0.3","3.3","0.6","84.4","2.0","3.9","1.8","35.3","2.5","37.5","2.4","23.3","1.7","5143","288","45.0","3.2","55.0","3.2","74.8","3.7","20.8","3.6","4.5","2.4","1771","267","55.1","6.8","50.3","7.3","4.7","3.5","44.9","6.8","37.3","6.3","7.6","5.3","40.6","(X)","40.9","(X)","37.1","(X)","37489","4441","42500","5191","25796","6422","17917","13039","-","**","-","**","24547","50922","24231","8879","24397","27344","42866","5062","5575","3029","48651","9156","38371","5595","31152","5549","46792","2643","46917","7907","46675","3390","56671","4338","26378","3415","9728","9747","22015","5541","15046","4060","13472","3694","30000","19288","27071","1923","26438","2226","53185","44080","(X)","(X)","(X)","(X)","(X)","(X)"
