DMV ID,DMV Snapshot (Date),ZIP Code,Registration Expiration Date,VIN Prefix,VIN Model Year,Registration Valid Date,Make,Model,Model Year
4,DMV Direct (5/1/2018),55113,7/31/2018,1N4AZ0CP,G,5/1/2018,Nissan,Leaf,2016
4,DMV Direct (5/1/2018),55123,7/31/2018,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55410,5/31/2019,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55057,5/31/2019,WBY1Z4C5,G,5/1/2018,BMW,i3 REx,2016
4,DMV Direct (5/1/2018),56378,2/28/2019,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55001,11/30/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55315,11/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),56444,11/30/2018,5YJXCDE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55416,5/31/2019,WBY1Z4C5,G,5/1/2018,BMW,i3 REx,2016
4,DMV Direct (5/1/2018),55044,5/31/2019,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),56757,2/29/2020,52CG4AGA,G,5/1/2018,GEM,NEV,2016
4,DMV Direct (5/1/2018),56017,11/30/2018,5YJXCBE4,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55071,11/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),56071,11/30/2018,5YJXCDE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55402,11/30/2018,5YJXCDE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55415,11/30/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),56063,11/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55403,1/31/2019,1FADP5CU,G,5/1/2018,Ford,C-Max Energi,2016
4,DMV Direct (5/1/2018),56374,1/31/2019,YV4BC0PL,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55401,5/31/2019,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55391,1/31/2019,5YJXCAE4,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55346,1/31/2019,1FADP5CU,G,5/1/2018,Ford,C-Max Energi,2016
4,DMV Direct (5/1/2018),55437,1/31/2019,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55410,5/31/2019,YV4BC0PK,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55410,5/31/2019,YV4BC0PK,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55419,5/31/2019,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55340,5/31/2019,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55317,5/31/2019,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55391,5/31/2019,5YJXCAE4,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55340,11/30/2018,5YJXCAE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55428,11/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55305,11/30/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55902,11/30/2018,5YJXCBE4,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55345,11/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55811,11/30/2018,5YJXCAE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55433,11/30/2018,5YJXCDE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55126,11/30/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55123,11/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55419,11/30/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55378,11/30/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55422,11/30/2018,5YJXCDE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55126,11/30/2018,5YJXCBE4,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55424,11/30/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55439,11/30/2018,5YJXCAE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55439,11/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55115,11/30/2018,5YJXCDE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55403,11/30/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55424,11/30/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55127,11/30/2018,5YJXCDE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55127,11/30/2018,5YJSA1E1,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55345,11/30/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55436,11/30/2018,WP1AE2A2,G,5/1/2018,Porsche,Cayenne S E-Hybrid,2016
4,DMV Direct (5/1/2018),55346,11/30/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55060,11/30/2018,5YJXCBE4,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55331,1/31/2019,1FADP3R4,G,5/1/2018,Ford,Focus EV,2016
4,DMV Direct (5/1/2018),55369,9/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55416,9/30/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55118,9/30/2018,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55125,9/30/2018,YV4BC0PK,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55106,9/30/2018,WBY1Z4C5,G,5/1/2018,BMW,i3 REx,2016
4,DMV Direct (5/1/2018),55379,9/30/2018,YV4BC0PK,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55391,9/30/2018,YV4BC0PK,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55436,9/30/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55409,9/30/2018,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55118,9/30/2018,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55417,9/30/2018,1FADP5CU,G,5/1/2018,Ford,C-Max Energi,2016
4,DMV Direct (5/1/2018),55427,9/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55410,4/30/2019,WBY1Z4C5,G,5/1/2018,BMW,i3 REx,2016
4,DMV Direct (5/1/2018),55317,4/30/2019,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55343,4/30/2019,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55912,4/30/2019,YV4BC0PM,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55447,4/30/2019,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55432,4/30/2019,WAUUPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55311,4/30/2019,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55116,4/30/2019,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55303,4/30/2019,WAUSPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55118,4/30/2019,WBY1Z4C5,G,5/1/2018,BMW,i3 REx,2016
4,DMV Direct (5/1/2018),55416,4/30/2019,5YJXCAE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55104,4/30/2019,YV4BC0PK,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55315,9/30/2018,WBA8E1C5,G,5/1/2018,BMW,3-Series Plug in,2016
4,DMV Direct (5/1/2018),55391,12/31/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55410,12/31/2018,KMHE54L2,G,5/1/2018,Hyundai,Sonata Plug In,2016
4,DMV Direct (5/1/2018),55408,12/31/2018,5YJXCDE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55405,12/31/2018,WP1AE2A2,G,5/1/2018,Porsche,Cayenne S E-Hybrid,2016
4,DMV Direct (5/1/2018),55435,12/31/2018,WP0AD2A7,G,5/1/2018,Porsche,Panamera S E-Hybrid,2016
4,DMV Direct (5/1/2018),55331,12/31/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55044,12/31/2018,KMHE54L2,G,5/1/2018,Hyundai,Sonata Plug In,2016
4,DMV Direct (5/1/2018),55305,1/31/2019,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55446,1/31/2019,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55105,12/31/2018,YV4BC0PM,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55419,12/31/2018,WVWKP7AU,G,5/1/2018,Volkswagen,e-Golf,2016
4,DMV Direct (5/1/2018),55044,12/31/2018,WBY2Z2C5,G,5/1/2018,BMW,i8,2016
4,DMV Direct (5/1/2018),55112,12/31/9999,1E9EA15S,G,5/1/2018,E-Ride,EXV,2016
4,DMV Direct (5/1/2018),55311,10/31/2018,WP1AE2A2,G,5/1/2018,Porsche,Cayenne S E-Hybrid,2016
4,DMV Direct (5/1/2018),55372,10/31/2018,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55155,12/31/9999,1N4AZ0CP,G,5/1/2018,Nissan,Leaf,2016
4,DMV Direct (5/1/2018),55112,12/31/9999,1N4AZ0CP,G,5/1/2018,Nissan,Leaf,2016
4,DMV Direct (5/1/2018),55112,12/31/9999,1N4AZ0CP,G,5/1/2018,Nissan,Leaf,2016
4,DMV Direct (5/1/2018),55001,10/31/2018,3FA6P0SU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55384,12/31/2018,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55424,12/31/2018,WAUTPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55413,10/31/2018,WP1AE2A2,G,5/1/2018,Porsche,Cayenne S E-Hybrid,2016
4,DMV Direct (5/1/2018),55414,10/31/2018,WP1AE2A2,G,5/1/2018,Porsche,Cayenne S E-Hybrid,2016
4,DMV Direct (5/1/2018),55359,10/31/2018,52CG4AGA,G,5/1/2018,GEM,NEV,2016
4,DMV Direct (5/1/2018),55401,10/31/2018,WVWPP7AU,G,5/1/2018,Volkswagen,e-Golf,2016
4,DMV Direct (5/1/2018),55410,7/31/2018,5YJXCAE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55318,7/31/2018,3FA6P0SU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55024,7/31/2018,3FA6P0SU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55436,7/31/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55906,7/31/2018,3FA6P0SU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55060,7/31/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55416,3/31/2019,3FA6P0SU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55410,3/31/2019,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55129,3/31/2019,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55125,7/31/2018,3FA6P0SU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55044,7/31/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55113,3/31/2019,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55401,2/28/2019,5YJXCBE4,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),94538,2/28/2019,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),02081,7/31/2018,52CG2DGA,G,5/1/2018,GEM,NEV,2016
4,DMV Direct (5/1/2018),55405,2/28/2019,YV4BC0PL,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55107,2/28/2019,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55424,2/28/2019,5YJXCAE4,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55409,7/31/2018,WBY1Z4C5,G,5/1/2018,BMW,i3 REx,2016
4,DMV Direct (5/1/2018),55424,7/31/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55442,7/31/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55402,7/31/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),56009,7/31/2018,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55340,7/31/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55426,3/31/2019,5YJXCBE4,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55347,9/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55117,9/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55443,9/30/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55305,9/30/2018,WAUUPBFF,G,5/1/2018,Audi,A3 Plug In,2016
4,DMV Direct (5/1/2018),55432,9/30/2018,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55345,9/30/2018,YV4BC0PL,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55311,9/30/2018,5YJXCAE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55311,9/30/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55416,9/30/2018,YV4BC0PL,G,5/1/2018,Volvo,XC90 Plug In,2016
4,DMV Direct (5/1/2018),55113,9/30/2018,WBY1Z4C5,G,5/1/2018,BMW,i3 REx,2016
4,DMV Direct (5/1/2018),55303,9/30/2018,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55311,9/30/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55108,3/31/2019,5YJXCBE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55356,3/31/2019,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55124,3/31/2019,52CG2DGA,G,5/1/2018,GEM,NEV,2016
4,DMV Direct (5/1/2018),55317,3/31/2019,5YJXCAE2,G,5/1/2018,Tesla,Model X,2016
4,DMV Direct (5/1/2018),55346,3/31/2019,3FA6P0PU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55803,3/31/2019,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55331,9/30/2018,5UXKT0C5,G,5/1/2018,BMW,X5,2016
4,DMV Direct (5/1/2018),55410,9/30/2018,KMHE54L2,G,5/1/2018,Hyundai,Sonata Plug In,2016
4,DMV Direct (5/1/2018),55391,9/30/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
4,DMV Direct (5/1/2018),55124,3/31/2019,3FA6P0SU,G,5/1/2018,Ford,Fusion Energi,2016
4,DMV Direct (5/1/2018),55405,9/30/2018,5YJSA1E4,G,5/1/2018,Tesla,Model S,2016
