DMV ID,DMV Snapshot (Date),Registration Valid Date,ZIP Code,VIN Prefix,Registration Expiration Date,VIN Model Year,Make,Model,Model Year
2,DMV Direct (8/20/2019),8/30/2018,21222,1G1RA6E4,,F,Chevrolet,Volt,2015
2,DMV Direct (8/20/2019),4/24/2019,48461,1G1FZ6S0,,K,Chevrolet,Bolt EV,2019
2,DMV Direct (8/20/2019),8/30/2018,49770,52CG4AGA,,E,GEM,NEV,2014
2,DMV Direct (8/20/2019),4/24/2019,48203,JTDKN3DP,,C,Toyota,Prius Plug-in,2012
2,DMV Direct (8/20/2019),8/30/2018,49677,1G1RA6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),4/24/2019,48188,1G1FW6S0,,J,Chevrolet,Bolt EV,2018
2,DMV Direct (8/20/2019),8/30/2018,48371,5YJSA1E2,,G,Tesla,Model S,2016
2,DMV Direct (8/20/2019),4/24/2019,49431,JTDKARFP,,J,Toyota,Prius Prime,2018
2,DMV Direct (8/20/2019),8/30/2018,48640,1G1FW6S0,,H,Chevrolet,Bolt EV,2017
2,DMV Direct (8/20/2019),8/30/2018,48069,YV4BC0PL,,H,Volvo,XC90 Plug In,2017
2,DMV Direct (8/20/2019),8/30/2018,48640,1G1RA6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),4/24/2019,48186,1FADP5CU,,D,Ford,C-Max Energi,2013
2,DMV Direct (8/20/2019),8/30/2018,48092,1G1RB6S5,,J,Chevrolet,Volt,2018
2,DMV Direct (8/20/2019),8/31/2018,48197,1FADP5CU,,G,Ford,C-Max Energi,2016
2,DMV Direct (8/20/2019),8/31/2018,48879,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),8/31/2018,48104,JTDKN3DP,,C,Toyota,Prius Plug-in,2012
2,DMV Direct (8/20/2019),8/31/2018,48306,5YJ3E1EA,,J,Tesla,Model 3,2018
2,DMV Direct (8/20/2019),8/30/2018,49087,1G1RA6S5,,J,Chevrolet,Volt,2018
2,DMV Direct (8/20/2019),4/24/2019,48108,5YJ3E1EB,,J,Tesla,Model 3,2018
2,DMV Direct (8/20/2019),8/30/2018,48067,3FA6P0PU,,H,Ford,Fusion Energi,2017
2,DMV Direct (8/20/2019),4/24/2019,48823,1G1RD6E4,,C,Chevrolet,Volt,2012
2,DMV Direct (8/20/2019),8/30/2018,48092,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),4/24/2019,49419,JTDKARFP,,J,Toyota,Prius Prime,2018
2,DMV Direct (8/20/2019),8/30/2018,49301,5YJSA1E2,,H,Tesla,Model S,2017
2,DMV Direct (8/20/2019),8/28/2018,48114,1G1RB6E4,,D,Chevrolet,Volt,2013
2,DMV Direct (8/20/2019),8/28/2018,48188,1G1RB6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),8/28/2018,48105,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),8/28/2018,49230,5YJ3E1EA,,J,Tesla,Model 3,2018
2,DMV Direct (8/20/2019),8/28/2018,48103,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),8/28/2018,49337,5YJSA1E2,,G,Tesla,Model S,2016
2,DMV Direct (8/20/2019),8/28/2018,48322,1G1RB6E4,,D,Chevrolet,Volt,2013
2,DMV Direct (8/20/2019),4/26/2019,48032,1FADP5CU,,F,Ford,C-Max Energi,2015
2,DMV Direct (8/20/2019),8/28/2018,48104,5YJXCAE2,,G,Tesla,Model X,2016
2,DMV Direct (8/20/2019),8/28/2018,49286,5UXKT0C5,,H,BMW,X5,2017
2,DMV Direct (8/20/2019),8/28/2018,43402,1G1RD6E4,,E,Chevrolet,Volt,2014
2,DMV Direct (8/20/2019),4/26/2019,48094,5YJXCBE4,,H,Tesla,Model X,2017
2,DMV Direct (8/20/2019),8/28/2018,48439,3FA6P0SU,,H,Ford,Fusion Energi,2017
2,DMV Direct (8/20/2019),8/28/2018,49423,1G1FX6S0,,H,Chevrolet,Bolt EV,2017
2,DMV Direct (8/20/2019),4/26/2019,49331,5YJSA1S2,,F,Tesla,Model S,2015
2,DMV Direct (8/20/2019),4/26/2019,49221,1G1RD6E4,,D,Chevrolet,Volt,2013
2,DMV Direct (8/20/2019),4/26/2019,48309,JTDKN3DP,,C,Toyota,Prius Plug-in,2012
2,DMV Direct (8/20/2019),4/26/2019,48809,1FADP5CU,,E,Ford,C-Max Energi,2014
2,DMV Direct (8/20/2019),8/28/2018,48038,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),8/28/2018,48083,1G1RA6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),4/26/2019,49601,1G1RA6S5,,J,Chevrolet,Volt,2018
2,DMV Direct (8/20/2019),8/28/2018,48125,1FADP5CU,,E,Ford,C-Max Energi,2014
2,DMV Direct (8/20/2019),8/28/2018,48823,1N4AZ0CP,,F,Nissan,Leaf,2015
2,DMV Direct (8/20/2019),8/28/2018,48162,5YJXCAE2,,G,Tesla,Model X,2016
2,DMV Direct (8/20/2019),4/26/2019,48317,5YJ3E1EB,,J,Tesla,Model 3,2018
2,DMV Direct (8/20/2019),4/26/2019,48103,1FADP5CU,,E,Ford,C-Max Energi,2014
2,DMV Direct (8/20/2019),4/26/2019,48044,1G1RB6S5,,H,Chevrolet,Volt,2017
2,DMV Direct (8/20/2019),8/28/2018,48848,1G1RB6S5,,G,Chevrolet,Volt,2016
2,DMV Direct (8/20/2019),8/28/2018,49670,1G1RB6S5,,H,Chevrolet,Volt,2017
