id,geographic area name,occupied housing units,"1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more units,mobile home,"boat, rv, van, etc.",year,1-unit attached,boat rv van etc.
0500000US48035,"Bosque County, Texas",7027,,179,104,11,21,50,1469,,2017,130,11
0500000US48153,"Floyd County, Texas",2320,,66,41,0,39,30,137,,2017,19,0
0500000US48029,"Bexar County, Texas",627889,,10685,26399,44723,52750,59435,18454,,2017,16258,257
0500000US48417,"Shackelford County, Texas",1257,,9,8,58,14,5,307,,2017,9,8
0500000US48427,"Starr County, Texas",16320,,629,685,422,98,156,1751,,2017,92,14
0500000US48433,"Stonewall County, Texas",458,,24,0,0,0,0,100,,2017,2,0
0500000US48461,"Upton County, Texas",1308,,7,7,0,21,0,202,,2017,12,17
0500000US48021,"Bastrop County, Texas",26015,,697,493,299,223,286,8299,,2017,357,326
0500000US48049,"Brown County, Texas",13835,,290,621,489,163,409,3563,,2017,136,29
0500000US48191,"Hall County, Texas",1244,,32,67,18,6,0,83,,2017,19,1
0500000US48025,"Bee County, Texas",8531,,461,520,420,173,28,1298,,2017,185,5
0500000US48159,"Franklin County, Texas",3931,,43,107,42,34,29,716,,2017,15,47
0500000US48163,"Frio County, Texas",4530,,90,89,80,0,85,1440,,2017,73,37
0500000US48017,"Bailey County, Texas",2230,,0,61,26,0,56,370,,2017,0,0
0500000US48071,"Chambers County, Texas",13320,,25,23,367,168,272,2701,,2017,160,40
0500000US48023,"Baylor County, Texas",1644,,104,17,0,0,0,242,,2017,18,0
0500000US48027,"Bell County, Texas",116397,,8056,7736,6923,6496,5117,8895,,2017,4939,188
0500000US48061,"Cameron County, Texas",122188,,5527,7275,6065,3561,9247,17582,,2017,3550,373
0500000US48121,"Denton County, Texas",275164,,1907,7228,15062,21588,29188,11049,,2017,5580,246
0500000US48113,"Dallas County, Texas",906179,,13310,42273,86261,100552,155629,14955,,2017,36060,335
0500000US48177,"Gonzales County, Texas",7018,,285,317,39,60,133,2228,,2017,92,5
0500000US48265,"Kerr County, Texas",20580,,399,763,921,224,754,4467,,2017,489,102
0500000US48305,"Lynn County, Texas",2147,,53,28,29,22,24,276,,2017,25,0
0500000US48311,"McMullen County, Texas",194,,0,0,2,0,0,91,,2017,0,2
0500000US48503,"Young County, Texas",7066,,148,65,138,19,75,894,,2017,168,44
0500000US48505,"Zapata County, Texas",4457,,168,224,40,19,20,2212,,2017,0,35
0500000US48251,"Johnson County, Texas",55467,,1046,1470,1280,729,1044,12737,,2017,616,108
0500000US48221,"Hood County, Texas",21527,,215,413,387,489,900,5254,,2017,632,123
0500000US48223,"Hopkins County, Texas",13287,,137,399,662,171,347,2002,,2017,138,59
0500000US48357,"Ochiltree County, Texas",3549,,135,48,18,76,99,565,,2017,41,0
0500000US48269,"King County, Texas",101,,2,0,0,0,4,23,,2017,2,0
0500000US48089,"Colorado County, Texas",7603,,84,60,149,137,133,1774,,2017,109,13
0500000US48409,"San Patricio County, Texas",23246,,1034,1377,897,326,428,2633,,2017,190,55
0500000US48379,"Rains County, Texas",4333,,23,63,51,43,29,1223,,2017,110,48
0500000US48381,"Randall County, Texas",49118,,782,620,2294,2210,3471,4106,,2017,1827,33
0500000US48385,"Real County, Texas",1123,,24,4,8,0,0,775,,2017,13,0
0500000US48411,"San Saba County, Texas",2135,,96,30,28,0,0,421,,2017,66,0
0500000US48413,"Schleicher County, Texas",1102,,7,34,45,0,9,330,,2017,4,0
0500000US48431,"Sterling County, Texas",462,,0,0,0,0,0,142,,2017,0,0
0500000US48507,"Zavala County, Texas",3536,,349,182,0,56,13,867,,2017,42,40
0500000US48057,"Calhoun County, Texas",7733,,153,499,94,142,231,1928,,2017,66,47
0500000US48065,"Carson County, Texas",2292,,7,10,3,17,11,359,,2017,0,6
0500000US48275,"Knox County, Texas",1376,,96,61,0,0,0,64,,2017,16,0
0500000US48309,"McLennan County, Texas",88208,,4246,4156,4891,5598,5204,5669,,2017,2503,133
0500000US48073,"Cherokee County, Texas",17885,,512,208,355,140,266,3990,,2017,334,137
0500000US48095,"Concho County, Texas",791,,23,16,7,3,4,282,,2017,16,0
0500000US48119,"Delta County, Texas",2035,,34,102,24,7,10,277,,2017,13,0
0500000US48137,"Edwards County, Texas",634,,9,5,0,0,0,451,,2017,0,0
0500000US48133,"Eastland County, Texas",6437,,200,283,120,54,124,1995,,2017,85,0
0500000US48253,"Jones County, Texas",5635,,143,73,16,0,34,1145,,2017,69,21
0500000US48155,"Foard County, Texas",562,,44,24,0,0,0,112,,2017,6,0
0500000US48161,"Freestone County, Texas",7232,,135,182,84,36,7,2690,,2017,35,24
0500000US48175,"Goliad County, Texas",2755,,81,32,9,7,0,626,,2017,21,25
0500000US48193,"Hamilton County, Texas",3157,,98,52,25,28,15,344,,2017,25,4
0500000US48335,"Mitchell County, Texas",2639,,54,1,39,7,82,605,,2017,8,0
0500000US48449,"Titus County, Texas",10675,,191,524,370,221,219,2362,,2017,116,9
0500000US48045,"Briscoe County, Texas",664,,27,2,11,4,4,94,,2017,4,0
0500000US48285,"Lavaca County, Texas",7684,,217,72,45,37,101,1892,,2017,37,67
0500000US48291,"Liberty County, Texas",25974,,644,558,308,586,363,9404,,2017,154,288
0500000US48243,"Jeff Davis County, Texas",1007,,0,0,0,14,0,322,,2017,35,33
0500000US48247,"Jim Hogg County, Texas",1587,,153,74,12,10,24,259,,2017,21,0
0500000US48249,"Jim Wells County, Texas",13614,,396,386,439,206,193,2254,,2017,136,15
0500000US48339,"Montgomery County, Texas",186861,,822,2450,4898,9288,14167,27731,,2017,4554,494
0500000US48111,"Dallam County, Texas",2432,,89,72,80,44,32,563,,2017,22,0
0500000US48127,"Dimmit County, Texas",3476,,164,99,14,0,113,865,,2017,32,7
0500000US48479,"Webb County, Texas",72379,,1470,3697,2715,3622,4869,8281,,2017,2795,42
0500000US48157,"Fort Bend County, Texas",222331,,674,1156,4404,8767,9234,7234,,2017,5110,189
0500000US48011,"Armstrong County, Texas",702,,0,0,0,3,0,121,,2017,5,5
0500000US48069,"Castro County, Texas",2462,,79,106,16,55,6,298,,2017,8,0
0500000US48445,"Terry County, Texas",4142,,110,69,19,21,121,542,,2017,33,8
0500000US48331,"Milam County, Texas",9437,,439,171,184,108,73,1705,,2017,251,34
0500000US48093,"Comanche County, Texas",5107,,62,48,27,63,37,1753,,2017,45,8
0500000US48145,"Falls County, Texas",5405,,95,25,54,196,213,1033,,2017,32,0
0500000US48047,"Brooks County, Texas",2022,,104,41,22,82,26,347,,2017,24,31
0500000US48015,"Austin County, Texas",11021,,207,564,259,15,195,2095,,2017,241,0
0500000US48261,"Kenedy County, Texas",152,,0,13,0,0,0,9,,2017,0,4
0500000US48355,"Nueces County, Texas",128857,,4955,10047,11057,6174,8491,4853,,2017,2847,328
0500000US48197,"Hardeman County, Texas",1533,,88,25,7,0,22,255,,2017,23,0
0500000US48497,"Wise County, Texas",21691,,227,221,449,130,160,6617,,2017,344,141
0500000US48235,"Irion County, Texas",648,,0,0,0,0,0,96,,2017,11,0
0500000US48273,"Kleberg County, Texas",10958,,288,957,636,497,493,864,,2017,256,60
0500000US48489,"Willacy County, Texas",5737,,215,210,103,96,46,736,,2017,122,51
0500000US48139,"Ellis County, Texas",54725,,899,1503,1436,1283,1561,6368,,2017,860,64
0500000US48239,"Jackson County, Texas",5232,,13,148,313,84,37,1124,,2017,26,53
0500000US48343,"Morris County, Texas",5024,,323,133,13,11,16,612,,2017,33,62
0500000US48361,"Orange County, Texas",32272,,645,461,1226,896,615,6175,,2017,310,108
0500000US48429,"Stephens County, Texas",3361,,70,44,111,79,64,928,,2017,34,0
0500000US48495,"Winkler County, Texas",2524,,32,0,38,72,0,231,,2017,47,17
0500000US48201,"Harris County, Texas",1562813,,21162,50695,98779,189290,253075,43517,,2017,70418,1183
0500000US48003,"Andrews County, Texas",5413,,26,112,57,101,152,1361,,2017,22,33
0500000US48053,"Burnet County, Texas",16545,,297,996,131,257,355,3658,,2017,452,68
0500000US48171,"Gillespie County, Texas",10795,,74,465,183,127,220,1765,,2017,121,27
0500000US49027,"Millard County, Utah",4235,,24,48,17,73,99,330,,2017,5,0
0500000US49025,"Kane County, Utah",2514,,102,39,15,10,0,537,,2017,105,2
0500000US49043,"Summit County, Utah",14781,,246,901,1317,1246,4284,425,,2017,2473,7
0500000US49019,"Grand County, Utah",3873,,345,139,109,154,48,1229,,2017,121,0
0500000US49031,"Piute County, Utah",516,,2,0,0,0,0,85,,2017,2,3
0500000US49033,"Rich County, Utah",601,,0,75,21,13,20,545,,2017,79,0
0500000US49051,"Wasatch County, Utah",9040,,144,129,409,406,431,76,,2017,824,0
0500000US49001,"Beaver County, Utah",2313,,21,42,37,42,0,170,,2017,6,0
0500000US49003,"Box Elder County, Utah",17035,,345,1038,380,343,298,646,,2017,515,10
0500000US49021,"Iron County, Utah",15575,,564,768,1405,993,1294,1351,,2017,1296,17
0500000US49039,"Sanpete County, Utah",8366,,173,208,165,233,150,711,,2017,72,0
0500000US49041,"Sevier County, Utah",7171,,96,158,86,108,106,726,,2017,142,2
0500000US49049,"Utah County, Utah",155664,,6932,8847,5406,8852,7113,3013,,2017,14098,90
0500000US49057,"Weber County, Utah",81298,,3311,4554,2678,2735,4911,2846,,2017,4502,104
0500000US49045,"Tooele County, Utah",19562,,301,520,327,349,543,1347,,2017,1148,0
