id,geographic area name,total population,year
0500000US13013,"Barrow County, Georgia",66359,2010
0500000US13015,"Bartow County, Georgia",97423,2010
0500000US13017,"Ben Hill County, Georgia",17631,2010
0500000US13019,"Berrien County, Georgia",18708,2010
0500000US13021,"Bibb County, Georgia",154810,2010
0500000US13023,"Bleckley County, Georgia",12937,2010
0500000US13025,"Brantley County, Georgia",17650,2010
0500000US13027,"Brooks County, Georgia",16338,2010
0500000US13029,"Bryan County, Georgia",29039,2010
0500000US13031,"Bulloch County, Georgia",67298,2010
0500000US13033,"Burke County, Georgia",23083,2010
0500000US13035,"Butts County, Georgia",23401,2010
0500000US13037,"Calhoun County, Georgia",6488,2010
0500000US13039,"Camden County, Georgia",49293,2010
0500000US13043,"Candler County, Georgia",10715,2010
0500000US13045,"Carroll County, Georgia",109227,2010
0500000US13047,"Catoosa County, Georgia",62951,2010
0500000US13049,"Charlton County, Georgia",12310,2010
0500000US13051,"Chatham County, Georgia",256428,2010
0500000US13053,"Chattahoochee County, Georgia",11702,2010
0500000US13055,"Chattooga County, Georgia",25985,2010
0500000US13057,"Cherokee County, Georgia",206283,2010
0500000US13059,"Clarke County, Georgia",115070,2010
0500000US13063,"Clayton County, Georgia",260156,2010
0500000US13065,"Clinch County, Georgia",6841,2010
0500000US13067,"Cobb County, Georgia",677402,2010
0500000US13069,"Coffee County, Georgia",41647,2010
0500000US13071,"Colquitt County, Georgia",44712,2010
0500000US13073,"Columbia County, Georgia",117858,2010
0500000US13075,"Cook County, Georgia",16976,2010
0500000US13077,"Coweta County, Georgia",121528,2010
0500000US13079,"Crawford County, Georgia",12821,2010
0500000US13081,"Crisp County, Georgia",23182,2010
0500000US13083,"Dade County, Georgia",16595,2010
0500000US13085,"Dawson County, Georgia",21758,2010
0500000US13087,"Decatur County, Georgia",27920,2010
0500000US13089,"DeKalb County, Georgia",685371,2010
0500000US13091,"Dodge County, Georgia",21402,2010
0500000US13093,"Dooly County, Georgia",14283,2010
