id,geographic area name,median income (family),median income (nonfamily),year
0500000US01073,"Jefferson County, Alabama",57563,27246,2010
0500000US01075,"Lamar County, Alabama",42492,14123,2010
0500000US01077,"Lauderdale County, Alabama",51723,19262,2010
0500000US01079,"Lawrence County, Alabama",48425,17388,2010
0500000US01081,"Lee County, Alabama",59112,21139,2010
0500000US01083,"Limestone County, Alabama",55518,26527,2010
0500000US01085,"Lowndes County, Alabama",34929,15524,2010
0500000US01087,"Macon County, Alabama",42363,14924,2010
0500000US01089,"Madison County, Alabama",71873,32282,2010
0500000US01091,"Marengo County, Alabama",43709,15052,2010
0500000US01093,"Marion County, Alabama",44223,16686,2010
0500000US01095,"Marshall County, Alabama",47440,17651,2010
0500000US01097,"Mobile County, Alabama",49900,23953,2010
0500000US01099,"Monroe County, Alabama",38778,17635,2010
0500000US01101,"Montgomery County, Alabama",55475,29317,2010
0500000US01103,"Morgan County, Alabama",54653,23550,2010
0500000US01105,"Perry County, Alabama",30898,13277,2010
0500000US01107,"Pickens County, Alabama",40878,13786,2010
0500000US01109,"Pike County, Alabama",41570,17461,2010
0500000US01111,"Randolph County, Alabama",43528,17648,2010
0500000US01113,"Russell County, Alabama",38572,21621,2010
0500000US01115,"St. Clair County, Alabama",56107,24509,2010
0500000US01117,"Shelby County, Alabama",81406,40319,2010
0500000US01119,"Sumter County, Alabama",32063,15797,2010
0500000US01121,"Talladega County, Alabama",44695,18894,2010
0500000US01123,"Tallapoosa County, Alabama",47918,18895,2010
0500000US01125,"Tuscaloosa County, Alabama",58756,21038,2010
0500000US01127,"Walker County, Alabama",45788,20794,2010
0500000US01129,"Washington County, Alabama",51749,15273,2010
0500000US01131,"Wilcox County, Alabama",27250,15675,2010
0500000US01133,"Winston County, Alabama",39784,15745,2010
0500000US02013,"Aleutians East Borough, Alaska",61250,42917,2010
0500000US02016,"Aleutians West Census Area, Alaska",81875,49583,2010
0500000US02020,"Anchorage Municipality, Alaska",85023,48256,2010
0500000US02050,"Bethel Census Area, Alaska",55402,29821,2010
0500000US02060,"Bristol Bay Borough, Alaska",92308,44688,2010
0500000US02068,"Denali Borough, Alaska",81500,55833,2010
0500000US02070,"Dillingham Census Area, Alaska",64113,44565,2010
0500000US02090,"Fairbanks North Star Borough, Alaska",79913,40039,2010
0500000US02100,"Haines Borough, Alaska",69821,33083,2010
0500000US02105,"Hoonah-Angoon Census Area, Alaska",50257,25139,2010
0500000US02110,"Juneau City and Borough, Alaska",88536,48924,2010
0500000US02122,"Kenai Peninsula Borough, Alaska",71278,29856,2010
0500000US02130,"Ketchikan Gateway Borough, Alaska",78440,34864,2010
0500000US02150,"Kodiak Island Borough, Alaska",65605,40870,2010
0500000US02164,"Lake and Peninsula Borough, Alaska",47266,21406,2010
0500000US02170,"Matanuska-Susitna Borough, Alaska",76247,37688,2010
0500000US02180,"Nome Census Area, Alaska",52694,48300,2010
0500000US02185,"North Slope Borough, Alaska",70650,45625,2010
0500000US02188,"Northwest Arctic Borough, Alaska",52807,45208,2010
0500000US02195,"Petersburg Census Area, Alaska",76063,53750,2010
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",51000,27870,2010
0500000US02220,"Sitka City and Borough, Alaska",70875,34946,2010
0500000US02230,"Skagway Municipality, Alaska",87361,53438,2010
0500000US02240,"Southeast Fairbanks Census Area, Alaska",63125,50714,2010
0500000US02261,"Valdez-Cordova Census Area, Alaska",76625,39156,2010
0500000US02270,"Wade Hampton Census Area, Alaska",37284,18650,2010
0500000US02275,"Wrangell City and Borough, Alaska",53688,24034,2010
0500000US02282,"Yakutat City and Borough, Alaska",90833,34250,2010
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",45000,19387,2010
0500000US04001,"Apache County, Arizona",36915,13583,2010
0500000US04003,"Cochise County, Arizona",53077,27445,2010
0500000US04005,"Coconino County, Arizona",58841,30945,2010
0500000US04007,"Gila County, Arizona",46292,22692,2010
0500000US04009,"Graham County, Arizona",48005,22522,2010
