"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,year,fips,geographic area name,median income (family),median income (nonfamily),total population,commute time,count,county,state
1.8,14.0,21.1,8.1,37.2,17.2,2010,08035,"Douglas County, Colorado",108613,57357,273440,3443915.0,4,Douglas County,CO
5.5,20.1,16.2,5.1,34.2,11.7,2010,08037,"Eagle County, Colorado",80621,56893,50793,556315.0,7,Eagle County,CO
3.2,31.2,25.6,10.1,19.6,9.6,2010,08039,"Elbert County, Colorado",83074,55479,22712,435125.0,2,Elbert County,CO
5.0,22.7,25.2,9.7,21.7,13.2,2010,08041,"El Paso County, Colorado",68813,33757,599988,6042250.0,11,El Paso County,CO
11.6,35.2,22.2,5.5,10.9,5.3,2010,08043,"Fremont County, Colorado",45664,21200,46941,308405.0,1,Fremont County,CO
7.8,28.7,24.7,7.8,17.0,7.5,2010,08045,"Garfield County, Colorado",70123,44811,54761,780825.0,6,Garfield County,CO
4.7,22.4,27.3,11.4,19.0,14.7,2010,08047,"Gilpin County, Colorado",82632,33516,5126,93720.0,1,Gilpin County,CO
3.4,18.8,21.8,6.7,34.1,11.8,2010,08051,"Gunnison County, Colorado",69139,30833,15136,101515.0,6,Gunnison County,CO
4.9,22.3,23.3,7.9,25.7,13.7,2010,08059,"Jefferson County, Colorado",81136,41240,528614,6670365.0,23,Jefferson County,CO
4.8,21.1,25.3,6.6,25.9,14.7,2010,08067,"La Plata County, Colorado",69089,39603,50149,497900.0,4,La Plata County,CO
3.9,20.3,22.8,8.1,25.9,16.6,2010,08069,"Larimer County, Colorado",73771,31779,291162,3051355.0,17,Larimer County,CO
6.5,31.7,24.6,12.3,12.4,5.7,2010,08075,"Logan County, Colorado",52169,25653,22278,168600.0,1,Logan County,CO
7.4,31.0,24.5,8.3,16.9,8.5,2010,08077,"Mesa County, Colorado",63049,29540,142284,1314475.0,14,Mesa County,CO
7.7,37.8,26.6,9.1,9.9,5.0,2010,08081,"Moffat County, Colorado",62074,31763,13519,166165.0,2,Moffat County,CO
8.6,29.7,25.1,7.0,16.8,9.7,2010,08083,"Montezuma County, Colorado",52999,24113,25279,244695.0,2,Montezuma County,CO
7.8,34.0,21.9,7.3,14.1,8.2,2010,08085,"Montrose County, Colorado",52640,26434,40266,364615.0,1,Montrose County,CO
10.4,33.8,21.1,8.2,9.9,4.7,2010,08087,"Morgan County, Colorado",48673,29759,27911,193595.0,1,Morgan County,CO
3.6,23.4,25.0,5.6,28.3,13.0,2010,08091,"Ouray County, Colorado",65804,35217,4319,39745.0,1,Ouray County,CO
1.9,11.1,19.3,6.0,42.2,17.5,2010,08097,"Pitkin County, Colorado",103438,44475,16389,172755.0,48,Pitkin County,CO
9.1,29.1,22.5,10.6,11.1,7.2,2010,08099,"Prowers County, Colorado",47052,18815,12734,80045.0,1,Prowers County,CO
6.2,33.3,25.1,10.6,17.7,5.0,2010,08103,"Rio Blanco County, Colorado",68327,31239,6494,55095.0,3,Rio Blanco County,CO
8.7,31.5,27.8,5.3,12.4,6.9,2010,08105,"Rio Grande County, Colorado",48115,18487,11926,76835.0,3,Rio Grande County,CO
2.5,20.1,23.8,7.3,31.0,14.6,2010,08107,"Routt County, Colorado",74547,45451,22924,221335.0,1,Routt County,CO
11.4,29.3,21.8,5.5,11.0,8.3,2010,08109,"Saguache County, Colorado",36988,19727,6161,44990.0,2,Saguache County,CO
3.4,19.9,39.4,3.2,20.1,10.7,2010,08111,"San Juan County, Colorado",62917,36250,752,6385.0,2,San Juan County,CO
3.5,14.4,26.3,5.2,36.1,12.7,2010,08113,"San Miguel County, Colorado",82708,46995,7299,70155.0,11,San Miguel County,CO
2.7,19.3,18.4,6.9,34.7,15.2,2010,08117,"Summit County, Colorado",86701,50644,27105,258510.0,3,Summit County,CO
3.8,26.6,28.4,8.1,18.0,12.9,2010,08119,"Teller County, Colorado",68328,39955,22821,328070.0,1,Teller County,CO
8.7,33.3,25.8,8.1,13.1,5.2,2010,08121,"Washington County, Colorado",48965,25288,4773,47715.0,1,Washington County,CO
8.3,27.5,23.0,8.9,17.5,7.9,2010,08123,"Weld County, Colorado",64996,29703,242860,2764140.0,7,Weld County,CO
3.9,27.2,24.0,8.5,22.9,11.8,2010,30049,"Lewis and Clark County, Montana",65573,29118,61643,523995.0,2,Lewis and Clark County,mt
5.5,25.2,22.2,6.7,24.3,14.1,2010,30063,"Missoula County, Montana",58302,22735,107288,889325.0,1,Missoula County,mt
8.1,28.5,28.7,7.3,15.5,8.9,2010,41029,"Jackson County, Oregon",53739,26926,200587,1481935.0,3,Jackson County,or
10.6,32.2,27.1,10.4,10.4,6.1,2010,41033,"Josephine County, Oregon",48180,21324,82172,565950.0,3,Josephine County,or
9.0,26.7,25.5,9.0,13.6,7.3,2010,41047,"Marion County, Oregon",54661,28665,309894,2854155.0,6,Marion County,or
5.0,19.1,24.4,8.1,25.6,13.3,2010,41067,"Washington County, Oregon",76778,38990,516665,5803655.0,3,Washington County,or
7.1,29.9,26.3,7.6,14.6,8.4,2010,41071,"Yamhill County, Oregon",61524,29084,96930,972305.0,3,Yamhill County,or
6.9,34.3,15.7,7.2,18.9,13.8,2010,50001,"Addison County, Vermont",67721,33295,36841,394025.0,2,Addison County,vt
12.1,29.8,23.8,6.7,14.0,9.7,2010,51710,"Norfolk city, Virginia",51022,31731,242143,2399165.0,6,Norfolk city,va
8.0,31.3,19.4,7.7,18.0,11.1,2010,51775,"Salem city, Virginia",64254,30095,24641,196925.0,3,Salem city,va
6.4,26.6,28.6,9.9,16.8,8.9,2010,53011,"Clark County, Washington",67352,36737,414816,4382080.0,2,Clark County,WA
4.6,17.7,20.9,8.0,28.8,16.4,2010,53033,"King County, Washington",87010,45427,1879189,24709520.0,59,King County,WA
5.3,24.1,29.6,11.0,18.0,10.0,2010,53035,"Kitsap County, Washington",71065,35975,247336,3232490.0,6,Kitsap County,WA
7.0,29.5,27.1,9.8,15.3,8.1,2010,53053,"Pierce County, Washington",68462,36387,782681,9872745.0,2,Pierce County,WA
6.4,25.6,26.4,10.5,19.9,8.3,2010,53061,"Snohomish County, Washington",77479,41694,694219,9746195.0,8,Snohomish County,WA
5.9,25.3,27.1,11.7,17.8,10.1,2010,53063,"Spokane County, Washington",59999,27274,461262,4203830.0,2,Spokane County,WA
7.2,33.0,27.3,10.6,13.4,5.8,2010,53065,"Stevens County, Washington",51544,22012,43171,427480.0,2,Stevens County,WA
5.4,24.3,26.7,10.1,19.2,12.4,2010,53067,"Thurston County, Washington",71833,36983,243563,2755130.0,2,Thurston County,WA
6.3,24.5,24.3,10.2,21.0,10.7,2010,53073,"Whatcom County, Washington",64586,28172,195993,1786075.0,1,Whatcom County,WA
7.5,23.4,25.2,8.0,18.9,10.2,2011,04013,"Maricopa County, Arizona",60037,33151,3798374,41149640.0,3,Maricopa County,or
6.5,19.9,18.6,6.7,24.2,16.6,2011,06001,"Alameda County, California",84871,40998,1494876,18444715.0,362,Alameda County,CA
9.5,29.4,29.0,10.1,13.1,5.7,2011,06005,"Amador County, California",67823,31216,38244,339275.0,6,Amador County,CA
8.8,22.9,30.2,9.0,16.1,7.9,2011,06007,"Butte County, California",47431,24986,219309,1735435.0,8,Butte County,CA
5.6,30.2,31.6,9.9,14.3,6.4,2011,06009,"Calaveras County, California",75183,25714,45794,601120.0,4,Calaveras County,CA
5.6,19.7,22.4,8.1,24.5,13.9,2011,06013,"Contra Costa County, California",92670,42438,1037817,14308090.0,158,Contra Costa County,CA
4.6,23.1,29.1,9.9,21.2,9.7,2011,06017,"El Dorado County, California",88219,35197,179878,2178735.0,21,El Dorado County,CA
10.7,23.3,22.5,7.6,13.2,6.3,2011,06019,"Fresno County, California",44075,26385,920623,7314975.0,33,Fresno County,CA
6.7,26.4,28.7,8.8,17.8,8.6,2011,06023,"Humboldt County, California",48768,24275,133585,963160.0,9,Humboldt County,CA
16.1,22.1,22.0,6.6,8.6,4.2,2011,06025,"Imperial County, California",40924,16174,171343,1091975.0,1,Imperial County,CA
14.1,26.5,23.2,6.9,9.7,4.9,2011,06029,"Kern County, California",45496,25095,829254,6930385.0,26,Kern County,CA
13.2,26.2,24.1,8.1,9.1,3.4,2011,06031,"Kings County, California",48006,25022,152335,1140820.0,3,Kings County,CA
8.2,31.4,31.0,8.6,12.0,4.2,2011,06033,"Lake County, California",43147,20438,64392,603765.0,3,Lake County,CA
10.1,20.8,19.2,6.8,19.1,10.1,2011,06037,"Los Angeles County, California",55270,34778,9787747,121619705.0,1445,Los Angeles County,CA
14.0,23.6,22.7,7.4,9.6,4.5,2011,06039,"Madera County, California",44865,25194,149611,1120765.0,5,Madera County,CA
4.0,12.7,18.9,6.4,31.4,22.5,2011,06041,"Marin County, California",118037,50857,250666,3067335.0,104,Marin County,CA
8.0,29.4,29.8,9.1,13.5,7.0,2011,06043,"Mariposa County, California",51289,32686,18290,217425.0,1,Mariposa County,CA
8.7,25.2,26.1,10.2,13.7,8.4,2011,06045,"Mendocino County, California",45014,24134,87525,654220.0,3,Mendocino County,CA
12.6,25.1,22.3,6.9,8.1,4.2,2011,06047,"Merced County, California",41686,21910,253606,2247505.0,3,Merced County,CA
10.1,20.5,19.5,7.3,14.5,8.8,2011,06053,"Monterey County, California",53172,39199,411385,3679265.0,27,Monterey County,CA
7.3,20.3,22.4,9.1,19.9,10.8,2011,06055,"Napa County, California",72941,42127,135377,1430635.0,24,Napa County,CA
3.7,22.4,29.7,10.3,21.3,11.1,2011,06057,"Nevada County, California",64817,31222,98392,964050.0,4,Nevada County,CA
7.6,18.3,21.0,7.9,23.7,12.5,2011,06059,"Orange County, California",81454,41399,2989948,34857140.0,442,Orange County,CA
4.1,20.1,27.8,10.9,23.6,11.1,2011,06061,"Placer County, California",95177,32058,343554,3875600.0,35,Placer County,CA
10.9,25.7,25.4,7.6,13.4,7.2,2011,06065,"Riverside County, California",61525,29097,2154844,25430595.0,99,Riverside County,CA
7.8,22.1,26.2,9.3,18.7,9.0,2011,06067,"Sacramento County, California",60054,37088,1408480,14821705.0,101,Sacramento County,CA
9.0,23.4,24.7,8.9,13.8,4.5,2011,06069,"San Benito County, California",68130,32500,54873,666385.0,4,San Benito County,CA
12.0,26.5,24.6,8.1,12.1,6.5,2011,06071,"San Bernardino County, California",56177,27756,2023452,22701565.0,66,San Bernardino County,CA
7.3,19.3,23.2,8.6,21.4,12.8,2011,06073,"San Diego County, California",69160,37187,3060849,32678935.0,781,San Diego County,CA
5.9,14.4,14.5,5.5,31.3,20.0,2011,06075,"San Francisco County, California",88502,53566,797983,11992735.0,163,San Francisco County,CA
11.3,26.6,24.2,8.3,12.2,5.4,2011,06077,"San Joaquin County, California",54346,27818,680277,7324475.0,20,San Joaquin County,CA
6.6,21.9,26.4,9.7,18.9,11.9,2011,06079,"San Luis Obispo County, California",73268,31328,267871,2275320.0,35,San Luis Obispo County,CA
5.2,17.6,19.3,7.6,27.0,16.9,2011,06081,"San Mateo County, California",109807,51581,711622,8362060.0,339,San Mateo County,CA
