"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,year,fips,geographic area name,median income (family),median income (nonfamily),total population,commute time,count,county,state
2248.0,7748.0,8848.0,2648.0,4204.0,1891.0,2015,06005,"Amador County, California",71250,(X),36995,329070.0,44,Amador County,CA
10696.0,32396.0,42314.0,14184.0,25062.0,11946.0,2015,06007,"Butte County, California",52500,24722,222564,1627160.0,178,Butte County,CA
1806.0,9284.0,11108.0,3427.0,4847.0,2171.0,2015,06009,"Calaveras County, California",64343,(X),44767,486710.0,53,Calaveras County,CA
1485.0,2885.0,2860.0,1377.0,1519.0,424.0,2015,06011,"Colusa County, California",48581,33354,21396,183965.0,6,Colusa County,CA
39295.0,138642.0,166482.0,60836.0,187160.0,106759.0,2015,06013,"Contra Costa County, California",95874,42627,1096068,16470655.0,6769,Contra Costa County,CA
2597.0,5702.0,5377.0,1616.0,1831.0,1123.0,2015,06015,"Del Norte County, California",47650,19397,27788,108465.0,26,Del Norte County,CA
6326.0,28132.0,36237.0,13259.0,26827.0,14524.0,2015,06017,"El Dorado County, California",88203,35172,182093,2019335.0,679,El Dorado County,CA
62768.0,130387.0,133595.0,45545.0,74082.0,36764.0,2015,06019,"Fresno County, California",40458,26054,956749,7635535.0,1306,Fresno County,CA
22817.0,96246.0,84815.0,27752.0,115560.0,79558.0,2015,17097,"Lake County, Illinois",90972,38118,702898,9591140.0,1,Lake County,ct
3500.0,26749.0,19068.0,7188.0,31297.0,14445.0,2015,17113,"McLean County, Illinois",83038,27900,173114,1545850.0,3,McLean County,or
2228.0,5288.0,4335.0,1132.0,1904.0,755.0,2015,06021,"Glenn County, California",43487,(X),28029,207305.0,11,Glenn County,CA
6595.0,22798.0,25154.0,8006.0,16774.0,8581.0,2015,06023,"Humboldt County, California",42479,24617,135034,947850.0,455,Humboldt County,CA
14599.0,23440.0,25576.0,7036.0,10599.0,4503.0,2015,06025,"Imperial County, California",45314,15608,178206,1173835.0,42,Imperial County,CA
929.0,4087.0,3309.0,1045.0,1942.0,1215.0,2015,06027,"Inyo County, California",62500,(X),18373,111925.0,12,Inyo County,CA
62845.0,139931.0,121118.0,36852.0,52776.0,26279.0,2015,06029,"Kern County, California",44423,26077,865736,7320170.0,684,Kern County,CA
13137.0,22855.0,24101.0,7218.0,8941.0,3397.0,2015,06031,"Kings County, California",42968,24515,150998,1098210.0,45,Kings County,CA
4612.0,13075.0,13092.0,5398.0,4988.0,2372.0,2015,06033,"Lake County, California",35194,21133,64158,557370.0,90,Lake County,CA
3638.0,6871.0,6866.0,2410.0,1925.0,1004.0,2015,06035,"Lassen County, California",64530,27500,32645,172135.0,6,Lassen County,CA
625644.0,1375647.0,1295086.0,456997.0,1316803.0,697131.0,2015,06037,"Los Angeles County, California",55190,34416,10038388,128502795.0,42917,Los Angeles County,CA
10860.0,23737.0,22557.0,8103.0,8876.0,3766.0,2015,06039,"Madera County, California",40502,(X),153187,1074080.0,138,Madera County,CA
6302.0,22406.0,35514.0,12279.0,59435.0,46068.0,2015,06041,"Marin County, California",127826,50850,258349,3411295.0,2826,Marin County,CA
1121.0,3903.0,4173.0,1150.0,1889.0,1135.0,2015,06043,"Mariposa County, California",65288,(X),17789,212500.0,13,Mariposa County,CA
4353.0,16229.0,17745.0,4718.0,9648.0,4851.0,2015,06045,"Mendocino County, California",41788,22512,87544,622955.0,294,Mendocino County,CA
17902.0,37870.0,34225.0,11417.0,13248.0,6686.0,2015,06047,"Merced County, California",38960,24138,263885,2334980.0,153,Merced County,CA
613.0,1758.0,2021.0,854.0,890.0,321.0,2015,06049,"Modoc County, California",41393,(X),9184,42115.0,1,Modoc County,CA
575.0,1626.0,2690.0,777.0,2243.0,889.0,2015,06051,"Mono County, California",52086,(X),14146,114850.0,8,Mono County,CA
26903.0,55869.0,51047.0,21028.0,38266.0,23899.0,2015,06053,"Monterey County, California",51370,37095,428441,3817715.0,794,Monterey County,CA
6213.0,18619.0,21662.0,8742.0,20811.0,10509.0,2015,06055,"Napa County, California",73465,41561,140295,1493020.0,627,Napa County,CA
3037.0,14935.0,21683.0,7894.0,16003.0,8889.0,2015,06057,"Nevada County, California",71189,33039,98570,897755.0,204,Nevada County,CA
144383.0,367556.0,436584.0,162649.0,506749.0,277384.0,2015,06059,"Orange County, California",81784,42367,3116069,37580075.0,19295,Orange County,CA
9225.0,48923.0,67672.0,28774.0,61722.0,30159.0,2015,06061,"Placer County, California",93324,35588,366280,3986715.0,1356,Placer County,CA
927.0,3457.0,4796.0,1670.0,1929.0,1248.0,2015,06063,"Plumas County, California",53500,21991,18966,151930.0,6,Plumas County,CA
149249.0,372314.0,370287.0,110479.0,192721.0,109052.0,2015,06065,"Riverside County, California",58776,29240,2298032,27563570.0,4509,Riverside County,CA
64210.0,214444.0,249513.0,92923.0,184008.0,93347.0,2015,06067,"Sacramento County, California",58818,34760,1465832,15338125.0,3358,Sacramento County,CA
3001.0,8834.0,9348.0,3170.0,4834.0,2039.0,2015,06069,"San Benito County, California",71133,(X),57557,777230.0,143,San Benito County,CA
148027.0,334992.0,322765.0,103401.0,156673.0,85544.0,2015,06071,"San Bernardino County, California",51939,27296,2094769,23801780.0,3506,San Bernardino County,CA
143853.0,404243.0,477626.0,189239.0,470339.0,289967.0,2015,06073,"San Diego County, California",68965,37542,3223096,35010950.0,12054,San Diego County,CA
31928.0,83938.0,98576.0,36526.0,215189.0,139972.0,2015,06075,"San Francisco County, California",107215,60305,840763,13826605.0,4045,San Francisco County,CA
44884.0,115214.0,104127.0,40492.0,54524.0,25497.0,2015,06077,"San Joaquin County, California",52666,26710,708554,7871065.0,867,San Joaquin County,CA
10432.0,36007.0,50182.0,17460.0,38026.0,22221.0,2015,06079,"San Luis Obispo County, California",67959,31714,276517,2462790.0,766,San Luis Obispo County,CA
27104.0,87673.0,98978.0,39781.0,143912.0,97989.0,2015,06081,"San Mateo County, California",116284,54947,748731,9636050.0,6854,San Mateo County,CA
21090.0,47489.0,58351.0,21308.0,51447.0,34777.0,2015,06083,"Santa Barbara County, California",63870,36244,435850,3614430.0,1069,Santa Barbara County,CA
75235.0,192414.0,212282.0,90475.0,330869.0,277360.0,2015,06085,"Santa Clara County, California",118440,49033,1868149,22428860.0,24812,Santa Clara County,CA
9344.0,26933.0,39405.0,16020.0,40356.0,26152.0,2015,06087,"Santa Cruz County, California",72839,38366,269278,3078415.0,1702,Santa Cruz County,CA
9935.0,32128.0,39916.0,14612.0,15910.0,8484.0,2015,06089,"Shasta County, California",49490,24409,178942,1275545.0,144,Shasta County,CA
121.0,839.0,628.0,330.0,360.0,99.0,2015,06091,"Sierra County, California",83523,(X),3021,26315.0,2,Sierra County,CA
2490.0,7920.0,9807.0,3202.0,4922.0,2302.0,2015,06093,"Siskiyou County, California",39548,22410,43895,266860.0,28,Siskiyou County,CA
18763.0,67847.0,82538.0,27742.0,50060.0,20934.0,2015,06095,"Solano County, California",66013,36220,425753,5358165.0,1242,Solano County,CA
21340.0,68879.0,86938.0,31985.0,73923.0,39937.0,2015,06097,"Sonoma County, California",68344,38806,495078,5481160.0,2946,Sonoma County,CA
33620.0,92806.0,81606.0,24612.0,36060.0,17921.0,2015,06099,"Stanislaus County, California",48835,26503,527367,5252005.0,464,Stanislaus County,CA
6068.0,15089.0,15449.0,6453.0,7354.0,3379.0,2015,06101,"Sutter County, California",53355,25193,95247,919160.0,48,Sutter County,CA
4534.0,13063.0,12567.0,3410.0,4105.0,2058.0,2015,06103,"Tehama County, California",40563,(X),63152,533080.0,27,Tehama County,CA
691.0,3203.0,3122.0,986.0,1545.0,516.0,2015,06105,"Trinity County, California",42723,(X),13373,71665.0,10,Trinity County,CA
28331.0,65844.0,58202.0,18356.0,24805.0,11263.0,2015,06107,"Tulare County, California",36894,23586,454033,3622290.0,201,Tulare County,CA
3110.0,12119.0,12645.0,3775.0,5611.0,2737.0,2015,06109,"Tuolumne County, California",58737,(X),54079,455780.0,42,Tuolumne County,CA
38482.0,104471.0,130484.0,48229.0,110073.0,64610.0,2015,06111,"Ventura County, California",82886,40676,840833,9509565.0,3303,Ventura County,CA
8172.0,23773.0,24224.0,8149.0,23810.0,23229.0,2015,06113,"Yolo County, California",68760,(X),207320,1897925.0,697,Yolo County,CA
4990.0,11277.0,14150.0,4594.0,4455.0,2018.0,2015,06115,"Yuba County, California",45608,(X),73437,759875.0,44,Yuba County,CA
29392.0,85424.0,67935.0,24872.0,45040.0,20907.0,2015,08001,"Adams County, Colorado",61872,32481,471206,6218540.0,770,Adams County,CO
747.0,2392.0,2570.0,526.0,1324.0,1034.0,2015,08003,"Alamosa County, Colorado",43184,(X),16269,82975.0,10,Alamosa County,CO
17962.0,82685.0,93422.0,34268.0,105400.0,56969.0,2015,08005,"Arapahoe County, Colorado",70995,38439,608310,7924890.0,9,Arapahoe County,or
455.0,2359.0,2053.0,711.0,2126.0,1044.0,2015,08007,"Archuleta County, Colorado",43900,28047,12174,98245.0,5,Archuleta County,CO
230.0,846.0,721.0,258.0,383.0,124.0,2015,08009,"Baca County, Colorado",41750,(X),3701,21945.0,1,Baca County,CO
6354.0,25364.0,33090.0,11618.0,63290.0,53890.0,2015,08013,"Boulder County, Colorado",96992,37860,310032,3265295.0,1355,Boulder County,CO
917.0,6010.0,8437.0,3456.0,13421.0,7783.0,2015,08014,"Broomfield County, Colorado",105231,(X),60699,815795.0,411,Broomfield County,CO
824.0,3825.0,3306.0,1037.0,3045.0,1828.0,2015,08015,"Chaffee County, Colorado",56197,24805,18309,106545.0,5,Chaffee County,CO
194.0,1550.0,1760.0,590.0,1827.0,1098.0,2015,08019,"Clear Creek County, Colorado",97659,38269,9136,144615.0,54,Clear Creek County,CO
378.0,1738.0,1456.0,262.0,769.0,263.0,2015,08021,"Conejos County, Colorado",46625,13571,8249,62920.0,8,Conejos County,CO
288.0,725.0,701.0,109.0,219.0,255.0,2015,08023,"Costilla County, Colorado",28542,(X),3581,23115.0,1,Costilla County,CO
172.0,631.0,1085.0,241.0,738.0,458.0,2015,08027,"Custer County, Colorado",51429,(X),4303,33675.0,8,Custer County,CO
1654.0,8170.0,5164.0,1665.0,2769.0,1584.0,2015,08029,"Delta County, Colorado",59900,19215,30214,243215.0,10,Delta County,CO
32391.0,80415.0,83164.0,23868.0,124473.0,80249.0,2015,08031,"Denver County, Colorado",56804,40544,649654,7954235.0,6,Denver County,or
3171.0,25496.0,39747.0,16034.0,74754.0,37242.0,2015,08035,"Douglas County, Colorado",118511,50239,306974,3919320.0,9,Douglas County,or
1734.0,6454.0,5910.0,2955.0,12589.0,4304.0,2015,08037,"Eagle County, Colorado",69025,(X),52576,598645.0,114,Eagle County,CO
476.0,4493.0,4647.0,1720.0,3655.0,1433.0,2015,08039,"Elbert County, Colorado",86341,49141,23855,432965.0,196,Elbert County,CO
17529.0,87190.0,106458.0,46616.0,90952.0,57788.0,2015,08041,"El Paso County, Colorado",64029,30918,655024,6545810.0,1,El Paso County,WA
3102.0,14073.0,8897.0,2694.0,3364.0,2106.0,2015,08043,"Fremont County, Colorado",43808,(X),46809,306055.0,23,Fremont County,CO
3100.0,9769.0,8452.0,2830.0,7327.0,3787.0,2015,08045,"Garfield County, Colorado",55350,37308,57076,771910.0,45,Garfield County,CO
157.0,1054.0,1354.0,345.0,870.0,517.0,2015,08047,"Gilpin County, Colorado",71912,(X),5605,96165.0,67,Gilpin County,CO
436.0,2668.0,2386.0,1018.0,2817.0,994.0,2015,08049,"Grand County, Colorado",61000,(X),14411,145495.0,26,Grand County,CO
283.0,1671.0,1705.0,620.0,3973.0,1378.0,2015,08051,"Gunnison County, Colorado",60285,24598,15651,119190.0,37,Gunnison County,CO
32.0,156.0,202.0,39.0,215.0,78.0,2015,08053,"Hinsdale County, Colorado",59464,(X),874,5205.0,4,Hinsdale County,CO
342.0,1388.0,1397.0,367.0,765.0,625.0,2015,08055,"Huerfano County, Colorado",34023,20893,6502,44740.0,7,Huerfano County,CO
16336.0,82819.0,87892.0,32754.0,102362.0,59332.0,2015,08059,"Jefferson County, Colorado",86312,37639,552344,7294535.0,1166,Jefferson County,CO
434.0,2130.0,1320.0,437.0,527.0,210.0,2015,08063,"Kit Carson County, Colorado",39408,19296,7980,38215.0,1,Kit Carson County,CO
325.0,1775.0,960.0,495.0,998.0,374.0,2015,08065,"Lake County, Colorado",52083,(X),7362,91305.0,2,Lake County,CO
1180.0,7219.0,8979.0,2871.0,10148.0,5943.0,2015,08067,"La Plata County, Colorado",66687,34523,53182,539450.0,33,La Plata County,CO
6464.0,38918.0,47477.0,18339.0,56583.0,34299.0,2015,08069,"Larimer County, Colorado",78578,31651,318227,3365795.0,699,Larimer County,CO
1001.0,2944.0,2752.0,1306.0,1095.0,670.0,2015,08071,"Las Animas County, Colorado",54405,(X),14503,102985.0,7,Las Animas County,CO
464.0,1674.0,656.0,233.0,462.0,136.0,2015,08073,"Lincoln County, Colorado",55750,(X),5478,23740.0,2,Lincoln County,CO
1088.0,4590.0,3828.0,1996.0,1431.0,884.0,2015,08075,"Logan County, Colorado",45545,(X),21928,165250.0,10,Logan County,CO
6944.0,28914.0,25474.0,8773.0,17560.0,8504.0,2015,08077,"Mesa County, Colorado",55071,26371,147834,1385010.0,58,Mesa County,CO
11.0,141.0,194.0,31.0,187.0,92.0,2015,08079,"Mineral County, Colorado",47212,(X),733,3800.0,2,Mineral County,CO
1246.0,5245.0,4809.0,1344.0,2776.0,2057.0,2015,08083,"Montezuma County, Colorado",45662,(X),25700,218015.0,8,Montezuma County,CO
1931.0,9081.0,7015.0,1995.0,4409.0,2633.0,2015,08085,"Montrose County, Colorado",45045,22941,40815,298550.0,15,Montrose County,CO
1633.0,5850.0,4604.0,1442.0,1616.0,1098.0,2015,08087,"Morgan County, Colorado",49557,(X),28359,221925.0,4,Morgan County,CO
1010.0,3583.0,3411.0,1589.0,1322.0,613.0,2015,08089,"Otero County, Colorado",31736,(X),18572,115885.0,4,Otero County,CO
51.0,716.0,787.0,200.0,1140.0,783.0,2015,08091,"Ouray County, Colorado",91354,(X),4580,43605.0,8,Ouray County,CO
325.0,3197.0,3852.0,1284.0,2561.0,1097.0,2015,08093,"Park County, Colorado",65938,(X),16189,329740.0,33,Park County,CO
405.0,1522.0,2343.0,924.0,5606.0,2242.0,2015,08097,"Pitkin County, Colorado",123125,51420,17420,158890.0,118,Pitkin County,CO
720.0,2166.0,2130.0,982.0,751.0,303.0,2015,08099,"Prowers County, Colorado",43270,(X),12235,67975.0,1,Prowers County,CO
8414.0,31411.0,28005.0,12392.0,14864.0,8540.0,2015,08101,"Pueblo County, Colorado",46484,22314,161519,1318005.0,84,Pueblo County,CO
654.0,2355.0,1942.0,597.0,1119.0,636.0,2015,08105,"Rio Grande County, Colorado",44503,(X),11745,85595.0,11,Rio Grande County,CO
334.0,3485.0,3099.0,1310.0,5807.0,2743.0,2015,08107,"Routt County, Colorado",83403,28239,23606,216935.0,11,Routt County,CO
452.0,1096.0,1044.0,150.0,793.0,405.0,2015,08109,"Saguache County, Colorado",41875,20982,6238,41590.0,11,Saguache County,CO
23.0,159.0,95.0,46.0,114.0,24.0,2015,08111,"San Juan County, Colorado",73750,16771,606,3785.0,21,San Juan County,CO
261.0,1033.0,1040.0,264.0,2284.0,814.0,2015,08113,"San Miguel County, Colorado",75515,40568,7676,75980.0,25,San Miguel County,CO
98.0,597.0,431.0,166.0,251.0,99.0,2015,08115,"Sedgwick County, Colorado",52143,(X),2365,18335.0,1,Sedgwick County,CO
355.0,3693.0,4514.0,1655.0,6939.0,3531.0,2015,08117,"Summit County, Colorado",76203,(X),28940,275095.0,42,Summit County,CO
1105.0,4320.0,4421.0,1905.0,3241.0,2285.0,2015,08119,"Teller County, Colorado",68514,25947,23340,332090.0,62,Teller County,CO
202.0,1197.0,979.0,371.0,429.0,127.0,2015,08121,"Washington County, Colorado",56821,(X),4795,41870.0,2,Washington County,CO
12989.0,45759.0,42090.0,15017.0,30277.0,13998.0,2015,08123,"Weld County, Colorado",68462,27758,270948,3166190.0,418,Weld County,CO
33101.0,143485.0,97573.0,37348.0,162883.0,127965.0,2015,09001,"Fairfield County, Connecticut",111011,38429,939983,12555405.0,857,Fairfield County,ct
39821.0,167890.0,108799.0,48350.0,126856.0,97803.0,2015,09003,"Hartford County, Connecticut",82101,32678,896943,9397720.0,377,Hartford County,ct
7504.0,39720.0,26358.0,12193.0,26350.0,19107.0,2015,09005,"Litchfield County, Connecticut",91842,34415,186304,2450860.0,145,Litchfield County,ct
4765.0,31702.0,20885.0,10367.0,26277.0,21770.0,2015,09007,"Middlesex County, Connecticut",105088,40491,165165,2119900.0,104,Middlesex County,ct
37598.0,178585.0,104209.0,43022.0,108647.0,92339.0,2015,09009,"New Haven County, Connecticut",74201,31786,862224,9687280.0,359,New Haven County,ct
10947.0,58882.0,37282.0,15498.0,33415.0,27303.0,2015,09011,"New London County, Connecticut",75271,34563,273185,2984950.0,102,New London County,ct
4214.0,26140.0,17624.0,9128.0,20417.0,15879.0,2015,09013,"Tolland County, Connecticut",99621,37315,151948,1903930.0,130,Tolland County,ct
6182.0,27569.0,17399.0,7383.0,11156.0,7440.0,2015,09015,"Windham County, Connecticut",64187,(X),117470,1427835.0,52,Windham County,ct
29054.0,81697.0,62033.0,14040.0,105880.0,141872.0,2015,11001,"District of Columbia, District of Columbia",66297,55393,647484,9471230.0,1,District of Columbia,WA
10246.0,37305.0,29511.0,13266.0,17521.0,9526.0,2015,12005,"Bay County, Florida",51099,27649,175353,1694410.0,3,Bay County,or
4714.0,26064.0,18498.0,6487.0,11354.0,5908.0,2015,12035,"Flagler County, Florida",48046,23872,100783,865890.0,1,Flagler County,ct
66133.0,238257.0,176156.0,81835.0,170046.0,96391.0,2015,12057,"Hillsborough County, Florida",56120,30052,1302884,15090505.0,1,Hillsborough County,WA
8175.0,32575.0,23373.0,10209.0,17605.0,11257.0,2015,12061,"Indian River County, Florida",48701,25600,142866,1101810.0,2,Indian River County,NY
19333.0,75829.0,52218.0,21172.0,32306.0,16423.0,2015,12069,"Lake County, Florida",52170,24845,310561,3193520.0,4,Lake County,NY
6608.0,30222.0,25699.0,11502.0,22881.0,13725.0,2015,12085,"Martin County, Florida",68108,26207,151586,1400465.0,3,Martin County,or
170534.0,523909.0,293498.0,160206.0,314713.0,180310.0,2015,12086,"Miami-Dade County, Florida",46270,21336,2639042,33935215.0,4,Miami-Dade County,NY
7185.0,29396.0,22249.0,7488.0,15679.0,11274.0,2015,12119,"Sumter County, Florida",40489,24450,108501,505840.0,4,Sumter County,NY
4685.0,12174.0,10360.0,3154.0,7622.0,3590.0,2015,12131,"Walton County, Florida",51414,(X),59487,639720.0,3,Walton County,or
9423.0,36756.0,33747.0,10600.0,35078.0,16247.0,2015,13057,"Cherokee County, Georgia",84220,(X),225944,3259615.0,6,Cherokee County,NY
22906.0,92335.0,96298.0,33500.0,138291.0,70751.0,2015,13067,"Cobb County, Georgia",75236,39004,719133,10183625.0,1,Cobb County,mi
30678.0,100610.0,94833.0,30915.0,115964.0,80981.0,2015,13089,"DeKalb County, Georgia",50815,38418,716331,10028625.0,1,DeKalb County,mi
5778.0,24282.0,24881.0,9251.0,39117.0,18296.0,2015,13117,"Forsyth County, Georgia",109682,(X),196236,2537535.0,6,Forsyth County,NY
37801.0,117117.0,116551.0,37207.0,195121.0,125546.0,2015,13121,"Fulton County, Georgia",75968,36779,983903,11701865.0,1,Fulton County,mi
35442.0,126387.0,108676.0,48938.0,125854.0,61412.0,2015,13135,"Gwinnett County, Georgia",60320,(X),859234,12177245.0,1,Gwinnett County,ct
6788.0,28430.0,24694.0,9531.0,13598.0,8648.0,2015,13153,"Houston County, Georgia",56456,28197,147570,1339175.0,2,Houston County,WA
10872.0,58661.0,73768.0,24353.0,68067.0,33617.0,2015,16001,"Ada County, Idaho",67460,29845,417501,3677630.0,3,Ada County,or
241.0,1446.0,1631.0,517.0,909.0,395.0,2015,16015,"Boise County, Idaho",59688,20673,6885,88380.0,3,Boise County,or
498.0,2796.0,2027.0,794.0,1222.0,458.0,2015,16043,"Fremont County, Idaho",54083,(X),12945,123060.0,1,Fremont County,WA
438.0,2468.0,4400.0,2604.0,3644.0,1798.0,2015,16065,"Madison County, Idaho",42453,22650,37916,227485.0,1,Madison County,WA
257366.0,847218.0,678308.0,226126.0,759678.0,505545.0,2015,17031,"Cook County, Illinois",61035,33414,5236393,74716395.0,3,Cook County,or
25078.0,119341.0,122345.0,44793.0,177314.0,115852.0,2015,17043,"DuPage County, Illinois",100618,39221,930412,12959710.0,3,DuPage County,or
6715.0,23578.0,20125.0,6562.0,12881.0,7692.0,2015,22015,"Bossier Parish, Louisiana",67663,(X),123403,1234605.0,3,Bossier Parish,NY
5252.0,30369.0,33913.0,12530.0,67794.0,38821.0,2015,18057,"Hamilton County, Indiana",110153,39517,296635,3793165.0,13,Hamilton County,NY
60225.0,171868.0,127713.0,42723.0,111349.0,59414.0,2015,18097,"Marion County, Indiana",42026,27612,926335,9608445.0,13,Marion County,NY
15087.0,75177.0,60881.0,30434.0,74557.0,31766.0,2015,19153,"Polk County, Iowa",71505,32751,452369,4329640.0,6,Polk County,or
2944.0,19469.0,16979.0,6010.0,13266.0,5665.0,2015,30029,"Flathead County, Montana",58086,(X),93333,767835.0,1,Flathead County,mt
1695.0,10773.0,11075.0,3817.0,11011.0,6232.0,2015,30049,"Lewis and Clark County, Montana",67137,35213,65357,527265.0,2,Lewis and Clark County,mt
1689.0,10089.0,7617.0,2389.0,4950.0,2294.0,2015,30081,"Ravalli County, Montana",50905,(X),40823,374010.0,1,Ravalli County,mt
34206.0,153917.0,111812.0,39616.0,118252.0,88298.0,2015,24005,"Baltimore County, Maryland",80211,39142,822959,11346200.0,1,Baltimore County,mi
26961.0,97586.0,99932.0,35203.0,185755.0,218487.0,2015,24031,"Montgomery County, Maryland",116408,58138,1017859,17365290.0,2,Montgomery County,NY
293.0,1936.0,1401.0,554.0,1997.0,1332.0,2015,25019,"Nantucket County, Massachusetts",100938,(X),10556,65680.0,1,Nantucket County,WA
16228.0,100457.0,69344.0,37120.0,134172.0,108310.0,2015,25021,"Norfolk County, Massachusetts",122289,41644,687721,10978195.0,1,Norfolk County,WA
33933.0,158594.0,95981.0,49693.0,116733.0,72151.0,2015,25027,"Worcester County, Massachusetts",83729,27763,810935,10737420.0,3,Worcester County,or
731.0,3426.0,2232.0,724.0,774.0,452.0,2015,26001,"Alcona County, Michigan",45806,20379,10550,67150.0,1,Alcona County,mi
5218.0,28969.0,16415.0,6297.0,10992.0,5268.0,2015,26005,"Allegan County, Michigan",61105,22583,112837,1167900.0,8,Allegan County,mi
1166.0,5823.0,3980.0,1398.0,2733.0,1646.0,2015,26009,"Antrim County, Michigan",49107,(X),23267,211085.0,4,Antrim County,mi
829.0,2907.0,1242.0,420.0,581.0,284.0,2015,26013,"Baraga County, Michigan",59313,(X),8690,39920.0,1,Baraga County,mi
2581.0,14974.0,10123.0,4386.0,5073.0,2776.0,2015,26015,"Barry County, Michigan",63482,25736,59147,692490.0,3,Barry County,mi
5763.0,26720.0,18136.0,8447.0,9405.0,4321.0,2015,26017,"Bay County, Michigan",57420,24327,106698,953945.0,4,Bay County,mi
812.0,4426.0,3054.0,1216.0,1763.0,1360.0,2015,26019,"Benzie County, Michigan",55060,26766,17437,182550.0,3,Benzie County,mi
8298.0,32656.0,23824.0,10402.0,16600.0,11257.0,2015,26021,"Berrien County, Michigan",52316,21862,155565,1262540.0,11,Berrien County,mi
6370.0,32401.0,22715.0,8402.0,12341.0,5921.0,2015,26025,"Calhoun County, Michigan",49255,23137,134790,1103795.0,5,Calhoun County,mi
3280.0,13153.0,9124.0,3620.0,4167.0,1985.0,2015,26027,"Cass County, Michigan",55417,21475,51952,524310.0,3,Cass County,mi
1163.0,6024.0,4366.0,1782.0,3188.0,2083.0,2015,26029,"Charlevoix County, Michigan",59761,24838,26134,221355.0,3,Charlevoix County,mi
2467.0,14353.0,12826.0,5470.0,9813.0,5479.0,2015,26037,"Clinton County, Michigan",77864,29234,76905,792665.0,5,Clinton County,mi
3569.0,22198.0,20971.0,8296.0,12017.0,6459.0,2015,26045,"Eaton County, Michigan",64081,31278,108341,1104965.0,8,Eaton County,mi
1151.0,6149.0,5634.0,2409.0,4733.0,3074.0,2015,26047,"Emmet County, Michigan",63179,26856,33018,284330.0,2,Emmet County,mi
22607.0,91477.0,75648.0,27977.0,33856.0,20044.0,2015,26049,"Genesee County, Michigan",46609,24932,415874,3936225.0,15,Genesee County,mi
2872.0,17112.0,15967.0,6588.0,12043.0,8027.0,2015,26055,"Grand Traverse County, Michigan",61866,28329,89907,845610.0,2,Grand Traverse County,mi
2103.0,11645.0,7169.0,2402.0,2431.0,1556.0,2015,26057,"Gratiot County, Michigan",48000,19201,41878,331435.0,1,Gratiot County,mi
9319.0,36598.0,40664.0,15064.0,34613.0,28435.0,2015,26065,"Ingham County, Michigan",53412,28479,283491,2477245.0,8,Ingham County,mi
3635.0,16374.0,11220.0,3922.0,4575.0,1847.0,2015,26067,"Ionia County, Michigan",56333,(X),64064,687495.0,3,Ionia County,mi
1845.0,7807.0,4727.0,1512.0,1956.0,1191.0,2015,26069,"Iosco County, Michigan",41708,20391,25401,178255.0,1,Iosco County,mi
2458.0,11719.0,8867.0,2920.0,5697.0,4358.0,2015,26073,"Isabella County, Michigan",52670,(X),70669,545705.0,3,Isabella County,mi
8559.0,38067.0,28321.0,9963.0,14925.0,6944.0,2015,26075,"Jackson County, Michigan",55321,24269,159759,1435600.0,5,Jackson County,mi
7708.0,36745.0,40302.0,15330.0,33395.0,22313.0,2015,26077,"Kalamazoo County, Michigan",61767,26188,256752,2347970.0,8,Kalamazoo County,mi
25689.0,102340.0,89194.0,34736.0,87496.0,46165.0,2015,26081,"Kent County, Michigan",63410,28219,622590,6088310.0,18,Kent County,mi
4050.0,22631.0,15912.0,6177.0,6817.0,3854.0,2015,26087,"Lapeer County, Michigan",61586,25018,88235,1187270.0,10,Lapeer County,mi
582.0,3707.0,3812.0,1603.0,3690.0,2935.0,2015,26089,"Leelanau County, Michigan",59524,(X),21772,189325.0,4,Leelanau County,mi
4735.0,24693.0,16860.0,5923.0,8583.0,4371.0,2015,26091,"Lenawee County, Michigan",57122,24207,98902,1105915.0,8,Lenawee County,mi
4955.0,32382.0,33086.0,12299.0,28014.0,14392.0,2015,26093,"Livingston County, Michigan",89632,32197,184591,2740750.0,25,Livingston County,mi
43252.0,181278.0,146079.0,61053.0,90181.0,48059.0,2015,26099,"Macomb County, Michigan",68184,27533,854689,10468680.0,78,Macomb County,mi
1687.0,14766.0,10548.0,4023.0,8534.0,4308.0,2015,26103,"Marquette County, Michigan",64511,21210,67582,495195.0,1,Marquette County,mi
1998.0,9114.0,6035.0,2494.0,3603.0,2406.0,2015,26107,"Mecosta County, Michigan",47920,20386,43301,378955.0,2,Mecosta County,mi
2665.0,16952.0,12192.0,5822.0,11093.0,7502.0,2015,26111,"Midland County, Michigan",71112,24832,83624,719535.0,7,Midland County,mi
7611.0,37390.0,25990.0,10619.0,12585.0,6600.0,2015,26115,"Monroe County, Michigan",68055,24499,150436,1577700.0,13,Monroe County,mi
3899.0,16836.0,11086.0,4104.0,3740.0,1919.0,2015,26117,"Montcalm County, Michigan",46359,18741,63004,709205.0,1,Montcalm County,mi
9504.0,39955.0,29379.0,11788.0,14528.0,6420.0,2015,26121,"Muskegon County, Michigan",46104,22122,171483,1416265.0,10,Muskegon County,mi
3246.0,13529.0,7465.0,2732.0,3068.0,1493.0,2015,26123,"Newaygo County, Michigan",49769,24076,48029,515385.0,2,Newaygo County,mi
