fips,"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,median income (family),median income (nonfamily),total population,occupied housing units,"1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more units,mobile home,"boat, rv, van, etc.",commute time,count,state,Per Capita CO2
6001,6.3,19.5,18.8,6.8,24.3,16.8,86039.0,41810.0,1515136,539179,8.286858353162865,4.4923856455833775,7.439644348166379,6.261371455490663,5.8303457664337826,17.091541028118673,1.3199698059457063,0.07715434020983755,12.337951840626848,1168,California,9.259397954488206
6005,9.1,27.9,31.1,9.7,14.0,4.8,58260.0,29903.0,37764,14236,3.1890980612531608,2.7535824669851077,2.472604664231526,1.4400112391121105,1.7420623770722117,1.538353470075864,8.457431862882832,0.014048890137679123,8.536966423048407,8,California,9.259397954488206
6007,8.4,22.9,30.6,9.2,15.9,8.1,49086.0,25085.0,220101,85074,3.948327338552319,3.1913393046054037,7.382984225497802,4.51136657498178,2.7858100007052684,4.899264170016692,14.984601640924373,0.6088816794790418,7.564640778551666,28,California,9.259397954488206
6009,5.1,29.5,32.9,9.6,14.8,6.0,72198.0,19809.0,45507,18618,1.9550972177462669,1.1064561177355248,1.396498012675905,1.557632398753894,0.4780320120313675,1.4663229133097004,10.280373831775698,0.09668063164679344,12.837365680005275,8,California,9.259397954488206
6013,5.6,19.2,22.6,8.2,24.6,14.1,92745.0,43471.0,1052047,373145,8.380120328558602,2.139650805986949,5.602915756609361,5.062911200739658,3.6428198153532807,8.895201597234319,1.8729984322448376,0.06271020648809444,13.921982573021927,632,California,9.259397954488206
6015,14.6,29.8,28.6,6.7,9.5,4.4,47650.0,24558.0,28496,9703,2.5043800886323817,3.9163145418942586,3.6277439967020513,3.1227455426156863,1.5871379985571472,3.5040709059053903,22.147789343502012,0.8141811810780171,4.177428411005054,3,California,9.259397954488206
6017,4.4,22.4,29.3,10.1,21.4,10.0,88700.0,35847.0,180441,67846,2.0237007340152697,2.97438316186658,4.3952480617869885,3.2205288447366094,1.7893464611030865,3.087875482710845,5.5345930489638295,0.1930843380597235,11.716489046281055,68,California,9.259397954488206
6019,10.8,22.7,23.0,7.7,13.1,6.3,42278.0,25746.0,930517,287082,2.784221929622895,3.151364418528504,7.7430838575737955,8.123462982701808,3.2812924530273584,5.752711768762933,4.840428867013607,0.1236580489198208,7.8755842182356695,76,California,9.259397954488206
6023,7.1,25.8,29.2,8.9,17.5,8.8,47333.0,24426.0,134317,53307,3.558632074586828,6.254338079426717,6.633275179619937,4.149548839739622,2.4274485527229066,3.2697394338454617,10.585851764308627,0.29827227193426753,7.075574945837087,21,California,9.259397954488206
6025,15.7,21.7,22.7,6.3,9.0,4.2,41968.0,14893.0,173487,47928,3.665915539976632,3.841178434318144,6.7997830078451,5.7085628442664005,3.1109163745618433,5.835837088966782,13.628776498080454,0.5299616090802871,6.540230680108596,4,California,9.259397954488206
