id,geographic area name,"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,year
0500000US01005,"Barbour County, Alabama",19.2,35.4,16.0,7.0,7.5,6.0,2010
0500000US01007,"Bibb County, Alabama",15.7,42.3,16.9,5.4,7.5,2.6,2010
0500000US01009,"Blount County, Alabama",15.9,36.4,19.5,6.2,8.4,4.2,2010
0500000US01011,"Bullock County, Alabama",14.4,36.6,20.2,5.9,8.3,3.7,2010
0500000US01013,"Butler County, Alabama",17.1,38.7,17.2,7.9,7.8,3.2,2010
0500000US01015,"Calhoun County, Alabama",14.0,34.5,21.2,6.7,9.7,6.4,2010
0500000US01017,"Chambers County, Alabama",19.5,34.3,19.6,7.1,7.1,3.7,2010
0500000US01019,"Cherokee County, Alabama",18.0,35.3,22.2,5.5,6.3,4.2,2010
0500000US01021,"Chilton County, Alabama",16.1,40.5,17.9,5.3,7.4,4.8,2010
0500000US01023,"Choctaw County, Alabama",15.4,39.3,13.7,7.3,6.8,4.1,2010
0500000US01025,"Clarke County, Alabama",15.7,42.1,14.2,6.4,8.5,4.9,2010
0500000US01027,"Clay County, Alabama",18.9,38.8,16.0,7.1,6.4,3.1,2010
0500000US01029,"Cleburne County, Alabama",19.5,39.5,17.4,5.0,4.7,3.7,2010
0500000US01031,"Coffee County, Alabama",12.0,28.2,20.8,8.2,13.6,8.5,2010
0500000US01033,"Colbert County, Alabama",13.0,34.3,22.2,7.2,10.5,5.9,2010
0500000US01035,"Conecuh County, Alabama",19.1,37.0,14.2,10.4,5.4,4.3,2010
0500000US01037,"Coosa County, Alabama",18.6,42.5,16.0,4.1,5.7,4.8,2010
0500000US01039,"Covington County, Alabama",14.6,37.3,18.5,7.6,8.3,4.8,2010
0500000US01041,"Crenshaw County, Alabama",15.7,38.2,20.0,5.3,6.2,3.9,2010
0500000US01043,"Cullman County, Alabama",14.9,33.6,20.5,9.0,8.4,5.4,2010
0500000US01045,"Dale County, Alabama",11.6,29.7,25.8,9.3,11.9,5.6,2010
0500000US01047,"Dallas County, Alabama",16.1,36.6,18.0,7.9,8.2,6.0,2010
0500000US01049,"DeKalb County, Alabama",17.7,33.8,16.9,6.5,6.2,4.7,2010
0500000US01051,"Elmore County, Alabama",11.2,35.2,21.9,6.5,13.3,6.9,2010
