"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"0500000US30019","Daniels County, Montana","8825","2066","6135","1778","2690","612"
"0500000US72073","Jayuya Municipio, Puerto Rico","85705","13688","55150","12883","30555","6871"
"0500000US24023","Garrett County, Maryland","291705","15096","178945","12531","112760","8693"
"0500000US39173","Wood County, Ohio","1172270","34707","636360","24254","535910","23543"
"0500000US30079","Prairie County, Montana","6665","1485","3975","1328","2690","748"
"0500000US08011","Bent County, Colorado","24950","5477","14465","5077","10485","2334"
"0500000US13081","Crisp County, Georgia","159380","20748","68630","11469","90750","15256"
"0500000US04027","Yuma County, Arizona","1280895","45024","788180","32888","492715","23305"
"0500000US22019","Calcasieu Parish, Louisiana","1696340","58062","1037235","45954","659105","31100"
"0500000US20157","Republic County, Kansas","33555","4085","19120","2805","14435","2209"
"0500000US37011","Avery County, North Carolina","136475","11451","79190","9210","57290","6481"
"0500000US49015","Emery County, Utah","76520","7471","52140","6348","24375","3696"
"0500000US54011","Cabell County, West Virginia","776950","25580","429975","21277","346980","14192"
"0500000US05081","Little River County, Arkansas","124860","12525","70100","8996","54760","7305"
"0500000US26049","Genesee County, Michigan","3812560","74339","2127695","47538","1684865","44608"
"0500000US18153","Sullivan County, Indiana","185485","13277","116710","10405","68775","6874"
"0500000US72077","Juncos Municipio, Puerto Rico","381370","32089","187075","19147","194300","22636"
"0500000US20119","Meade County, Kansas","29450","3340","17070","2327","12385","1899"
"0500000US31139","Pierce County, Nebraska","60240","4197","33455","3739","26785","2083"
"0500000US06047","Merced County, California","2285305","83440","1445870","58973","839435","47535"
"0500000US27025","Chisago County, Minnesota","801050","30139","466215","21175","334835","15582"
"0500000US48219","Hockley County, Texas","192215","14450","122080","12340","70130","5761"
"0500000US50011","Franklin County, Vermont","630740","24936","346080","17428","284660","14442"
"0500000US51036","Charles City County, Virginia","113695","8902","61710","6999","51985","4224"
"0500000US21029","Bullitt County, Kentucky","925055","39504","516550","29238","408505","21593"
"0500000US13057","Cherokee County, Georgia","3002305","76855","1703210","50423","1299095","49144"
"0500000US21171","Monroe County, Kentucky","84015","10218","49810","7999","34200","5042"
"0500000US27075","Lake County, Minnesota","100760","10421","64665","8264","36095","5082"
"0500000US28023","Clarke County, Mississippi","173590","21169","107350","18410","66240","9145"
"0500000US42053","Forest County, Pennsylvania","44225","20006","21535","21324","22690","4117"
"0500000US47149","Rutherford County, Tennessee","3384975","73006","1854320","60118","1530650","47128"
"0500000US48293","Limestone County, Texas","184480","20145","114395","18589","70085","7955"
"0500000US51185","Tazewell County, Virginia","402685","24469","249970","21817","152715","13789"
"0500000US05147","Woodruff County, Arkansas","50575","7291","30040","5509","20540","3266"
"0500000US48129","Donley County, Texas","28440","4061","17220","3574","11220","2666"
"0500000US16017","Bonner County, Idaho","352025","26635","207745","21396","144280","12536"
"0500000US06109","Tuolumne County, California","430605","39531","273010","34796","157595","16755"
"0500000US28037","Franklin County, Mississippi","116345","16584","75930","14489","40410","7090"
"0500000US29131","Miller County, Missouri","274755","23349","147795","18722","126960","9791"
"0500000US05105","Perry County, Arkansas","133445","15322","73475","8694","59970","10310"
"0500000US19019","Buchanan County, Iowa","200935","14489","112425","9564","88505","6964"
"0500000US31077","Greeley County, Nebraska","20960","3579","11615","3112","9345","1541"
"0500000US29049","Clinton County, Missouri","251180","13947","144905","10196","106275","8036"
"0500000US06043","Mariposa County, California","198395","24714","127980","21547","70415","12771"
"0500000US22095","St. John the Baptist Parish, Louisiana","518350","26952","266695","17023","251660","19649"
"0500000US29139","Montgomery County, Missouri","142660","10859","84330","9394","58330","5576"
"0500000US48321","Matagorda County, Texas","340125","35179","221750","25647","118380","17271"
"0500000US28103","Noxubee County, Mississippi","95905","11395","53895","10342","42005","6829"
"0500000US53051","Pend Oreille County, Washington","124980","16124","77775","11916","47210","9137"
"0500000US36071","Orange County, New York","5394295","103971","3216305","65402","2177990","61108"
"0500000US13103","Effingham County, Georgia","678620","29946","382075","20378","296545","18468"
"0500000US42013","Blair County, Pennsylvania","1045000","35644","588210","27325","456790","18757"
"0500000US72089","Luquillo Municipio, Puerto Rico","177585","18397","102490","11926","75095","11513"
"0500000US51121","Montgomery County, Virginia","737610","27974","391725","19142","345885","19790"
"0500000US17089","Kane County, Illinois","6779725","113223","4017445","86002","2762275","63404"
"0500000US26003","Alger County, Michigan","57285","6661","34485","5441","22800","3010"
"0500000US21159","Martin County, Kentucky","93295","16939","64640","15281","28655","6626"
"0500000US37171","Surry County, North Carolina","750655","42767","434325","36226","316330","22245"
"0500000US24027","Howard County, Maryland","4506850","68149","2448175","51732","2058680","54929"
"0500000US53025","Grant County, Washington","633030","36671","387810","24636","245225","19493"
"0500000US13061","Clay County, Georgia","22845","5007","11615","4381","11230","3225"
"0500000US18015","Carroll County, Indiana","221115","12540","125555","9774","95560","6738"
"0500000US21163","Meade County, Kentucky","352455","29825","196705","18872","155750","23419"
"0500000US51075","Goochland County, Virginia","264635","16258","149420","12976","115215","11289"
"0500000US42047","Elk County, Pennsylvania","238865","13010","136275","9281","102590","7386"
"0500000US13141","Hancock County, Georgia","57050","8930","28735","6710","28315","5993"
"0500000US21149","McLean County, Kentucky","101540","11013","61555","8496","39985","5141"
"0500000US39141","Ross County, Ohio","717895","37046","430375","29938","287515","17199"
"0500000US72047","Corozal Municipio, Puerto Rico","295470","27712","171985","19317","123485","19045"
"0500000US31145","Red Willow County, Nebraska","55905","6983","31345","4416","24560","4308"
"0500000US48501","Yoakum County, Texas","59930","10974","40690","9215","19240","5615"
"0500000US54099","Wayne County, West Virginia","371695","23128","210270","18539","161425","15414"
"0500000US51167","Russell County, Virginia","291630","22551","178265","17134","113365","12122"
"0500000US51157","Rappahannock County, Virginia","107045","10606","69400","8244","37645","5961"
"0500000US27159","Wadena County, Minnesota","119145","8568","73105","7429","46040","5030"
"0500000US37005","Alleghany County, North Carolina","106910","16775","69140","15027","37775","6300"
"0500000US45061","Lee County, South Carolina","171650","15772","83325","11875","88325","9409"
"0500000US48025","Bee County, Texas","243045","28528","178785","26332","64260","8861"
"0500000US48329","Midland County, Texas","1264170","44474","812500","37851","451670","23374"
"0500000US47051","Franklin County, Tennessee","343945","21213","201180","17070","142765","10368"
"0500000US27097","Morrison County, Minnesota","380980","11139","222205","9647","158775","7440"
"0500000US38089","Stark County, North Dakota","225665","15357","154280","14742","71385","4941"
"0500000US35045","San Juan County, New Mexico","1230420","47294","733255","35468","497165","29836"
"0500000US48125","Dickens County, Texas","13005","2439","7535","2080","5470","1428"
"0500000US20159","Rice County, Kansas","77225","6448","49155","5877","28070","2987"
"0500000US48481","Wharton County, Texas","393420","25447","239790","21123","153630","14874"
"0500000US47139","Polk County, Tennessee","175960","16117","99445","12442","76520","9550"
"0500000US21167","Mercer County, Kentucky","225220","14668","129320","12481","95900","7974"
"0500000US27007","Beltrami County, Minnesota","369270","16903","203035","13623","166235","8988"
"0500000US20161","Riley County, Kansas","562575","22311","330965","16283","231610","14860"
"0500000US51800","Suffolk city, Virginia","1071830","37637","587410","26869","484420","21468"
"0500000US53015","Cowlitz County, Washington","905135","43727","569130","40193","336005","23163"
"0500000US17125","Mason County, Illinois","148100","12471","85390","9527","62710","6181"
"0500000US48383","Reagan County, Texas","28575","5755","22235","5668","6340","2845"
"0500000US12107","Putnam County, Florida","657340","33741","387420","27634","269920","18676"
"0500000US17005","Bond County, Illinois","167635","15178","86485","10064","81150","10584"
"0500000US17025","Clay County, Illinois","114395","13249","67855","9800","46540","6918"
"0500000US19125","Marion County, Iowa","312325","17501","180770","12523","131555","9946"
"0500000US56021","Laramie County, Wyoming","695715","31103","408350","25028","287365","14277"
"0500000US48269","King County, Texas","2285","993","1550","784","735","462"
"0500000US09009","New Haven County, Connecticut","9480480","98504","5069635","79909","4410845","59839"
"0500000US36009","Cattaraugus County, New York","712195","22219","407225","16304","304970","12840"
"0500000US48387","Red River County, Texas","114830","9872","66415","6895","48420","6528"
"0500000US02270","Wade Hampton Census Area, Alaska","11660","822","6180","645","5480","439"
"0500000US18109","Morgan County, Indiana","899145","30877","505405","20772","393740","21547"
"0500000US48003","Andrews County, Texas","154790","17837","111220","15495","43570","7524"
"0500000US05103","Ouachita County, Arkansas","219970","21114","130375","18112","89595","9311"
"0500000US05119","Pulaski County, Arkansas","3452870","63137","1801110","44156","1651760","46143"
"0500000US37137","Pamlico County, North Carolina","116785","9435","61040","7850","55745","5726"
"0500000US13113","Fayette County, Georgia","1354400","43352","796060","34556","558340","25751"
"0500000US05127","Scott County, Arkansas","91395","11123","52480","9512","38920","6729"
"0500000US28127","Simpson County, Mississippi","340220","26452","200465","23752","139750","13064"
"0500000US29199","Scotland County, Missouri","37920","5951","21015","4561","16905","3159"
"0500000US21011","Bath County, Kentucky","95875","11025","59290","8971","36580","5558"
"0500000US29057","Dade County, Missouri","76620","6866","42500","5186","34120","3723"
"0500000US55075","Marinette County, Wisconsin","357835","20917","206000","15608","151830","10745"
"0500000US29159","Pettis County, Missouri","345245","22541","194250","17113","150990","14841"
"0500000US29165","Platte County, Missouri","1054600","30316","588660","24599","465940","19474"
"0500000US51111","Lunenburg County, Virginia","123465","16898","69850","14410","53615","7253"
"0500000US17077","Jackson County, Illinois","461880","26782","253005","20737","208875","14092"
"0500000US41029","Jackson County, Oregon","1498195","52948","828485","45875","669710","27559"
"0500000US51570","Colonial Heights city, Virginia","159230","12943","82445","8972","76785","8045"
"0500000US19049","Dallas County, Iowa","707405","21739","394115","17671","313290","13765"
