"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"0500000US06037","Los Angeles County, California","124618500","445944","70258880","284497","54359620","296566"
"0500000US06039","Madera County, California","1027590","54193","638090","44513","389500","24458"
"0500000US06041","Marin County, California","3260080","74520","1851555","50617","1408525","55260"
"0500000US06043","Mariposa County, California","203725","24294","119000","20631","84725","14212"
"0500000US06045","Mendocino County, California","610900","39075","365630","30703","245270","18069"
"0500000US06047","Merced County, California","2342255","77891","1475675","65980","866575","43649"
"0500000US06049","Modoc County, California","44665","6159","23895","4947","20770","4003"
"0500000US06051","Mono County, California","127615","29634","63840","20287","63775","19642"
"0500000US06053","Monterey County, California","3769410","77672","2273810","62136","1495595","34558"
"0500000US06055","Napa County, California","1467930","50587","880525","39147","587405","23092"
"0500000US06057","Nevada County, California","896310","49509","512135","36738","384175","28962"
"0500000US06059","Orange County, California","36518055","253852","21127415","195534","15390635","160646"
"0500000US06061","Placer County, California","3965495","86709","2312565","71960","1652925","44213"
"0500000US06063","Plumas County, California","149120","15173","92060","12027","57060","8601"
"0500000US06065","Riverside County, California","26666605","252933","16389920","196004","10276680","125349"
"0500000US06067","Sacramento County, California","14824565","162737","8066640","124936","6757920","97006"
"0500000US06069","San Benito County, California","719230","30322","458565","25250","260665","17202"
"0500000US06071","San Bernardino County, California","23226635","247624","14175975","202019","9050660","136911"
"0500000US06073","San Diego County, California","33621115","212293","19229475","158598","14391645","143945"
"0500000US06075","San Francisco County, California","13142650","147993","7127210","100756","6015440","94686"
"0500000US06077","San Joaquin County, California","7581895","121698","4751645","93962","2830250","74197"
"0500000US06079","San Luis Obispo County, California","2406835","68030","1434200","55965","972635","33574"
"0500000US06081","San Mateo County, California","9203345","90861","5010980","62058","4192360","61936"
"0500000US06083","Santa Barbara County, California","3569135","78579","2108800","62991","1460335","36490"
"0500000US06085","Santa Clara County, California","21152325","151152","12189040","111221","8963285","94508"
"0500000US06087","Santa Cruz County, California","3030935","66054","1766170","53069","1264765","42468"
"0500000US06089","Shasta County, California","1253290","52845","698765","38052","554525","29212"
"0500000US06091","Sierra County, California","31215","6947","14975","4839","16240","3927"
"0500000US06093","Siskiyou County, California","262255","18806","144750","14984","117500","9992"
"0500000US06095","Solano County, California","5194425","124733","2900080","102748","2294345","61788"
"0500000US06097","Sonoma County, California","5377550","93623","3053350","73104","2324205","59756"
