"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"0500000US28151","Washington County, Mississippi","277765","15243","144385","11789","133380","9329"
"0500000US28111","Perry County, Mississippi","142280","17329","89310","13667","52970","8774"
"0500000US28019","Choctaw County, Mississippi","90540","11826","55860","10675","34680","5832"
"0500000US28057","Itawamba County, Mississippi","228155","24138","117525","13183","110635","15414"
"0500000US28015","Carroll County, Mississippi","94660","12405","62615","10056","32045","6505"
"0500000US28043","Grenada County, Mississippi","144025","17385","67590","11680","76435","12432"
"0500000US28063","Jefferson County, Mississippi","43060","12258","20345","7872","22715","7432"
"0500000US28041","Greene County, Mississippi","129865","20375","90825","18572","39040","6941"
"0500000US28093","Marshall County, Mississippi","370035","28067","195770","18061","174265","17349"
"0500000US28119","Quitman County, Mississippi","59630","7629","29110","4276","30520","5702"
"0500000US28011","Bolivar County, Mississippi","188085","14906","102225","12119","85860","7953"
"0500000US28073","Lamar County, Mississippi","696795","47672","429110","39981","267685","21914"
"0500000US28081","Lee County, Mississippi","758190","32792","419600","24113","338585","20181"
"0500000US28113","Pike County, Mississippi","327905","28207","209970","26731","117935","11324"
"0500000US28135","Tallahatchie County, Mississippi","92645","13299","42935","8853","49710","8608"
"0500000US28129","Smith County, Mississippi","222690","22870","146215","24020","76475","10422"
"0500000US28131","Stone County, Mississippi","245615","28895","151205","21331","94410","16430"
"0500000US28149","Warren County, Mississippi","360170","27952","193660","19452","166510","15340"
"0500000US28023","Clarke County, Mississippi","183650","18885","112990","17389","70665","8273"
"0500000US28069","Kemper County, Mississippi","111825","19925","65660","17321","46170","9979"
"0500000US28097","Montgomery County, Mississippi","111030","21302","71070","18671","39955","7521"
"0500000US28105","Oktibbeha County, Mississippi","360655","23841","215225","19597","145435","11079"
"0500000US28109","Pearl River County, Mississippi","711940","45345","467210","40409","244730","20644"
"0500000US28079","Leake County, Mississippi","247055","27342","139565","20886","107490","12061"
"0500000US28103","Noxubee County, Mississippi","104180","15717","57135","11415","47040","7967"
"0500000US28099","Neshoba County, Mississippi","281040","21416","162040","17127","118995","11716"
"0500000US28121","Rankin County, Mississippi","1799105","51455","959195","38618","839910","34986"
"0500000US28137","Tate County, Mississippi","365655","29109","204575","21394","161080","16797"
"0500000US28077","Lawrence County, Mississippi","158725","17366","102700","14912","56020","8205"
"0500000US28107","Panola County, Mississippi","301600","21531","162985","18610","138615","12832"
"0500000US28161","Yalobusha County, Mississippi","132735","12945","71645","9924","61090","9244"
"0500000US28017","Chickasaw County, Mississippi","158900","13199","89640","11068","69260","9184"
"0500000US28029","Copiah County, Mississippi","318365","31138","164525","19561","153845","19563"
"0500000US28039","George County, Mississippi","270730","26602","176775","21997","93960","15222"
"0500000US28049","Hinds County, Mississippi","2323850","59116","1175975","44227","1147870","33574"
"0500000US28101","Newton County, Mississippi","216075","17168","113275","10867","102800","11694"
"0500000US28145","Union County, Mississippi","287470","25575","159945","16133","127525","16589"
"0500000US28125","Sharkey County, Mississippi","34065","6500","13305","3885","20755","6130"
"0500000US28139","Tippah County, Mississippi","211875","17454","112445","14779","99430","12099"
"0500000US28035","Forrest County, Mississippi","648110","45426","387885","37285","260220","18269"
"0500000US28045","Hancock County, Mississippi","544150","48551","314090","33851","230055","27222"
"0500000US28071","Lafayette County, Mississippi","435155","30927","246630","23556","188530","15769"
"0500000US28055","Issaquena County, Mississippi","8370","3261","4195","2186","4175","2159"
"0500000US28087","Lowndes County, Mississippi","494185","34025","278870","25522","215315","19166"
"0500000US28083","Leflore County, Mississippi","133005","12870","66055","8762","66950","7587"
"0500000US28157","Wilkinson County, Mississippi","71750","14012","37495","11938","34260","7933"
"0500000US28047","Harrison County, Mississippi","2001695","62335","1161960","56058","839735","33257"
"0500000US28065","Jefferson Davis County, Mississippi","142010","19071","68470","14916","73540","11534"
"0500000US28085","Lincoln County, Mississippi","359045","35666","217440","27408","141605","19866"
"0500000US28123","Scott County, Mississippi","273695","23859","150685","17129","123010","12362"
"0500000US28159","Winston County, Mississippi","188830","19469","95895","12876","92935","11850"
"0500000US28163","Yazoo County, Mississippi","199170","26558","106700","21889","92470","10443"
"0500000US28009","Benton County, Mississippi","83800","11365","47205","7747","36595","6479"
"0500000US28037","Franklin County, Mississippi","81465","14411","53510","12750","27955","4415"
"0500000US28061","Jasper County, Mississippi","215210","31687","136040","27068","79170","10792"
"0500000US28067","Jones County, Mississippi","590165","30107","341385","22214","248780","19371"
"0500000US28095","Monroe County, Mississippi","334690","20049","186490","14282","148205","12392"
"0500000US28133","Sunflower County, Mississippi","149570","11691","70705","9209","78865","6618"
"0500000US28155","Webster County, Mississippi","101250","10911","61460","11510","39790","5882"
"0500000US28001","Adams County, Mississippi","195505","30173","118850","27422","76655","8002"
