"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"0500000US30019","Daniels County, Montana","8685","1847","4610","1265","4070","1189"
"0500000US72073","Jayuya Municipio, Puerto Rico","96535","14993","64630","13213","31905","6837"
"0500000US24023","Garrett County, Maryland","304545","17266","185620","15304","118925","10951"
"0500000US39173","Wood County, Ohio","1161730","36832","640985","29450","520745","20053"
"0500000US30079","Prairie County, Montana","4905","965","2035","626","2870","732"
"0500000US08011","Bent County, Colorado","38900","16221","27755","14433","11150","3376"
"0500000US13081","Crisp County, Georgia","161440","16189","86755","12269","74685","8730"
"0500000US04027","Yuma County, Arizona","1279840","43378","785605","32374","494235","24719"
"0500000US22019","Calcasieu Parish, Louisiana","1639380","45562","972925","38471","666455","24637"
"0500000US20157","Republic County, Kansas","35080","3811","19335","2906","15750","2225"
"0500000US37011","Avery County, North Carolina","157055","16110","91120","12973","65935","10033"
"0500000US49015","Emery County, Utah","91265","7556","64865","7300","26400","3728"
"0500000US54011","Cabell County, West Virginia","789710","31120","448860","22859","340855","20366"
"0500000US05081","Little River County, Arkansas","134540","11413","80000","8436","54540","6987"
"0500000US26049","Genesee County, Michigan","4131965","76532","2363595","66335","1768375","38057"
"0500000US18153","Sullivan County, Indiana","207170","15320","126485","12313","80680","9873"
"0500000US72077","Juncos Municipio, Puerto Rico","365470","32990","191820","19206","173645","21752"
"0500000US20119","Meade County, Kansas","32425","3771","21125","3443","11300","1474"
"0500000US31139","Pierce County, Nebraska","66625","5974","34795","4007","31835","4712"
"0500000US06047","Merced County, California","2245625","77066","1465465","64281","780160","37679"
"0500000US27025","Chisago County, Minnesota","746220","28963","432310","23188","313915","15522"
"0500000US48219","Hockley County, Texas","183635","14689","116095","12670","67540","7071"
"0500000US50011","Franklin County, Vermont","609340","21766","344080","17081","265260","12544"
"0500000US51036","Charles City County, Virginia","104105","9233","57890","7009","46220","4739"
"0500000US21029","Bullitt County, Kentucky","902200","27360","511410","21638","390790","15883"
"0500000US13057","Cherokee County, Georgia","3055100","75490","1798470","60048","1256630","44741"
"0500000US21171","Monroe County, Kentucky","85840","11501","52475","11295","33365","5286"
"0500000US27075","Lake County, Minnesota","103960","11734","60385","6984","43575","7397"
"0500000US28023","Clarke County, Mississippi","192840","20772","119990","18646","72850","8408"
"0500000US42053","Forest County, Pennsylvania","51120","7353","29015","6984","22105","3823"
"0500000US48293","Limestone County, Texas","178400","33569","108115","31572","70290","7757"
"0500000US51185","Tazewell County, Virginia","411150","31223","254915","27580","156235","16140"
"0500000US47149","Rutherford County, Tennessee","3103210","56372","1716435","42989","1386775","37200"
"0500000US05147","Woodruff County, Arkansas","50010","5213","26810","4322","23200","3150"
"0500000US48129","Donley County, Texas","25500","3728","13760","2787","11745","3207"
"0500000US16017","Bonner County, Idaho","400805","28763","250440","26568","150365","12639"
"0500000US06109","Tuolumne County, California","492080","41003","304000","34907","188080","19150"
"0500000US28037","Franklin County, Mississippi","113705","24642","82200","23719","31505","6349"
"0500000US29131","Miller County, Missouri","282170","22328","159430","16282","122740","12232"
"0500000US05105","Perry County, Arkansas","122120","14537","72010","11382","50105","8563"
"0500000US19019","Buchanan County, Iowa","220575","13842","127190","10577","93385","7003"
"0500000US31077","Greeley County, Nebraska","18370","3053","9900","2489","8470","1686"
"0500000US29049","Clinton County, Missouri","265985","18819","160250","13492","105735","9881"
"0500000US06043","Mariposa County, California","229945","34138","154115","30278","75830","15082"
"0500000US22095","St. John the Baptist Parish, Louisiana","528005","26265","283690","20577","244315","15089"
"0500000US29139","Montgomery County, Missouri","145570","10793","86020","8331","59550","6010"
"0500000US48321","Matagorda County, Texas","308665","25316","204710","21628","103960","12721"
"0500000US28103","Noxubee County, Mississippi","94615","11802","51095","8038","43515","9524"
"0500000US53051","Pend Oreille County, Washington","124520","14186","77850","10177","46670","8658"
"0500000US36071","Orange County, New York","5404875","101317","3207115","73148","2197760","62559"
"0500000US13103","Effingham County, Georgia","640045","29934","376110","22428","263935","18566"
"0500000US42013","Blair County, Pennsylvania","1082310","38213","624875","31687","457435","21577"
"0500000US72089","Luquillo Municipio, Puerto Rico","188465","20162","105130","14166","83335","12178"
"0500000US51121","Montgomery County, Virginia","736230","31661","402880","21813","333345","17729"
"0500000US17089","Kane County, Illinois","6590870","98154","3981395","74909","2609475","55477"
"0500000US21159","Martin County, Kentucky","85480","17011","54105","12672","31375","11620"
"0500000US26003","Alger County, Michigan","55080","5390","29755","4149","25325","2987"
"0500000US37171","Surry County, North Carolina","783715","37398","466280","29059","317435","16051"
"0500000US24027","Howard County, Maryland","4233710","82926","2362980","50501","1870735","56603"
"0500000US53025","Grant County, Washington","601580","31275","358790","22138","242790","18595"
"0500000US13061","Clay County, Georgia","18350","4210","10530","2780","7820","2397"
"0500000US21163","Meade County, Kentucky","369855","23963","215470","15734","154385","21535"
"0500000US18015","Carroll County, Indiana","235325","13835","130280","11007","105045","7984"
"0500000US51075","Goochland County, Virginia","201985","41774","107535","33059","94450","27035"
"0500000US42047","Elk County, Pennsylvania","273085","17996","154290","12854","118795","11273"
"0500000US13141","Hancock County, Georgia","75180","11859","32995","8279","42185","7377"
"0500000US21149","McLean County, Kentucky","107325","10362","67640","8270","39685","4764"
"0500000US39141","Ross County, Ohio","755290","36909","443415","29597","311875","19865"
"0500000US72047","Corozal Municipio, Puerto Rico","284800","23717","172670","16648","112130","14685"
"0500000US31145","Red Willow County, Nebraska","68160","7547","38465","5851","29695","4502"
"0500000US48501","Yoakum County, Texas","56710","12599","40995","9152","15715","5873"
"0500000US51167","Russell County, Virginia","306635","22554","183090","18390","123545","14922"
"0500000US54099","Wayne County, West Virginia","393685","26719","231355","23838","162335","12421"
"0500000US51157","Rappahannock County, Virginia","107065","13507","66870","11107","40195","6820"
"0500000US27159","Wadena County, Minnesota","121955","11361","76115","10013","45840","5458"
"0500000US45061","Lee County, South Carolina","148340","16144","68865","10885","79475","11291"
"0500000US37005","Alleghany County, North Carolina","106950","19880","73895","20571","33050","5632"
"0500000US48329","Midland County, Texas","1078770","42567","685335","36765","393435","18959"
"0500000US48025","Bee County, Texas","164640","26618","114030","24508","50610","6096"
"0500000US47051","Franklin County, Tennessee","371425","24596","221200","19448","150225","12596"
"0500000US27097","Morrison County, Minnesota","376500","12854","225115","10261","151390","7242"
"0500000US38089","Stark County, North Dakota","195020","16241","132365","14842","62655","5733"
"0500000US35045","San Juan County, New Mexico","1247585","47513","767150","41273","480435","26917"
"0500000US48125","Dickens County, Texas","11560","2903","6835","2492","4725","1381"
"0500000US20159","Rice County, Kansas","87040","8156","53055","7727","33985","3744"
"0500000US48481","Wharton County, Texas","448805","32035","287290","26899","161515","13595"
"0500000US47139","Polk County, Tennessee","177395","19402","113075","13812","64325","11337"
"0500000US21167","Mercer County, Kentucky","220790","16439","127150","13285","93640","9454"
"0500000US20161","Riley County, Kansas","532425","20495","300995","15045","231430","15402"
"0500000US27007","Beltrami County, Minnesota","362515","21057","188635","14213","173880","13113"
"0500000US51800","Suffolk city, Virginia","1054150","33677","579300","26948","474845","19138"
"0500000US53015","Cowlitz County, Washington","923915","50102","568960","39801","354950","24231"
"0500000US17125","Mason County, Illinois","164905","14380","97490","10330","67410","7478"
"0500000US48383","Reagan County, Texas","25455","5047","21990","4735","3470","1493"
"0500000US12107","Putnam County, Florida","726575","42494","428955","31265","297615","23904"
"0500000US17005","Bond County, Illinois","199705","24517","118640","16984","81065","11713"
"0500000US19125","Marion County, Iowa","310160","17405","190645","15405","119515","9077"
"0500000US17025","Clay County, Illinois","109140","12724","66005","10200","43135","6116"
"0500000US48269","King County, Texas","470","261","365","244","105","51"
"0500000US56021","Laramie County, Wyoming","703620","29957","416130","27478","287495","13957"
"0500000US09009","New Haven County, Connecticut","9593530","107795","5235720","82956","4357810","71373"
"0500000US36009","Cattaraugus County, New York","731930","25297","426240","21705","305695","13994"
"0500000US48387","Red River County, Texas","128405","12091","72080","7968","56330","8302"
"0500000US02270","Wade Hampton Census Area, Alaska","10610","803","5780","646","4830","503"
"0500000US18109","Morgan County, Indiana","871070","33764","510980","26811","360090","18440"
"0500000US48003","Andrews County, Texas","135385","20511","97265","17466","38120","7966"
"0500000US05103","Ouachita County, Arkansas","194915","13398","106640","10479","88275","9257"
"0500000US05119","Pulaski County, Arkansas","3369730","68811","1776065","48433","1593665","42507"
"0500000US37137","Pamlico County, North Carolina","126390","11413","74935","12060","51455","4994"
"0500000US13113","Fayette County, Georgia","1358890","39742","791810","29173","567080","24208"
"0500000US05127","Scott County, Arkansas","91865","11384","55180","10683","36685","6719"
"0500000US28127","Simpson County, Mississippi","385580","29995","237765","31025","147810","17628"
"0500000US29199","Scotland County, Missouri","44425","5757","27580","4821","16845","3744"
"0500000US21011","Bath County, Kentucky","105545","13448","58980","12185","46565","5571"
"0500000US29057","Dade County, Missouri","75240","7385","47400","6333","27840","3768"
"0500000US55075","Marinette County, Wisconsin","375365","19116","222390","16051","152975","10442"
"0500000US29159","Pettis County, Missouri","385460","27290","234765","21124","150695","13400"
"0500000US29165","Platte County, Missouri","1007880","29722","554115","21455","453765","20522"
"0500000US51111","Lunenburg County, Virginia","138800","17426","81970","11686","56830","10430"
"0500000US17077","Jackson County, Illinois","442160","20147","243245","16191","198915","11257"
"0500000US41029","Jackson County, Oregon","1481935","48987","823070","37135","658865","23130"
"0500000US51570","Colonial Heights city, Virginia","169640","13544","100290","11452","69350","7036"
"0500000US19049","Dallas County, Iowa","649570","26727","353655","20732","295915","14308"
"0500000US45081","Saluda County, South Carolina","221825","17054","115850","14010","105975","8847"
