"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"0500000US05015","Carroll County, Arkansas","210495","19315","121110","12986","89385","13162"
"0500000US05017","Chicot County, Arkansas","73105","11396","36240","7693","36870","5890"
"0500000US05019","Clark County, Arkansas","206040","17225","109875","11699","96170","9822"
"0500000US05021","Clay County, Arkansas","134975","10773","83480","9185","51495","5130"
"0500000US05023","Cleburne County, Arkansas","240660","19591","154240","17311","86415","7788"
"0500000US05025","Cleveland County, Arkansas","90270","7099","54695","6322","35575","4753"
"0500000US05027","Columbia County, Arkansas","167015","14047","94715","9521","72300","8810"
"0500000US05029","Conway County, Arkansas","202830","15955","117225","11757","85600","9924"
"0500000US05031","Craighead County, Arkansas","808575","39390","472460","28008","336120","19920"
"0500000US05033","Crawford County, Arkansas","568755","31439","315900","21481","252855","18109"
"0500000US05035","Crittenden County, Arkansas","404285","18877","217680","12956","186605","11412"
"0500000US05037","Cross County, Arkansas","147130","15102","88365","11239","58765","8670"
"0500000US05039","Dallas County, Arkansas","74625","10212","38050","6787","36570","7136"
"0500000US05041","Desha County, Arkansas","83530","10139","42030","6591","41500","6812"
"0500000US05043","Drew County, Arkansas","156200","19539","92325","14612","63875","9499"
"0500000US05045","Faulkner County, Arkansas","1319130","43398","761415","33796","557715","28027"
"0500000US05047","Franklin County, Arkansas","156360","16603","84235","12946","72125","8134"
"0500000US05049","Fulton County, Arkansas","97495","11788","57430","8719","40065","7166"
"0500000US05051","Garland County, Arkansas","794270","44029","463950","32676","330325","21562"
"0500000US05053","Grant County, Arkansas","217575","13860","126935","11235","90640","8654"
"0500000US05055","Greene County, Arkansas","353460","22514","203125","16407","150335","13704"
"0500000US05057","Hempstead County, Arkansas","169130","18320","91040","12849","78090","13094"
"0500000US05059","Hot Spring County, Arkansas","335920","22679","205045","14996","130880","13701"
"0500000US05061","Howard County, Arkansas","104425","11424","58545","6761","45880","8085"
"0500000US05063","Independence County, Arkansas","283920","21915","163240","14809","120680","14001"
"0500000US05065","Izard County, Arkansas","89125","11322","49045","7769","40080","7406"
"0500000US05067","Jackson County, Arkansas","101180","10875","66660","8815","34520","5224"
"0500000US05069","Jefferson County, Arkansas","555370","24666","284645","21026","270725","14873"
"0500000US05071","Johnson County, Arkansas","197260","18057","120650","16083","76615","7282"
"0500000US05073","Lafayette County, Arkansas","58375","6168","30820","4493","27555","4312"
"0500000US05075","Lawrence County, Arkansas","155790","13600","93785","9716","62005","6655"
"0500000US05077","Lee County, Arkansas","55370","6279","29630","4655","25740","4166"
"0500000US05079","Lincoln County, Arkansas","70030","17004","35995","16598","34035","4764"
"0500000US05081","Little River County, Arkansas","111185","9402","55985","7557","55200","5890"
"0500000US05083","Logan County, Arkansas","211770","19571","122570","14472","89200","12703"
"0500000US05085","Lonoke County, Arkansas","856120","30035","465300","22613","390815","18235"
"0500000US05087","Madison County, Arkansas","198730","13256","115595","9907","83135","8095"
"0500000US05089","Marion County, Arkansas","109265","10103","59675","6673","49585","6268"
"0500000US05091","Miller County, Arkansas","336230","21725","189925","19733","146305","14285"
"0500000US05093","Mississippi County, Arkansas","303255","21619","168025","14526","135230","13249"
"0500000US05095","Monroe County, Arkansas","59445","6822","30470","4634","28975","4535"
"0500000US05097","Montgomery County, Arkansas","91940","9810","54250","6005","37695","6624"
"0500000US05099","Nevada County, Arkansas","89660","16121","54780","14758","34880","6077"
"0500000US05101","Newton County, Arkansas","93710","13286","56260","10149","37450","6202"
"0500000US05103","Ouachita County, Arkansas","236290","28494","135900","26100","100385","12544"
"0500000US05105","Perry County, Arkansas","123665","13373","69755","10962","53910","6913"
"0500000US05107","Phillips County, Arkansas","120825","14934","63935","11831","56890","9423"
"0500000US05109","Pike County, Arkansas","118475","9539","71780","6577","46695","5801"
"0500000US05111","Poinsett County, Arkansas","207005","16373","118600","12312","88400","9703"
"0500000US05113","Polk County, Arkansas","159125","19253","99070","16896","60055","8759"
"0500000US05115","Pope County, Arkansas","482170","26568","284125","21041","198050","13809"
"0500000US05117","Prairie County, Arkansas","82490","8277","48425","5880","34065","5011"
"0500000US05119","Pulaski County, Arkansas","3557405","63544","1866925","40970","1690480","44122"
"0500000US05121","Randolph County, Arkansas","194755","19119","125430","16272","69330","10289"
"0500000US05123","St. Francis County, Arkansas","167540","14042","91045","10803","76490","7806"
"0500000US05125","Saline County, Arkansas","1362790","46946","741280","30742","621510","31562"
"0500000US05127","Scott County, Arkansas","83220","9138","40005","7453","43220","6038"
"0500000US05129","Searcy County, Arkansas","78965","11433","53545","10714","25420","5169"
"0500000US05131","Sebastian County, Arkansas","995740","37319","571575","30033","424165","19829"
"0500000US05133","Sevier County, Arkansas","166480","18013","103555","13308","62925","8685"
"0500000US05135","Sharp County, Arkansas","153275","16526","99810","15434","53460","6087"
"0500000US05137","Stone County, Arkansas","96885","12098","65020","10222","31865","5160"
"0500000US01001","Autauga County, Alabama","621120","37833","352880","22477","268240","26071"
"0500000US01003","Baldwin County, Alabama","2231090","77181","1307975","66561","923115","34643"
"0500000US01005","Barbour County, Alabama","205890","17933","121985","14305","83905","9418"
"0500000US01007","Bibb County, Alabama","237625","21873","150045","17370","87580","11569"
"0500000US01009","Blount County, Alabama","732855","35452","441400","26690","291455","21256"
"0500000US01011","Bullock County, Alabama","107125","16418","60790","15579","46335","9124"
"0500000US01013","Butler County, Alabama","174365","12973","96760","9514","77605","7466"
"0500000US01015","Calhoun County, Alabama","1095660","47120","629060","34221","466600","27920"
"0500000US01017","Chambers County, Alabama","331530","22871","176635","13136","154895","14610"
"0500000US01019","Cherokee County, Alabama","269250","19237","161825","12177","107425","13764"
"0500000US01021","Chilton County, Alabama","543440","30963","320010","23734","223425","20899"
"0500000US01023","Choctaw County, Alabama","129765","13905","82100","9947","47665","8051"
"0500000US01025","Clarke County, Alabama","195035","19033","126515","16620","68520","7235"
"0500000US01027","Clay County, Alabama","162575","20800","94555","13644","68020","12452"
"0500000US01029","Cleburne County, Alabama","183955","13284","117455","12269","66500","6341"
"0500000US01031","Coffee County, Alabama","450900","20869","262895","15158","188010","11392"
"0500000US01033","Colbert County, Alabama","501810","27390","293970","21716","207840","15766"
"0500000US01035","Conecuh County, Alabama","106095","12152","62940","10249","43150","8070"
"0500000US01037","Coosa County, Alabama","102520","13283","62965","9557","39555","8511"
"0500000US01039","Covington County, Alabama","367040","26792","235875","22842","131165","12575"
"0500000US01041","Crenshaw County, Alabama","151465","10505","90450","9457","61015","5870"
"0500000US01043","Cullman County, Alabama","825170","39122","504205","29126","320965","24691"
"0500000US01045","Dale County, Alabama","408790","19164","239155","15016","169635","11401"
"0500000US01047","Dallas County, Alabama","307405","22421","182725","19017","124680","11176"
"0500000US01049","DeKalb County, Alabama","623375","28634","366275","22471","257100","16798"
"0500000US01051","Elmore County, Alabama","913910","39207","486095","27984","427815","22912"
"0500000US01053","Escambia County, Alabama","269110","23971","159300","19648","109815","11801"
"0500000US01055","Etowah County, Alabama","927930","35488","533205","26921","394725","24881"
"0500000US01057","Fayette County, Alabama","172145","14640","104390","11086","67755","8369"
"0500000US01059","Franklin County, Alabama","347675","39354","213815","22864","133860","25973"
"0500000US01061","Geneva County, Alabama","265915","18592","156010","15320","109905","11520"
"0500000US01063","Greene County, Alabama","69665","9257","34075","5915","35590","5771"
"0500000US01065","Hale County, Alabama","142200","12994","69765","8204","72435","10614"
"0500000US01067","Henry County, Alabama","174005","17066","90785","12495","83220","13106"
"0500000US01069","Houston County, Alabama","914400","16334","508410","11989","405985","10901"
"0500000US01071","Jackson County, Alabama","512890","28229","312380","20521","200510","15649"
"0500000US01073","Jefferson County, Alabama","6721675","82177","3472090","67146","3249585","56139"
"0500000US01075","Lamar County, Alabama","141665","19982","92260","16222","49405","8245"
"0500000US01077","Lauderdale County, Alabama","941485","33675","551310","24771","390175","23461"
"0500000US01079","Lawrence County, Alabama","341205","18662","208560","14812","132645","10107"
"0500000US01081","Lee County, Alabama","1496065","47332","848885","34512","647180","29050"
"0500000US01083","Limestone County, Alabama","946175","33572","552520","27227","393655","23151"
"0500000US01085","Lowndes County, Alabama","100775","9737","48525","5964","52250","6134"
"0500000US01087","Macon County, Alabama","158140","10859","77930","8223","80210","6881"
"0500000US01089","Madison County, Alabama","3375635","54101","1859920","39148","1515715","39546"
"0500000US01091","Marengo County, Alabama","161555","14997","103360","13966","58195","6821"
"0500000US01093","Marion County, Alabama","274525","20606","166480","19183","108050","10966"
"0500000US01095","Marshall County, Alabama","872955","36327","516670","27257","356285","22974"
"0500000US01097","Mobile County, Alabama","4022095","74731","2193375","56866","1828725","43957"
"0500000US01099","Monroe County, Alabama","159215","16142","92070","12305","67145","10691"
"0500000US01101","Montgomery County, Alabama","1933820","48366","1003070","37451","930755","24440"
"0500000US01103","Morgan County, Alabama","1186265","46402","690120","31294","496150","27898"
"0500000US01105","Perry County, Alabama","64040","12529","27330","9117","36710","7077"
"0500000US01107","Pickens County, Alabama","191740","16357","110540","12090","81200","11057"
"0500000US01109","Pike County, Alabama","265075","16135","147305","14071","117765","10016"
"0500000US01111","Randolph County, Alabama","211065","16391","127705","13128","83355","8666"
"0500000US01113","Russell County, Alabama","577625","34944","330170","22886","247455","17571"
"0500000US01115","St. Clair County, Alabama","1081280","47178","605690","28967","475585","29394"
"0500000US01117","Shelby County, Alabama","2701080","54685","1494225","40436","1206850","36074"
"0500000US01119","Sumter County, Alabama","100410","13338","39890","7225","60525","12086"
"0500000US01121","Talladega County, Alabama","735950","38420","419440","27168","316510","22315"
"0500000US01123","Tallapoosa County, Alabama","353270","20991","211760","16399","141515","12990"
"0500000US01125","Tuscaloosa County, Alabama","1906060","57130","1032540","43763","873520","34803"
"0500000US01127","Walker County, Alabama","688400","35924","426605","27281","261795","23863"
"0500000US01129","Washington County, Alabama","181810","17685","113730","13151","68080","12664"
"0500000US01131","Wilcox County, Alabama","68530","8937","34110","6524","34420","6863"
"0500000US01133","Winston County, Alabama","232965","20718","147045","15586","85920","12893"
"0500000US02013","Aleutians East Borough, Alaska","11685","738","7925","681","3760","430"
"0500000US02016","Aleutians West Census Area, Alaska","31430","2217","22275","1981","9155","894"
"0500000US02020","Anchorage Municipality, Alaska","2906435","74681","1682155","62295","1224280","36571"
"0500000US02050","Bethel Census Area, Alaska","41070","2829","22630","2056","18440","1559"
"0500000US02060","Bristol Bay Borough, Alaska","4905","613","2960","435","1945","402"
"0500000US02068","Denali Borough, Alaska","17420","3600","9335","2011","8085","2309"
"0500000US02070","Dillingham Census Area, Alaska","14460","1098","6750","719","7710","814"
"0500000US02090","Fairbanks North Star Borough, Alaska","950005","50470","562340","43130","387665","28199"
"0500000US02100","Haines Borough, Alaska","9835","2312","5575","1759","4260","1380"
"0500000US02105","Hoonah-Angoon Census Area, Alaska","7690","1154","4980","1240","2710","599"
"0500000US02110","Juneau City and Borough, Alaska","265905","13545","145820","10333","120080","8836"
"0500000US02122","Kenai Peninsula Borough, Alaska","450790","31552","284375","24809","166415","14501"
"0500000US02130","Ketchikan Gateway Borough, Alaska","86620","4211","47660","3320","38960","2173"
"0500000US02150","Kodiak Island Borough, Alaska","78655","7666","47250","5648","31405","4071"
"0500000US02158","Kusilvak Census Area, Alaska","12560","727","6635","627","5925","363"
"0500000US02164","Lake and Peninsula Borough, Alaska","3965","1132","2370","1039","1595","476"
"0500000US02170","Matanuska-Susitna Borough, Alaska","1305190","42882","867875","32690","437315","18549"
"0500000US02180","Nome Census Area, Alaska","23800","2050","13745","1931","10055","797"
"0500000US02185","North Slope Borough, Alaska","33475","5552","24240","5268","9235","1287"
"0500000US02188","Northwest Arctic Borough, Alaska","16325","1443","8835","940","7490","1016"
"0500000US02195","Petersburg Borough, Alaska","10855","1522","5925","860","4935","1077"
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","34030","3297","23185","3094","10840","1208"
"0500000US02220","Sitka City and Borough, Alaska","47680","7609","20820","2893","26860","6192"
"0500000US02230","Skagway Municipality, Alaska","3450","680","1930","359","1520","610"
"0500000US02240","Southeast Fairbanks Census Area, Alaska","34470","3913","21875","3141","12595","2406"
"0500000US02261","Valdez-Cordova Census Area, Alaska","47290","9884","28470","5454","18820","8271"
"0500000US02275","Wrangell City and Borough, Alaska","8970","1908","5380","1506","3595","858"
"0500000US02282","Yakutat City and Borough, Alaska","2320","571","1165","238","1150","554"
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","17410","1441","10290","1431","7120","580"
"0500000US04001","Apache County, Arizona","473720","23879","271075","19808","202650","12481"
"0500000US04003","Cochise County, Arizona","857735","37315","483400","29119","374330","20411"
"0500000US04005","Coconino County, Arizona","1100690","37720","595150","30696","505540","24013"
"0500000US04007","Gila County, Arizona","326600","28048","194030","22081","132570","15424"
"0500000US04009","Graham County, Arizona","243835","17534","156255","15858","87575","9954"
"0500000US04011","Greenlee County, Arizona","63455","7837","43670","6059","19785","4529"
"0500000US04012","La Paz County, Arizona","70835","6711","40230","5088","30610","3995"
"0500000US04013","Maricopa County, Arizona","44321570","251493","24955420","190552","19366150","151300"
"0500000US04015","Mohave County, Arizona","1256970","56201","722240","46847","534730","27320"
"0500000US04017","Navajo County, Arizona","646815","38585","365620","33717","281195","16418"
"0500000US04019","Pima County, Arizona","9864505","93515","5479780","69396","4384725","66362"
"0500000US04021","Pinal County, Arizona","4065975","97979","2356380","74100","1709595","60458"
"0500000US04023","Santa Cruz County, Arizona","369700","29500","219355","22228","150345","16370"
"0500000US04025","Yavapai County, Arizona","1740570","60304","1012495","53388","728075","30037"
"0500000US04027","Yuma County, Arizona","1367670","46804","870475","35543","497190","24005"
"0500000US05001","Arkansas County, Arkansas","113705","9344","61105","6229","52600","7005"
"0500000US05003","Ashley County, Arkansas","147300","16188","87930","14315","59375","7058"
"0500000US05005","Baxter County, Arkansas","247640","20675","131550","14419","116085","12664"
"0500000US05007","Benton County, Arkansas","2155820","45154","1203920","30477","951895","29831"
"0500000US05009","Boone County, Arkansas","281725","20487","158360","14548","123365","12083"
"0500000US05011","Bradley County, Arkansas","87415","13637","64625","13707","22790","3563"
"0500000US05013","Calhoun County, Arkansas","53890","7836","33935","6143","19955","3347"
"0500000US05139","Union County, Arkansas","293890","19291","156385","12021","137505","13162"
"0500000US05141","Van Buren County, Arkansas","136790","11765","83390","9460","53400","6689"
"0500000US05143","Washington County, Arkansas","2134820","62911","1254745","55273","880075","31515"
"0500000US05145","White County, Arkansas","732905","35561","443970","27339","288935","22751"
"0500000US05147","Woodruff County, Arkansas","43985","5594","23990","4101","19995","3897"
"0500000US05149","Yell County, Arkansas","171425","12643","93885","8100","77540","9863"
"0500000US06001","Alameda County, California","21916110","186475","12118175","135918","9797935","118084"
"0500000US06003","Alpine County, California","7520","2560","4440","2069","3080","982"
"0500000US06005","Amador County, California","359480","25462","222720","21649","136765","16856"
"0500000US06007","Butte County, California","1638170","53883","924570","40858","713605","32641"
"0500000US06009","Calaveras County, California","514480","33093","298105","28779","216375","22049"
"0500000US06011","Colusa County, California","209400","17535","129585","12426","79815","8890"
"0500000US06013","Contra Costa County, California","17266915","206198","9826235","136701","7440680","131420"
"0500000US06015","Del Norte County, California","113075","13971","60665","10479","52410","7597"
"0500000US06017","El Dorado County, California","2074505","49936","1192650","44242","881855","34229"
"0500000US06019","Fresno County, California","7851160","103747","4648860","66990","3202295","66568"
"0500000US06021","Glenn County, California","220240","20219","137990","18083","82250","9135"
"0500000US06023","Humboldt County, California","975305","37379","550850","27544","424455","20776"
"0500000US06025","Imperial County, California","1145730","45085","687385","38361","458345","27374"
"0500000US06027","Inyo County, California","128185","13012","76475","10872","51710","6999"
"0500000US06029","Kern County, California","7365225","127240","4674555","100609","2690670","70891"
"0500000US06031","Kings County, California","1122625","50298","693285","38341","429335","26233"
"0500000US06033","Lake County, California","543920","37046","316315","28499","227605","21582"
"0500000US06035","Lassen County, California","175240","20774","104475","16431","70760","7689"
"0500000US06037","Los Angeles County, California","132469595","417208","74750860","338059","57718735","240309"
"0500000US06039","Madera County, California","1169165","52300","699880","41228","469285","26214"
"0500000US06041","Marin County, California","3549150","72430","2025830","57591","1523315","45837"
"0500000US06043","Mariposa County, California","207470","27642","113855","19387","93615","14830"
"0500000US06045","Mendocino County, California","628585","44811","376585","34807","252000","19665"
"0500000US06047","Merced County, California","2410660","71986","1587635","55189","823025","38911"
"0500000US06049","Modoc County, California","47785","7151","26635","6062","21150","3878"
"0500000US06051","Mono County, California","105355","19038","56895","12091","48460","14236"
"0500000US06053","Monterey County, California","3932610","80786","2343655","61118","1588955","40840"
"0500000US06055","Napa County, California","1537555","43342","892325","35003","645230","24199"
"0500000US06057","Nevada County, California","865625","45247","503795","34467","361835","23728"
"0500000US06059","Orange County, California","38617955","254615","22227565","174732","16390385","162796"
"0500000US06061","Placer County, California","4062825","77769","2356040","56339","1706790","47916"
"0500000US06063","Plumas County, California","160860","19466","102260","16093","58605","9629"
"0500000US06065","Riverside County, California","28780125","257915","17822975","187622","10957150","162901"
"0500000US06067","Sacramento County, California","15843550","158340","8722595","114962","7120955","99047"
"0500000US06069","San Benito County, California","806775","30503","510370","24157","296405","20484"
"0500000US06071","San Bernardino County, California","24446425","253285","14767900","212183","9678520","137928"
"0500000US06073","San Diego County, California","36193175","232672","20695620","170831","15497555","140063"
"0500000US06075","San Francisco County, California","14487930","139016","7833565","97558","6654365","90374"
"0500000US06077","San Joaquin County, California","8337445","144552","5363865","109916","2973580","75417"
"0500000US06079","San Luis Obispo County, California","2611850","73864","1547075","55388","1064775","42570"
"0500000US06081","San Mateo County, California","10150180","101715","5508415","78879","4641765","54775"
"0500000US06083","Santa Barbara County, California","3670575","72607","2148855","59743","1521720","49972"
"0500000US06085","Santa Clara County, California","23633450","193951","13723235","137128","9910215","109037"
"0500000US06087","Santa Cruz County, California","3121025","68980","1774465","51842","1346560","47396"
"0500000US06089","Shasta County, California","1304495","49648","745735","39402","558760","24058"
"0500000US06091","Sierra County, California","27500","6751","13595","5104","13905","4462"
"0500000US06093","Siskiyou County, California","266985","17763","149790","12698","117195","9321"
"0500000US06095","Solano County, California","5601010","99968","3188190","76663","2412820","58481"
"0500000US06097","Sonoma County, California","5563565","112274","3210025","79749","2353540","60543"
"0500000US06099","Stanislaus County, California","5413275","119561","3493190","96688","1920085","61988"
"0500000US06101","Sutter County, California","944215","43751","578305","30322","365910","28328"
"0500000US06103","Tehama County, California","525500","31947","292230","27158","233270","15570"
"0500000US06105","Trinity County, California","75385","12693","43225","10547","32155","6928"
"0500000US06107","Tulare County, California","3652365","75250","2278710","60654","1373655","44340"
"0500000US06109","Tuolumne County, California","482975","45281","318780","42696","164195","14696"
"0500000US06111","Ventura County, California","9729510","142129","5731465","98045","3998045","85723"
"0500000US06113","Yolo County, California","1961180","51317","1090985","38458","870190","30392"
"0500000US06115","Yuba County, California","785875","38673","494180","29491","291700","21030"
"0500000US08001","Adams County, Colorado","6482295","91713","3711485","61493","2770805","63096"
"0500000US08003","Alamosa County, Colorado","82105","10023","47390","7511","34715","6117"
"0500000US08005","Arapahoe County, Colorado","8134565","105660","4496000","62233","3638565","69144"
"0500000US08007","Archuleta County, Colorado","91650","9960","59880","9877","31770","3525"
"0500000US08009","Baca County, Colorado","22095","2957","11935","2102","10160","1845"
"0500000US08011","Bent County, Colorado","23905","4978","13160","4158","10745","2228"
"0500000US08013","Boulder County, Colorado","3273055","60796","1800575","46389","1472480","37270"
"0500000US08014","Broomfield County, Colorado","860760","31478","484375","20436","376385","19540"
"0500000US08015","Chaffee County, Colorado","122350","17476","69530","11509","52820","10705"
"0500000US08017","Cheyenne County, Colorado","10235","2025","4905","1083","5330","1558"
"0500000US08019","Clear Creek County, Colorado","129940","14878","78275","10899","51665","8485"
"0500000US08021","Conejos County, Colorado","59500","7002","34165","5065","25335","3354"
"0500000US08023","Costilla County, Colorado","20290","3395","13275","3126","7015","1831"
