"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"0500000US01007","Bibb County, Alabama","232615","17350","152385","14151","80230","11433"
"0500000US01009","Blount County, Alabama","747725","31301","447745","22823","299980","21505"
"0500000US01011","Bullock County, Alabama","102895","15516","60410","12225","42490","8804"
"0500000US01013","Butler County, Alabama","187440","12264","106415","9822","81025","8209"
"0500000US01015","Calhoun County, Alabama","1086290","41752","623385","32434","462905","22782"
"0500000US01017","Chambers County, Alabama","332100","21163","173865","13785","158235","13081"
"0500000US01019","Cherokee County, Alabama","263860","17894","160270","11930","103590","11031"
"0500000US01021","Chilton County, Alabama","550960","31349","322380","19721","228580","22990"
"0500000US01023","Choctaw County, Alabama","129445","10358","81670","8005","47770","7148"
"0500000US01025","Clarke County, Alabama","183115","16641","113590","12590","69525","9209"
"0500000US01027","Clay County, Alabama","149300","18319","89840","11388","59460","11608"
"0500000US01029","Cleburne County, Alabama","187995","14923","118300","13106","69695","7248"
"0500000US01031","Coffee County, Alabama","439335","18672","255160","13432","184175","9704"
"0500000US01033","Colbert County, Alabama","469630","25140","280375","21156","189255","13571"
"0500000US01035","Conecuh County, Alabama","107415","15020","59790","11589","47625","9907"
"0500000US01037","Coosa County, Alabama","103735","12091","65230","8451","38510","7998"
"0500000US01039","Covington County, Alabama","347920","23629","226255","21634","121665","9499"
"0500000US01041","Crenshaw County, Alabama","147550","11322","88275","8854","59280","5174"
"0500000US01043","Cullman County, Alabama","819660","38064","502235","28132","317430","18603"
"0500000US01045","Dale County, Alabama","412455","19867","233490","13011","178965","13120"
"0500000US01047","Dallas County, Alabama","317375","24213","182430","18371","134940","12771"
"0500000US01049","DeKalb County, Alabama","611390","29858","354430","25423","256960","15705"
"0500000US01051","Elmore County, Alabama","921530","43716","478075","31242","443455","23494"
"0500000US01053","Escambia County, Alabama","275660","20869","160615","18813","115045","9312"
"0500000US01055","Etowah County, Alabama","905135","39440","513470","29037","391665","22789"
"0500000US01057","Fayette County, Alabama","167310","13368","99620","10189","67690","8569"
"0500000US01059","Franklin County, Alabama","347175","29691","216445","20632","130730","19119"
"0500000US01061","Geneva County, Alabama","257265","15370","147820","11032","109445","10657"
"0500000US01063","Greene County, Alabama","70995","8992","33075","6309","37915","5895"
"0500000US01065","Hale County, Alabama","150780","13277","81050","8923","69730","11983"
"0500000US01067","Henry County, Alabama","177930","20991","91845","12883","86085","14976"
"0500000US01069","Houston County, Alabama","910810","17192","508080","12983","402730","11934"
