"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"0500000US30019","Daniels County, Montana","8530","1771","5120","1224","3405","1119"
"0500000US72073","Jayuya Municipio, Puerto Rico","96160","13948","65380","12708","30775","6846"
"0500000US24023","Garrett County, Maryland","295690","18671","183415","15369","112275","8600"
"0500000US30079","Prairie County, Montana","5405","1242","2705","1143","2700","636"
"0500000US39173","Wood County, Ohio","1165285","29794","623975","23404","541310","18943"
"0500000US08011","Bent County, Colorado","36075","10387","25590","9884","10485","2446"
"0500000US13081","Crisp County, Georgia","149275","14904","74125","10503","75150","9764"
"0500000US04027","Yuma County, Arizona","1285005","37846","790080","33529","494925","18790"
"0500000US22019","Calcasieu Parish, Louisiana","1638480","47991","975010","41574","663475","24377"
"0500000US20157","Republic County, Kansas","34410","3768","18930","2838","15480","1806"
"0500000US37011","Avery County, North Carolina","142565","16509","80370","13803","62195","8910"
"0500000US54011","Cabell County, West Virginia","768495","28634","419635","20860","348860","19406"
"0500000US49015","Emery County, Utah","85810","8424","59635","6748","26175","4714"
"0500000US05081","Little River County, Arkansas","142770","12421","84665","10190","58110","7812"
"0500000US26049","Genesee County, Michigan","4036075","78769","2280305","60716","1755770","47363"
"0500000US18153","Sullivan County, Indiana","205295","14967","125475","11724","79820","8432"
"0500000US72077","Juncos Municipio, Puerto Rico","389185","34708","196750","20280","192440","24838"
"0500000US20119","Meade County, Kansas","31290","3973","19345","3374","11945","1713"
"0500000US31139","Pierce County, Nebraska","65780","5545","32970","3770","32810","5047"
"0500000US06047","Merced County, California","2247505","76663","1434485","53794","813020","48779"
"0500000US27025","Chisago County, Minnesota","785660","30283","458620","23071","327040","16906"
"0500000US48219","Hockley County, Texas","197860","13876","123960","11893","73900","6397"
"0500000US50011","Franklin County, Vermont","616980","20057","339635","15158","277345","14326"
"0500000US51036","Charles City County, Virginia","111205","10635","60235","8175","50975","5080"
"0500000US21029","Bullitt County, Kentucky","891525","31914","491280","23501","400240","19176"
"0500000US13057","Cherokee County, Georgia","3050000","78776","1770160","55156","1279840","48894"
"0500000US21171","Monroe County, Kentucky","86265","11832","55535","10232","30735","5053"
"0500000US27075","Lake County, Minnesota","104215","13791","60855","9596","43360","8099"
"0500000US28023","Clarke County, Mississippi","197875","23036","119980","22636","77900","10259"
"0500000US42053","Forest County, Pennsylvania","50515","8118","29120","7702","21390","3756"
"0500000US51185","Tazewell County, Virginia","420630","28359","265115","23827","155515","14824"
"0500000US47149","Rutherford County, Tennessee","3217000","76570","1761595","46729","1455405","55339"
"0500000US48293","Limestone County, Texas","181530","19269","106400","19247","75130","7926"
"0500000US05147","Woodruff County, Arkansas","48455","5080","25560","3231","22890","3432"
"0500000US48129","Donley County, Texas","26230","4356","13185","3067","13040","3779"
"0500000US16017","Bonner County, Idaho","399195","26807","245240","22342","153955","12876"
"0500000US06109","Tuolumne County, California","493460","41529","306510","30632","186955","22181"
"0500000US28037","Franklin County, Mississippi","115180","16060","75965","13166","39215","8272"
"0500000US29131","Miller County, Missouri","280375","21376","153650","14824","126720","12733"
"0500000US05105","Perry County, Arkansas","137035","13879","76435","8128","60600","11148"
"0500000US19019","Buchanan County, Iowa","217900","14668","124110","9620","93790","8021"
"0500000US31077","Greeley County, Nebraska","18445","3398","9750","2500","8695","1705"
"0500000US29049","Clinton County, Missouri","255495","15578","152470","11393","103025","10548"
"0500000US06043","Mariposa County, California","217425","26041","145725","26621","71700","14066"
"0500000US22095","St. John the Baptist Parish, Louisiana","535525","28267","275595","21414","259935","17047"
"0500000US29139","Montgomery County, Missouri","148725","11428","83655","7845","65070","7686"
"0500000US48321","Matagorda County, Texas","299770","24860","196190","19942","103580","12191"
"0500000US28103","Noxubee County, Mississippi","91020","12333","47790","9407","43230","7864"
"0500000US53051","Pend Oreille County, Washington","120575","13613","75265","10658","45310","6924"
"0500000US36071","Orange County, New York","5442660","113950","3229185","80312","2213475","67334"
"0500000US13103","Effingham County, Georgia","646235","27413","370855","18668","275380","17514"
"0500000US42013","Blair County, Pennsylvania","1083545","38802","617595","28059","465950","20389"
"0500000US72089","Luquillo Municipio, Puerto Rico","174745","16265","101950","10483","72795","10689"
"0500000US51121","Montgomery County, Virginia","742320","37904","399785","20924","342540","24314"
"0500000US17089","Kane County, Illinois","6666005","107741","3978420","86539","2687585","55227"
"0500000US21159","Martin County, Kentucky","75880","14835","46350","10898","29525","8972"
"0500000US26003","Alger County, Michigan","51155","5617","29060","3967","22095","3019"
"0500000US37171","Surry County, North Carolina","777500","44689","459750","34126","317745","23037"
"0500000US24027","Howard County, Maryland","4358740","85580","2412100","56527","1946640","53561"
"0500000US53025","Grant County, Washington","623520","27580","376180","20774","247340","18475"
"0500000US13061","Clay County, Georgia","20685","4616","11670","3231","9015","3120"
"0500000US21163","Meade County, Kentucky","368390","30946","210860","17480","157530","25221"
"0500000US18015","Carroll County, Indiana","221175","13396","125015","9798","96160","6443"
"0500000US51075","Goochland County, Virginia","258930","18612","142315","12592","116615","11431"
"0500000US42047","Elk County, Pennsylvania","252180","14713","143510","10871","108670","9230"
"0500000US13141","Hancock County, Georgia","65850","10178","24940","8930","40910","5524"
"0500000US21149","McLean County, Kentucky","95500","9992","58150","7767","37350","4637"
"0500000US39141","Ross County, Ohio","743150","34832","441375","27479","301775","19422"
"0500000US72047","Corozal Municipio, Puerto Rico","279760","24208","173670","18536","106090","12940"
"0500000US31145","Red Willow County, Nebraska","64725","7717","34115","5898","30610","4976"
"0500000US48501","Yoakum County, Texas","66290","14423","50455","10785","15835","6031"
"0500000US51167","Russell County, Virginia","296435","24602","176965","19421","119470","16547"
"0500000US54099","Wayne County, West Virginia","380825","25759","214660","18702","166165","13265"
"0500000US51157","Rappahannock County, Virginia","112740","15251","71010","12104","41730","7768"
