"GEO_ID","NAME","B08013_001E","B08013_001M","B08013_002E","B08013_002M","B08013_003E","B08013_003M"
"id","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Male","Margin of Error!!Aggregate travel time to work (in minutes)!!Male","Estimate!!Aggregate travel time to work (in minutes)!!Female","Margin of Error!!Aggregate travel time to work (in minutes)!!Female"
"0500000US30019","Daniels County, Montana","9405","2186","5640","1543","3765","1217"
"0500000US72073","Jayuya Municipio, Puerto Rico","91115","13589","58715","13616","32400","6297"
"0500000US24023","Garrett County, Maryland","293690","17704","175405","13727","118285","10796"
"0500000US30079","Prairie County, Montana","5550","1315","2645","990","2905","766"
"0500000US39173","Wood County, Ohio","1169850","34472","626330","22944","543520","20635"
"0500000US08011","Bent County, Colorado","25140","5747","15290","5284","9850","2588"
"0500000US13081","Crisp County, Georgia","153525","19105","74050","10511","79480","14389"
"0500000US04027","Yuma County, Arizona","1283170","50628","793040","37294","490130","27563"
"0500000US22019","Calcasieu Parish, Louisiana","1653165","46840","994185","38994","658980","23244"
"0500000US20157","Republic County, Kansas","36140","3312","19150","2586","16990","1854"
"0500000US37011","Avery County, North Carolina","136855","14937","78535","12649","58315","7433"
"0500000US54011","Cabell County, West Virginia","775800","31182","426085","20970","349710","19769"
"0500000US49015","Emery County, Utah","81235","6795","56685","6524","24550","3721"
"0500000US05081","Little River County, Arkansas","135825","11943","76885","8319","58940","8583"
"0500000US26049","Genesee County, Michigan","3923375","76837","2203625","58246","1719745","45551"
"0500000US18153","Sullivan County, Indiana","197210","14905","120995","10465","76215","8364"
"0500000US72077","Juncos Municipio, Puerto Rico","385770","32798","197020","25286","188755","20925"
"0500000US20119","Meade County, Kansas","32070","3451","20260","2831","11810","1678"
"0500000US31139","Pierce County, Nebraska","64730","5065","33390","3758","31340","3780"
"0500000US06047","Merced County, California","2283565","75560","1435195","62240","848370","41882"
"0500000US27025","Chisago County, Minnesota","788995","27219","455530","22888","333465","13743"
"0500000US51036","Charles City County, Virginia","110760","9420","59450","7788","51310","4115"
"0500000US48219","Hockley County, Texas","201170","16718","127265","14453","73905","6539"
"0500000US50011","Franklin County, Vermont","616470","23131","339745","16522","276725","13183"
"0500000US21029","Bullitt County, Kentucky","892470","29730","494230","20884","398240","17927"
"0500000US13057","Cherokee County, Georgia","3028320","71564","1733120","51848","1295205","44864"
"0500000US21171","Monroe County, Kentucky","86805","8966","56590","7882","30215","4175"
"0500000US27075","Lake County, Minnesota","100150","9149","61825","7314","38325","4709"
"0500000US42053","Forest County, Pennsylvania","48515","7928","27070","8461","21445","3759"
"0500000US28023","Clarke County, Mississippi","175965","19552","108345","17156","67625","8657"
"0500000US51185","Tazewell County, Virginia","414710","27465","262745","22797","151965","13695"
"0500000US47149","Rutherford County, Tennessee","3344230","77982","1836435","56667","1507795","55184"
"0500000US48293","Limestone County, Texas","181520","23628","107520","21155","74000","7742"
"0500000US05147","Woodruff County, Arkansas","50650","6197","30350","4784","20300","3076"
"0500000US48129","Donley County, Texas","25985","3681","15360","2786","10625","2532"
"0500000US16017","Bonner County, Idaho","370645","23518","223650","20141","146995","13194"
"0500000US06109","Tuolumne County, California","475945","39548","301970","31779","173975","20018"
"0500000US28037","Franklin County, Mississippi","115555","16953","74220","14185","41335","8877"
"0500000US29131","Miller County, Missouri","278035","22269","148770","16236","129260","10831"
"0500000US05105","Perry County, Arkansas","137455","14497","77590","9316","59865","9140"
"0500000US19019","Buchanan County, Iowa","213670","16931","118095","11231","95575","8073"
"0500000US31077","Greeley County, Nebraska","21295","3091","11530","2725","9770","1610"
"0500000US29049","Clinton County, Missouri","247340","15448","143595","10822","103745","8961"
"0500000US06043","Mariposa County, California","206555","26166","129670","21810","76890","14634"
"0500000US22095","St. John the Baptist Parish, Louisiana","528170","30324","270345","19796","257830","19793"
"0500000US29139","Montgomery County, Missouri","150855","13135","89915","11047","60940","6221"
"0500000US48321","Matagorda County, Texas","315800","30652","194160","21127","121640","16720"
"0500000US28103","Noxubee County, Mississippi","96260","13373","49695","11811","46565","8226"
"0500000US53051","Pend Oreille County, Washington","126545","16263","78035","12159","48515","8835"
"0500000US36071","Orange County, New York","5483980","92976","3240185","75230","2243795","62420"
"0500000US13103","Effingham County, Georgia","666795","34631","377965","21599","288830","24223"
"0500000US42013","Blair County, Pennsylvania","1055545","33102","596355","24641","459190","22289"
"0500000US72089","Luquillo Municipio, Puerto Rico","176910","18079","102215","11377","74695","12332"
"0500000US51121","Montgomery County, Virginia","742090","29103","398965","20379","343125","15613"
"0500000US17089","Kane County, Illinois","6701005","106160","3964710","82522","2736295","57616"
"0500000US21159","Martin County, Kentucky","91610","20306","58345","15563","33265","10034"
"0500000US26003","Alger County, Michigan","49840","5476","28355","3984","21485","2963"
"0500000US37171","Surry County, North Carolina","765140","40347","443920","31967","321220","21099"
"0500000US24027","Howard County, Maryland","4448475","81989","2462335","60381","1986145","54758"
"0500000US53025","Grant County, Washington","635985","34203","387025","21802","248960","21774"
"0500000US13061","Clay County, Georgia","20375","5235","10095","3623","10280","3472"
"0500000US21163","Meade County, Kentucky","368930","29943","210860","19705","158070","20416"
"0500000US18015","Carroll County, Indiana","230750","13447","131700","11849","99050","6657"
"0500000US51075","Goochland County, Virginia","256080","16827","137075","11520","119005","11168"
"0500000US42047","Elk County, Pennsylvania","256960","17799","144630","10429","112330","13557"
"0500000US13141","Hancock County, Georgia","55645","9826","25135","6696","30510","6334"
"0500000US21149","McLean County, Kentucky","98880","11786","58535","7785","40345","5975"
"0500000US39141","Ross County, Ohio","738510","42051","436740","29187","301770","21998"
"0500000US72047","Corozal Municipio, Puerto Rico","288855","29706","169530","22595","119330","18802"
