"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US13295","Walker County, Georgia","69761","*****"
"0500000US13297","Walton County, Georgia","94593","*****"
"0500000US13313","Whitfield County, Georgia","104628","*****"
"0500000US15001","Hawaii County, Hawaii","201513","*****"
"0500000US15003","Honolulu County, Hawaii","974563","*****"
"0500000US15007","Kauai County, Hawaii","72293","*****"
"0500000US15009","Maui County, Hawaii","167488","20"
"0500000US16001","Ada County, Idaho","481587","*****"
"0500000US16005","Bannock County, Idaho","87808","*****"
"0500000US16019","Bonneville County, Idaho","119062","*****"
"0500000US16027","Canyon County, Idaho","229849","*****"
"0500000US16055","Kootenai County, Idaho","165697","*****"
"0500000US16083","Twin Falls County, Idaho","86878","*****"
"0500000US17001","Adams County, Illinois","65435","*****"
"0500000US17019","Champaign County, Illinois","209689","*****"
"0500000US17031","Cook County, Illinois","5150233","*****"
"0500000US17037","DeKalb County, Illinois","104897","*****"
"0500000US17043","DuPage County, Illinois","922921","*****"
"0500000US17089","Kane County, Illinois","532403","*****"
"0500000US17091","Kankakee County, Illinois","109862","*****"
"0500000US17093","Kendall County, Illinois","128990","*****"
"0500000US17097","Lake County, Illinois","696535","*****"
"0500000US17099","LaSalle County, Illinois","108669","*****"
"0500000US17111","McHenry County, Illinois","307774","*****"
"0500000US17113","McLean County, Illinois","171517","*****"
"0500000US17115","Macon County, Illinois","104009","*****"
"0500000US17119","Madison County, Illinois","262966","*****"
"0500000US17143","Peoria County, Illinois","179179","*****"
"0500000US17161","Rock Island County, Illinois","141879","*****"
"0500000US17163","St. Clair County, Illinois","259686","*****"
"0500000US17167","Sangamon County, Illinois","194672","*****"
"0500000US17179","Tazewell County, Illinois","131803","*****"
"0500000US17183","Vermilion County, Illinois","75758","*****"
"0500000US17197","Will County, Illinois","690743","*****"
"0500000US17199","Williamson County, Illinois","66597","*****"
"0500000US17201","Winnebago County, Illinois","282572","*****"
"0500000US18003","Allen County, Indiana","379299","*****"
"0500000US18005","Bartholomew County, Indiana","83779","*****"
"0500000US18011","Boone County, Indiana","67843","*****"
"0500000US18019","Clark County, Indiana","118302","*****"
"0500000US18035","Delaware County, Indiana","114135","*****"
"0500000US18039","Elkhart County, Indiana","206341","*****"
"0500000US18043","Floyd County, Indiana","78522","*****"
"0500000US18053","Grant County, Indiana","65769","*****"
"0500000US18057","Hamilton County, Indiana","338011","*****"
"0500000US18059","Hancock County, Indiana","78168","*****"
"0500000US18063","Hendricks County, Indiana","170311","*****"
"0500000US18067","Howard County, Indiana","82544","*****"
